image_index,wavelength_km,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,19.027313840043536,-0.16944506047304975,0.4072170900271632,0.830081401040065,1.0,0.8193659142891481,0.38237123231685843,-0.2008447859313649
1,19.027313840043536,0.14354966988147444,0.6707283124656158,0.9636543834489446,0.9480626533124699,0.6035417485953838,0.08685184590825767,-0.47775731162639634
2,19.027313840043536,0.4741332385422721,0.881753717702908,0.994858733393952,0.7830630058419774,0.30817207038804484,-0.23534657974330453,-0.7230341861598244
3,20.158736798317967,0.720511635280336,0.9796111551943623,0.9218675028407459,0.5601083798260507,0.01526199754717572,-0.5046184841043299,-0.8840415172857239
4,20.15873679831797,0.9038816464531523,0.9750257737676948,0.7473191850142986,0.2668999521724653,-0.2957773381511347,-0.7395944663667358,-0.9715999802352571
5,20.15873679831797,0.9855385331180648,0.8750744424376391,0.5110252181357844,-0.03396067203781683,-0.5619107179970072,-0.897463243463017,-0.9750704561917534
6,20.15873679831797,0.9553882332437496,0.6718491772708239,0.2050508573441152,-0.348490390947493,-0.7843501247049075,-0.9733905217402568,-0.882343301110045
7,20.15873679831797,0.8095296611775273,0.3876471069254621,-0.12535206793184084,-0.6232784090188559,-0.9221046091755777,-0.9523278035087317,-0.6904617490986984
8,21.357437666720546,0.5709934934580274,0.06351379595055073,-0.43686913930919713,-0.827398467573772,-0.9648993502566288,-0.8420565649840436,-0.42391971031124875
9,21.357437666720546,0.3171388325566733,-0.21660934064358917,-0.663240249004599,-0.933545134830261,-0.9291631776375692,-0.676766611351624,-0.13626743503247385
10,21.357437666720546,0.03292530914224945,-0.47816740690262705,-0.8332324616185023,-0.9637651922951993,-0.8211602951169316,-0.4207281370591057,0.11930574726163945
