image_index,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,-0.8932419971216099,-0.21353611821311858,0.7548826330251526,1.0,0.7377911718895853,0.09447380352305146,-0.5542978562137403
1,-0.8563420531981623,0.04152740804811805,0.857032959545879,0.9832418672660352,0.6155134888679212,-0.07416234563167956,-0.6849952367400169
2,-0.8168402628207123,0.2989780082894755,0.92794056443735,0.9425631948501139,0.47699701591076415,-0.24206940562165802,-0.7984413687741114
3,-0.5412010429818854,0.4810512156352138,0.9704141645171249,0.8847119140712778,0.3382483909893419,-0.3908352733029352,-0.883116653850437
4,-0.2365666164454444,0.6140900497407356,0.9930963228082212,0.8149681168864849,0.20374787647964543,-0.517723292695923,-0.9391903430481819
5,-0.5184196803992394,0.6355419774556155,0.9996051546410005,0.7392588360833869,0.0802000741416562,-0.6205824595373751,-0.9705344138208711
6,-0.20382541427766943,0.7359183971376311,0.9934016440621178,0.6597100223826045,-0.034542994192023335,-0.705230871070005,-0.9841508680054042
7,0.05061613548687327,0.8152151597601658,0.9750316024596082,0.5721244552505023,-0.14571417410376142,-0.7755347866840064,-0.9818824331723244
8,0.21196325368509727,0.8608729075017298,0.9496559252750596,0.469561250637091,-0.28364897188041827,-0.8634585409910861,-0.9644374254245912
9,0.37633756983919286,0.9097327025586597,0.9120251390511012,0.3659155476226883,-0.3934633527321596,-0.9103881673202234,-0.9263284581293509
10,0.4779896895103848,0.942121286641149,0.8722113093521457,0.25520644207834886,-0.5130784783897864,-0.9526119652281796,-0.8081735944788249
