saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_temp_nearest,awe_temp_avg,awe_MLCloud_nearest,awe_time_nearest,awe_local_time_nearest,awe_file_nearest,awe_x_nearest,distance_km_nearest,peak_altitude_km,fwhm_center_km,fwhm_width_km,z_left_km,z_right_km,count_in_window,z_effective_km,T_weighted_K,T_weighted_std_K,saber_profile_mean_local_time_h,delta_temp_simple_K,delta_temp_weighted_K,delta_temp_simple_nearest_K,delta_temp_weighted_nearest_K,awe_temp_std,awe_count_used
43.78393555,-40.26522827,87.14285278,189.9353943,2024-01-12T22:29:30.040000,19.807,SABER_L2A_2024012_119869_02.08.nc,35,192,41.73697281,-38.42778397,188.8600006,188.9011539,21,2024-01-12T22:32:42.962322,19.983,awe_l3a_tmp_2024012T2231_00805_v01.nc,55,276.3024551,87.88,86.38,13.31,79.73,93.04,68,87.87,188.85,8.62,19.82,1.034240429,-0.051153858,1.075393677,-0.01000061,1.80412651,52
43.78150558,-40.25424194,86.77323914,187.8084106,2024-01-12T22:29:30.086000,19.808,SABER_L2A_2024012_119869_02.08.nc,35,193,41.73697281,-38.42778397,188.8600006,188.9011539,21,2024-01-12T22:32:42.962322,19.983,awe_l3a_tmp_2024012T2231_00805_v01.nc,55,275.57598,87.88,86.38,13.31,79.73,93.04,68,87.87,188.85,8.62,19.82,-1.092743213,-0.051153858,-1.051589966,-0.01000061,1.80412651,52
38.77827835,-40.44366455,87.22354126,205.4710236,2024-01-12T22:30:57.107000,19.82,SABER_L2A_2024012_119869_02.08.nc,36,191,41.29125595,-39.31256485,186.9400024,188.7673917,19,2024-01-12T22:32:31.430845,19.921,awe_l3a_tmp_2024012T2231_00805_v01.nc,46,299.5861334,86.12,87.03,6.25,83.91,90.16,68,86.13,197.22,8.85,19.83,16.70363186,8.452608298,18.53102112,10.27999756,1.46574926,23
38.78141022,-40.43338013,86.85620117,202.7480164,2024-01-12T22:30:57.060000,19.82,SABER_L2A_2024012_119869_02.08.nc,36,192,41.29125595,-39.31256485,186.9400024,188.7673917,19,2024-01-12T22:32:31.430845,19.921,awe_l3a_tmp_2024012T2231_00805_v01.nc,46,298.9635283,86.12,87.03,6.25,83.91,90.16,68,86.13,197.22,8.85,19.83,13.98062466,8.452608298,15.80801392,10.27999756,1.46574926,23
32.03051376,-61.93377686,87.21186066,189.315094,2024-01-08T00:57:41.639000,20.833,SABER_L2A_2024008_119796_02.08.nc,39,191,30.01236343,-59.55489731,197.4799957,197.1920933,19,2024-01-08T00:52:47.888153,20.91,awe_l3a_tmp_2024008T0047_00729_v01.nc,233,323.3110839,85.74,87.39,6.99,83.89,90.89,67,85.75,194.66,8.47,20.85,-7.876999256,-2.53209325,-8.164901733,-2.819995728,1.80489656,43
32.02881622,-61.92425537,86.84371185,191.7556,2024-01-08T00:57:41.683000,20.833,SABER_L2A_2024008_119796_02.08.nc,39,192,30.01236343,-59.55489731,197.4799957,197.1920933,19,2024-01-08T00:52:47.888153,20.91,awe_l3a_tmp_2024008T0047_00729_v01.nc,233,322.5248909,85.74,87.39,6.99,83.89,90.89,67,85.75,194.66,8.47,20.85,-5.436493275,-2.53209325,-5.724395752,-2.819995728,1.80489656,43
41.85717773,-89.08709717,87.49252319,196.4179993,2024-01-13T01:43:21.050000,19.783,SABER_L2A_2024013_119871_02.08.nc,36,191,42.18054199,-84.71071625,189.8000031,187.6700002,49,2024-01-13T01:38:35.708592,19.996,awe_l3a_tmp_2024013T0136_00807_v01.nc,62,368.2339053,85.28,86.37,12.52,80.11,92.63,68,85.61,200.94,19.15,19.79,8.747999064,13.2699998,6.617996216,11.13999695,1.329259632,15
41.86006546,-89.07626343,87.12477112,198.6717072,2024-01-13T01:43:21.004000,19.784,SABER_L2A_2024013_119871_02.08.nc,36,192,42.18054199,-84.71071625,189.8000031,187.6700002,49,2024-01-13T01:38:35.708592,19.996,awe_l3a_tmp_2024013T0136_00807_v01.nc,62,367.2910945,85.28,86.37,12.52,80.11,92.63,68,85.61,200.94,19.15,19.79,11.00170695,13.2699998,8.871704102,11.13999695,1.329259632,15
41.86289597,-89.06539917,86.75657654,199.5902405,2024-01-13T01:43:20.959000,19.785,SABER_L2A_2024013_119871_02.08.nc,36,193,42.18054199,-84.71071625,189.8000031,187.6700002,49,2024-01-13T01:38:35.708592,19.996,awe_l3a_tmp_2024013T0136_00807_v01.nc,62,366.3467222,85.28,86.37,12.52,80.11,92.63,68,85.61,200.94,19.15,19.79,11.92024028,13.2699998,9.790237427,11.13999695,1.329259632,15
33.14627457,-13.25839233,87.45617676,184.0544891,2024-01-07T21:44:04.563000,20.851,SABER_L2A_2024007_119794_02.08.nc,40,190,31.15981293,-10.97380161,179.25,179.4656401,12,2024-01-07T21:47:25.733628,21.059,awe_l3a_tmp_2024007T2141_00727_v01.nc,252,312.4866598,88.56,88.73,7.7,84.88,92.58,68,88.56,169.65,17.27,20.86,4.588848994,-9.815640141,4.804489136,-9.6,1.347449091,78
