,saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time_pm12,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_time_nearest,awe_local_time_nearest_pm12,awe_file_nearest,awe_x_nearest,awe_temp_nearest,awe_MLCloud_nearest,distance_km_nearest,awe_temp_avg,awe_temp_std,awe_count_used,awe_temp_avg_unfiltered,awe_temp_std_unfiltered,awe_count_unfiltered,peak_altitude_km,fwhm_center_km,fwhm_width_km,z_left_km,z_right_km,count_in_window,z_effective_km,T_weighted_K,T_weighted_std_K,saber_profile_mean_local_time_h,delta_temp_simple_K,delta_temp_weighted_K,delta_temp_simple_unfiltered_K,delta_temp_weighted_unfiltered_K,count_ratio
6030,51.33291245,-22.24328613,86.89748383,171.5152893,2024-07-16T00:56:19.916000,-0.544,SABER_L2A_2024198_122628_02.08.nc,20,193,48.3993454,-17.89702034,2024-07-16T01:01:40.572761,-0.165,awe_l3a_tmp_2024198T0103_03673_v01.nc,231,180.2400055,47,457.0530544,127.5352295,44.6966794,3010,127.5352295,44.6966794,3010,86.9,87.63,5.18,85.04,90.23,67,86.9,174.89,11.36,23.47,43.98005982,47.35477051,43.98005982,47.35477051,1
6031,51.32529068,-22.23773193,86.52700043,172.8002472,2024-07-16T00:56:19.961000,-0.544,SABER_L2A_2024198_122628_02.08.nc,20,194,48.3993454,-17.89702034,2024-07-16T01:01:40.572761,-0.165,awe_l3a_tmp_2024198T0103_03673_v01.nc,231,180.2400055,47,456.1712022,128.0507071,44.69335008,3070,128.0507071,44.69335008,3070,86.9,87.63,5.18,85.04,90.23,67,86.9,174.89,11.36,23.47,44.7495401,46.8392929,44.7495401,46.8392929,1
6283,-23.15613174,-66.3041687,87.34151459,179.1700134,2024-08-17T06:08:21.861000,1.719,SABER_L2A_2024230_123108_02.08.nc,50,187,-22.76202393,-66.86483002,2024-08-17T06:08:20.171993,1.681,awe_l3a_tmp_2024230T0548_04172_v01.nc,881,206.6100006,18,73.20564323,196.80687,18.21725991,4575,196.8447089,16.82362742,5547,87.71,86.96,9.55,82.19,91.74,68,87.72,174.48,10.17,1.73,-17.63685655,-22.32686998,-17.67469545,-22.36470888,0.824770146
6284,-23.15434265,-66.29544067,86.97427368,175.4898376,2024-08-17T06:08:21.904000,1.72,SABER_L2A_2024230_123108_02.08.nc,50,188,-22.69535065,-66.80136871,2024-08-17T06:08:21.515353,1.686,awe_l3a_tmp_2024230T0548_04172_v01.nc,882,209.3699951,18,73.72160013,196.7778489,18.20147493,4579,196.8209896,16.81402485,5548,87.71,86.96,9.55,82.19,91.74,68,87.72,174.48,10.17,1.73,-21.28801126,-22.29784891,-21.33115192,-22.34098957,0.825342466
6285,-23.15261459,-66.28665161,86.60694122,172.6186066,2024-08-17T06:08:21.949000,1.72,SABER_L2A_2024230_123108_02.08.nc,50,189,-22.69535065,-66.80136871,2024-08-17T06:08:21.515353,1.686,awe_l3a_tmp_2024230T0548_04172_v01.nc,882,209.3699951,18,74.23925632,196.7516853,18.18418195,4581,196.7984409,16.80181918,5548,87.71,86.96,9.55,82.19,91.74,68,87.72,174.48,10.17,1.74,-24.13307869,-22.27168526,-24.17983434,-22.3184409,0.825702956
6774,18.61714172,-175.1952972,87.41638947,192.540863,2024-09-05T08:36:13.776000,-3.076,SABER_L2A_2024249_123393_02.08.nc,42,192,19.81912041,-176.8047791,2024-09-05T08:28:17.303994,-3.316,awe_l3a_tmp_2024249T0819_04468_v01.nc,384,186.2299957,2,218.3959022,185.2719521,5.101931674,4416,185.2719521,5.101931674,4416,84.86,86.68,8.77,82.29,91.06,68,84.92,200.33,14.94,20.94,7.268910982,15.05804794,7.268910982,15.05804794,1
6775,18.61608124,-175.1867065,87.0513382,191.4384613,2024-09-05T08:36:13.819000,-3.075,SABER_L2A_2024249_123393_02.08.nc,42,193,19.8877449,-176.7449951,2024-09-05T08:28:18.593360,-3.311,awe_l3a_tmp_2024249T0819_04468_v01.nc,385,185.6100006,2,219.1764341,185.2861516,5.090248198,4407,185.2861516,5.090248198,4407,84.86,86.68,8.77,82.29,91.06,68,84.92,200.33,14.94,20.94,6.152309666,15.04384836,6.152309666,15.04384836,1
6776,18.61497688,-175.1781158,86.68616486,191.5945282,2024-09-05T08:36:13.863000,-3.075,SABER_L2A_2024249_123393_02.08.nc,42,194,19.8877449,-176.7449951,2024-09-05T08:28:18.593360,-3.311,awe_l3a_tmp_2024249T0819_04468_v01.nc,385,185.6100006,2,219.950375,185.2963544,5.07838924,4397,185.2963544,5.07838924,4397,84.86,86.68,8.77,82.29,91.06,68,84.92,200.33,14.94,20.94,6.298173802,15.0336456,6.298173802,15.0336456,1
7780,49.27714539,-21.38433838,87.3157959,190.5885773,2024-11-13T23:53:56.369000,-1.527,SABER_L2A_2024318_124432_02.08.nc,18,190,51.21373367,-20.95909119,2024-11-13T23:57:27.523351,-1.44,awe_l3a_tmp_2024318T2349_05547_v01.nc,374,215.0700073,18,220.4199332,205.5767933,4.700653912,4422,205.5767933,4.700653912,4422,86.21,86.57,6.63,83.26,89.89,68,86.22,186.46,14.04,22.49,-14.98821603,-19.1167933,-14.98821603,-19.1167933,1
7781,49.27056885,-21.37649536,86.9473877,182.7041626,2024-11-13T23:53:56.414000,-1.526,SABER_L2A_2024318_124432_02.08.nc,18,191,51.21373367,-20.95909119,2024-11-13T23:57:27.523351,-1.44,awe_l3a_tmp_2024318T2349_05547_v01.nc,374,215.0700073,18,221.0766925,205.5731847,4.702906701,4418,205.5731847,4.702906701,4418,86.21,86.57,6.63,83.26,89.89,68,86.22,186.46,14.04,22.49,-22.86902209,-19.11318469,-22.86902209,-19.11318469,1
