Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3291,0,3333,0.5031702898550725,1.0
0.01,405,2886,1,3332,0.5641606280193237,0.9996999699969997
0.02,497,2794,2,3331,0.5778985507246377,0.9993999399939995
0.03,558,2733,2,3331,0.5871074879227053,0.9993999399939995
0.04,627,2664,4,3329,0.5972222222222222,0.9987998799879988
0.05,668,2623,4,3329,0.6034118357487923,0.9987998799879988
0.06,714,2577,4,3329,0.6103562801932367,0.9987998799879988
0.07,769,2522,4,3329,0.6186594202898551,0.9987998799879988
0.08,816,2475,4,3329,0.6257548309178744,0.9987998799879988
0.09,865,2426,5,3328,0.6330012077294686,0.9984998499849985
0.1,909,2382,8,3325,0.6391908212560387,0.9975997599759976
0.11,959,2332,11,3322,0.646286231884058,0.9966996699669967
0.12,1006,2285,17,3316,0.652475845410628,0.9948994899489949
0.13,1049,2242,19,3314,0.6586654589371981,0.9942994299429943
0.14,1099,2192,21,3312,0.6659118357487923,0.9936993699369937
0.15,1156,2135,22,3311,0.6743659420289855,0.9933993399339934
0.16,1198,2093,28,3305,0.6798007246376812,0.9915991599159916
0.17,1250,2041,31,3302,0.6871980676328503,0.9906990699069907
0.18,1300,1991,34,3299,0.6942934782608695,0.9897989798979898
0.19,1359,1932,41,3292,0.7021437198067633,0.9876987698769877
0.2,1408,1883,49,3284,0.7083333333333334,0.9852985298529853
0.21,1466,1825,52,3281,0.7166364734299517,0.9843984398439845
0.22,1521,1770,62,3271,0.7234299516908212,0.9813981398139814
0.23,1578,1713,71,3262,0.7306763285024155,0.9786978697869787
0.24,1651,1640,80,3253,0.7403381642512077,0.975997599759976
0.25,1701,1590,91,3242,0.746225845410628,0.9726972697269727
0.26,1748,1543,101,3232,0.7518115942028986,0.9696969696969697
0.27,1807,1484,115,3218,0.7586050724637681,0.9654965496549655
0.28,1876,1415,125,3208,0.767512077294686,0.9624962496249625
0.29,1942,1349,139,3194,0.7753623188405797,0.9582958295829583
0.3,1991,1300,145,3188,0.7818538647342995,0.9564956495649565
0.31,2060,1231,156,3177,0.7906099033816425,0.9531953195319532
0.32,2116,1175,180,3153,0.7954408212560387,0.945994599459946
0.33,2174,1117,199,3134,0.8013285024154589,0.9402940294029403
0.34,2229,1062,224,3109,0.8058574879227053,0.9327932793279328
0.35,2293,998,253,3080,0.811141304347826,0.9240924092409241
0.36,2352,939,284,3049,0.8153683574879227,0.9147914791479148
0.37,2418,873,321,3012,0.8197463768115942,0.9036903690369037
0.38,2477,814,352,2981,0.8239734299516909,0.8943894389438944
0.39,2538,753,388,2945,0.8277475845410628,0.8835883588358836
0.4,2591,700,424,2909,0.8303140096618358,0.8727872787278728
0.41,2646,645,453,2880,0.8342391304347826,0.8640864086408641
0.42,2691,600,481,2852,0.8368055555555556,0.8556855685568557
0.43,2740,551,509,2824,0.839975845410628,0.8472847284728473
0.44,2772,519,542,2791,0.8398248792270532,0.8373837383738374
0.45,2808,483,568,2765,0.8413345410628019,0.8295829582958296
0.46,2826,465,586,2747,0.8413345410628019,0.8241824182418241
0.47,2852,439,611,2722,0.8414855072463768,0.8166816681668166
0.48,2873,418,637,2696,0.8407306763285024,0.8088808880888089
0.49,2899,392,658,2675,0.8414855072463768,0.8025802580258026
0.5,2918,373,676,2657,0.8416364734299517,0.7971797179717972
0.51,2932,359,692,2641,0.8413345410628019,0.7923792379237924
0.52,2945,346,718,2615,0.8393719806763285,0.7845784578457846
0.53,2955,336,736,2597,0.8381642512077294,0.7791779177917791
0.54,2965,326,754,2579,0.8369565217391305,0.7737773777377738
0.55,2975,316,773,2560,0.8355978260869565,0.768076807680768
0.56,2986,305,791,2542,0.8345410628019324,0.7626762676267627
0.57,2994,297,813,2520,0.832427536231884,0.7560756075607561
0.58,3006,285,828,2505,0.8319746376811594,0.7515751575157515
0.59,3012,279,847,2486,0.830012077294686,0.7458745874587459
0.6,3023,268,866,2467,0.8288043478260869,0.7401740174017402
0.61,3038,253,900,2433,0.8259359903381642,0.72997299729973
0.62,3049,242,924,2409,0.8239734299516909,0.7227722772277227
0.63,3056,235,946,2387,0.8217089371980676,0.7161716171617162
0.64,3066,225,976,2357,0.8186896135265701,0.7071707170717072
0.65,3079,212,1006,2327,0.8161231884057971,0.6981698169816982
0.66,3091,200,1041,2292,0.8126509661835749,0.6876687668766877
0.67,3106,185,1074,2259,0.809933574879227,0.6777677767776777
0.68,3126,165,1098,2235,0.8093297101449275,0.6705670567056705
0.69,3140,151,1135,2198,0.8058574879227053,0.6594659465946595
0.7,3156,135,1167,2166,0.8034420289855072,0.6498649864986499
0.71,3169,122,1204,2129,0.7998188405797102,0.6387638763876388
0.72,3176,115,1249,2084,0.7940821256038647,0.6252625262526252
0.73,3193,98,1301,2032,0.7887983091787439,0.6096609660966097
0.74,3213,78,1381,1952,0.7797403381642513,0.5856585658565857
0.75,3227,64,1418,1915,0.7762681159420289,0.5745574557455746
0.76,3230,61,1451,1882,0.7717391304347826,0.5646564656465647
0.77,3238,53,1489,1844,0.7672101449275363,0.5532553255325533
0.78,3242,49,1518,1815,0.7634359903381642,0.5445544554455446
0.79,3247,44,1551,1782,0.7592089371980676,0.5346534653465347
0.8,3251,40,1600,1733,0.7524154589371981,0.51995199519952
0.81,3258,33,1659,1674,0.7445652173913043,0.5022502250225023
0.82,3259,32,1704,1629,0.7379227053140096,0.48874887488748875
0.83,3264,27,1741,1592,0.7330917874396136,0.47764776477647763
0.84,3265,26,1795,1538,0.7250905797101449,0.46144614461446143
0.85,3273,18,1830,1503,0.7210144927536232,0.45094509450945097
0.86,3275,16,1889,1444,0.7124094202898551,0.43324332433243323
0.87,3278,13,1938,1395,0.7054649758454107,0.41854185418541856
0.88,3278,13,1980,1353,0.6991243961352657,0.40594059405940597
0.89,3280,11,2028,1305,0.6921799516908212,0.3915391539153915
0.9,3281,10,2081,1252,0.6843297101449275,0.37563756375637564
0.91,3283,8,2137,1196,0.676177536231884,0.35883588358835883
0.92,3284,7,2203,1130,0.6663647342995169,0.339033903390339
0.93,3286,5,2262,1071,0.6577596618357487,0.3213321332133213
0.94,3287,4,2308,1025,0.6509661835748792,0.30753075307530753
0.95,3287,4,2374,959,0.6410024154589372,0.2877287728772877
0.96,3288,3,2436,897,0.6317934782608695,0.26912691269126915
0.97,3289,2,2523,810,0.6188103864734299,0.24302430243024303
0.98,3289,2,2633,700,0.6022041062801933,0.21002100210021002
0.99,3290,1,2764,569,0.5825785024154589,0.1707170717071707
1.0,3291,0,3234,99,0.5117753623188406,0.0297029702970297
