angle_deg,slope_km_per_min,slope_m_per_s,dominant_ft_cyc_per_min,dominant_kx_cyc_per_km,dominant_period_min,dominant_wavelength_km
0.000000000000000000e+00,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
5.000000000000000000e+00,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.000000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.500000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
2.000000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
2.500000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
3.000000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
3.500000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
4.000000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
4.500000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
5.000000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
5.500000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
6.000000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
6.500000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
7.000000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
7.500000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
8.000000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
8.500000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
9.000000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
9.500000000000000000e+01,-1.787499999999999867e+00,-2.979166666666666430e+01,1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.000000000000000000e+02,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
