distance_km,best_shift_pixels,maximum_correlation
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.999982175802363260e-01
2.000000000000000000e+00,0.000000000000000000e+00,9.999928087056910719e-01
3.000000000000000000e+00,0.000000000000000000e+00,9.999840941892206292e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.999733244797308629e-01
5.000000000000000000e+00,0.000000000000000000e+00,9.999624748438293853e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.999530723161179635e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.999453582265412921e-01
8.000000000000000000e+00,0.000000000000000000e+00,9.999389245712332341e-01
9.000000000000000000e+00,0.000000000000000000e+00,9.999336352587326893e-01
1.000000000000000000e+01,0.000000000000000000e+00,9.999295983334617333e-01
1.100000000000000000e+01,0.000000000000000000e+00,9.999266920230160949e-01
1.200000000000000000e+01,0.000000000000000000e+00,9.999243003034584687e-01
1.300000000000000000e+01,0.000000000000000000e+00,9.999215140459137841e-01
1.400000000000000000e+01,0.000000000000000000e+00,9.999176980747360721e-01
1.500000000000000000e+01,0.000000000000000000e+00,9.999127039395747651e-01
1.600000000000000000e+01,0.000000000000000000e+00,9.999065781103445572e-01
1.700000000000000000e+01,0.000000000000000000e+00,9.998992828155227608e-01
1.800000000000000000e+01,0.000000000000000000e+00,9.998906050144847901e-01
1.900000000000000000e+01,0.000000000000000000e+00,9.998802690740772325e-01
2.000000000000000000e+01,0.000000000000000000e+00,9.998681694370036288e-01
2.100000000000000000e+01,0.000000000000000000e+00,9.998545648771198779e-01
2.200000000000000000e+01,0.000000000000000000e+00,9.998402137995685557e-01
2.300000000000000000e+01,0.000000000000000000e+00,9.998262075966751761e-01
2.400000000000000000e+01,0.000000000000000000e+00,9.998132721453287797e-01
2.500000000000000000e+01,0.000000000000000000e+00,9.998011271924702736e-01
2.600000000000000000e+01,0.000000000000000000e+00,9.997888457606360912e-01
2.700000000000000000e+01,0.000000000000000000e+00,9.997760071721916164e-01
2.800000000000000000e+01,0.000000000000000000e+00,9.997633125322634706e-01
2.900000000000000000e+01,0.000000000000000000e+00,9.997519814330155796e-01
3.000000000000000000e+01,1.000000000000000000e+00,9.997510317411979486e-01
3.100000000000000000e+01,1.000000000000000000e+00,9.997511983267123314e-01
3.200000000000000000e+01,1.000000000000000000e+00,9.997501113521383154e-01
3.300000000000000000e+01,1.000000000000000000e+00,9.997473592805393716e-01
3.400000000000000000e+01,1.000000000000000000e+00,9.997424165944491792e-01
3.500000000000000000e+01,1.000000000000000000e+00,9.997346482104657595e-01
3.600000000000000000e+01,1.000000000000000000e+00,9.997241661036480043e-01
3.700000000000000000e+01,1.000000000000000000e+00,9.997124836072128762e-01
3.800000000000000000e+01,1.000000000000000000e+00,9.997016969773231398e-01
3.900000000000000000e+01,1.000000000000000000e+00,9.996931617168650641e-01
4.000000000000000000e+01,1.000000000000000000e+00,9.996870982926980842e-01
4.100000000000000000e+01,1.000000000000000000e+00,9.996830163268066727e-01
4.200000000000000000e+01,1.000000000000000000e+00,9.996804887342148893e-01
4.300000000000000000e+01,1.000000000000000000e+00,9.996797424314648461e-01
4.400000000000000000e+01,1.000000000000000000e+00,9.996812210904022500e-01
4.500000000000000000e+01,1.000000000000000000e+00,9.996846290334135965e-01
4.600000000000000000e+01,1.000000000000000000e+00,9.996887262145031094e-01
4.700000000000000000e+01,1.000000000000000000e+00,9.996917526901905049e-01
4.800000000000000000e+01,1.000000000000000000e+00,9.996916638143320544e-01
4.900000000000000000e+01,1.000000000000000000e+00,9.996864816207076121e-01
5.000000000000000000e+01,1.000000000000000000e+00,9.996756054215730769e-01
5.100000000000000000e+01,1.000000000000000000e+00,9.996612682180373577e-01
5.200000000000000000e+01,1.000000000000000000e+00,9.996481154171139583e-01
5.300000000000000000e+01,1.000000000000000000e+00,9.996407067769516042e-01
5.400000000000000000e+01,1.000000000000000000e+00,9.996410988188972890e-01
5.500000000000000000e+01,1.000000000000000000e+00,9.996483458098940345e-01
5.600000000000000000e+01,1.000000000000000000e+00,9.996596743446316546e-01
5.700000000000000000e+01,1.000000000000000000e+00,9.996720725238104066e-01
5.800000000000000000e+01,1.000000000000000000e+00,9.996836786429242894e-01
5.900000000000000000e+01,1.000000000000000000e+00,9.996943316814517200e-01
6.000000000000000000e+01,1.000000000000000000e+00,9.997045327660618597e-01
6.100000000000000000e+01,1.000000000000000000e+00,9.997138378342949050e-01
6.200000000000000000e+01,1.000000000000000000e+00,9.997204698557201619e-01
6.300000000000000000e+01,1.000000000000000000e+00,9.997222670238110620e-01
6.400000000000000000e+01,1.000000000000000000e+00,9.997178921499110249e-01
6.500000000000000000e+01,1.000000000000000000e+00,9.997072690520872884e-01
6.600000000000000000e+01,1.000000000000000000e+00,9.996911560007837316e-01
6.700000000000000000e+01,1.000000000000000000e+00,9.996709723921212154e-01
6.800000000000000000e+01,1.000000000000000000e+00,9.996492449406192415e-01
6.900000000000000000e+01,1.000000000000000000e+00,9.996295286436556182e-01
7.000000000000000000e+01,1.000000000000000000e+00,9.996150313265477205e-01
7.100000000000000000e+01,1.000000000000000000e+00,9.996069500048333500e-01
7.200000000000000000e+01,1.000000000000000000e+00,9.996043967330437985e-01
7.300000000000000000e+01,1.000000000000000000e+00,9.996058562776479750e-01
7.400000000000000000e+01,1.000000000000000000e+00,9.996102396231359988e-01
7.500000000000000000e+01,1.000000000000000000e+00,9.996170159851567316e-01
7.600000000000000000e+01,1.000000000000000000e+00,9.996263154054705335e-01
7.700000000000000000e+01,1.000000000000000000e+00,9.996386447014197207e-01
7.800000000000000000e+01,1.000000000000000000e+00,9.996535433008950644e-01
7.900000000000000000e+01,1.000000000000000000e+00,9.996685609837765440e-01
8.000000000000000000e+01,1.000000000000000000e+00,9.996801702896432884e-01
8.100000000000000000e+01,1.000000000000000000e+00,9.996856438997799854e-01
8.200000000000000000e+01,1.000000000000000000e+00,9.996839352823393421e-01
8.300000000000000000e+01,1.000000000000000000e+00,9.996754564949126287e-01
8.400000000000000000e+01,1.000000000000000000e+00,9.996618062906917901e-01
8.500000000000000000e+01,1.000000000000000000e+00,9.996456648566558467e-01
8.600000000000000000e+01,1.000000000000000000e+00,9.996304004439294788e-01
8.700000000000000000e+01,1.000000000000000000e+00,9.996190950766870031e-01
8.800000000000000000e+01,1.000000000000000000e+00,9.996132546565296151e-01
8.900000000000000000e+01,1.000000000000000000e+00,9.996121582983688025e-01
9.000000000000000000e+01,1.000000000000000000e+00,9.996133090363196194e-01
9.100000000000000000e+01,1.000000000000000000e+00,9.996133568424699911e-01
9.200000000000000000e+01,1.000000000000000000e+00,9.996091909490222305e-01
9.300000000000000000e+01,1.000000000000000000e+00,9.995991101524592803e-01
9.400000000000000000e+01,1.000000000000000000e+00,9.995831581546780198e-01
9.500000000000000000e+01,1.000000000000000000e+00,9.995624167949662686e-01
9.600000000000000000e+01,1.000000000000000000e+00,9.995383091315802604e-01
9.700000000000000000e+01,1.000000000000000000e+00,9.995122830636667954e-01
9.800000000000000000e+01,1.000000000000000000e+00,9.994854135945199225e-01
9.900000000000000000e+01,1.000000000000000000e+00,9.994579459072616689e-01
1.000000000000000000e+02,2.000000000000000000e+00,9.994403232752798738e-01
1.010000000000000000e+02,2.000000000000000000e+00,9.994361477226242352e-01
1.020000000000000000e+02,2.000000000000000000e+00,9.994305908980716247e-01
1.030000000000000000e+02,2.000000000000000000e+00,9.994234785343403260e-01
1.040000000000000000e+02,2.000000000000000000e+00,9.994163046409980655e-01
1.050000000000000000e+02,2.000000000000000000e+00,9.994111774206095866e-01
1.060000000000000000e+02,2.000000000000000000e+00,9.994088633454829562e-01
1.070000000000000000e+02,2.000000000000000000e+00,9.994079007452828511e-01
1.080000000000000000e+02,2.000000000000000000e+00,9.994057208723762242e-01
1.090000000000000000e+02,2.000000000000000000e+00,9.994005485322069449e-01
1.100000000000000000e+02,2.000000000000000000e+00,9.993925872221045559e-01
1.110000000000000000e+02,2.000000000000000000e+00,9.993837779345632333e-01
1.120000000000000000e+02,2.000000000000000000e+00,9.993761234402933624e-01
1.130000000000000000e+02,2.000000000000000000e+00,9.993699499517284535e-01
1.140000000000000000e+02,2.000000000000000000e+00,9.993639252370936088e-01
1.150000000000000000e+02,2.000000000000000000e+00,9.993565317690875638e-01
1.160000000000000000e+02,2.000000000000000000e+00,9.993469759165829469e-01
1.170000000000000000e+02,2.000000000000000000e+00,9.993349045031086897e-01
1.180000000000000000e+02,2.000000000000000000e+00,9.993201508936216948e-01
1.190000000000000000e+02,2.000000000000000000e+00,9.993031711551361163e-01
1.200000000000000000e+02,2.000000000000000000e+00,9.992854219493816359e-01
1.210000000000000000e+02,2.000000000000000000e+00,9.992692088321981636e-01
1.220000000000000000e+02,2.000000000000000000e+00,9.992571372383052264e-01
1.230000000000000000e+02,2.000000000000000000e+00,9.992508123627318328e-01
1.240000000000000000e+02,2.000000000000000000e+00,9.992500529727329495e-01
1.250000000000000000e+02,2.000000000000000000e+00,9.992543365287396284e-01
1.260000000000000000e+02,2.000000000000000000e+00,9.992637947485409899e-01
1.270000000000000000e+02,2.000000000000000000e+00,9.992775541664271621e-01
1.280000000000000000e+02,2.000000000000000000e+00,9.992921382522190754e-01
1.290000000000000000e+02,2.000000000000000000e+00,9.993023885518080851e-01
1.300000000000000000e+02,2.000000000000000000e+00,9.993044737960886659e-01
1.310000000000000000e+02,2.000000000000000000e+00,9.992993902498233938e-01
1.320000000000000000e+02,2.000000000000000000e+00,9.992933135395430932e-01
1.330000000000000000e+02,2.000000000000000000e+00,9.992913764374113939e-01
1.340000000000000000e+02,2.000000000000000000e+00,9.992916890433385380e-01
1.350000000000000000e+02,2.000000000000000000e+00,9.992890330295172152e-01
1.360000000000000000e+02,2.000000000000000000e+00,9.992809026137000616e-01
1.370000000000000000e+02,2.000000000000000000e+00,9.992667154243534133e-01
1.380000000000000000e+02,2.000000000000000000e+00,9.992455128543691334e-01
1.390000000000000000e+02,2.000000000000000000e+00,9.992170699073823492e-01
1.400000000000000000e+02,2.000000000000000000e+00,9.991834610626147972e-01
1.410000000000000000e+02,2.000000000000000000e+00,9.991480537132491069e-01
1.420000000000000000e+02,2.000000000000000000e+00,9.991131045925305543e-01
1.430000000000000000e+02,2.000000000000000000e+00,9.990789304067094756e-01
1.440000000000000000e+02,2.000000000000000000e+00,9.990453838790427366e-01
1.450000000000000000e+02,2.000000000000000000e+00,9.990135071670376288e-01
1.460000000000000000e+02,2.000000000000000000e+00,9.989853101672647728e-01
1.470000000000000000e+02,2.000000000000000000e+00,9.989621593535145117e-01
1.480000000000000000e+02,2.000000000000000000e+00,9.989439084218090237e-01
1.490000000000000000e+02,2.000000000000000000e+00,9.989295291341994121e-01
1.500000000000000000e+02,2.000000000000000000e+00,9.989179883920371594e-01
1.510000000000000000e+02,2.000000000000000000e+00,9.989085308630032412e-01
