distance_km,best_shift_minutes,maximum_correlation
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.999982500292428078e-01
2.000000000000000000e+00,0.000000000000000000e+00,9.999929644771110571e-01
3.000000000000000000e+00,0.000000000000000000e+00,9.999843476028481559e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.999735142645401753e-01
5.000000000000000000e+00,0.000000000000000000e+00,9.999621982454663938e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.999516810848194659e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.999423382598493504e-01
8.000000000000000000e+00,0.000000000000000000e+00,9.999340524035804645e-01
9.000000000000000000e+00,0.000000000000000000e+00,9.999266089015360626e-01
1.000000000000000000e+01,0.000000000000000000e+00,9.999198202430866766e-01
1.100000000000000000e+01,0.000000000000000000e+00,9.999135344410393644e-01
1.200000000000000000e+01,0.000000000000000000e+00,9.999073885444228482e-01
1.300000000000000000e+01,0.000000000000000000e+00,9.999006631275196844e-01
1.400000000000000000e+01,0.000000000000000000e+00,9.998925450955387095e-01
1.500000000000000000e+01,0.000000000000000000e+00,9.998823449944500563e-01
1.600000000000000000e+01,0.000000000000000000e+00,9.998695814661962000e-01
1.700000000000000000e+01,0.000000000000000000e+00,9.998542054557157943e-01
1.800000000000000000e+01,0.000000000000000000e+00,9.998369349188520605e-01
1.900000000000000000e+01,0.000000000000000000e+00,9.998194241491342726e-01
2.000000000000000000e+01,0.000000000000000000e+00,9.998036544446303742e-01
2.100000000000000000e+01,0.000000000000000000e+00,9.997907250542861224e-01
2.200000000000000000e+01,0.000000000000000000e+00,9.997806307913397195e-01
2.300000000000000000e+01,0.000000000000000000e+00,9.997734451016727641e-01
2.400000000000000000e+01,0.000000000000000000e+00,9.997698150408644846e-01
2.500000000000000000e+01,0.000000000000000000e+00,9.997697161989080872e-01
2.600000000000000000e+01,0.000000000000000000e+00,9.997715752342999362e-01
2.700000000000000000e+01,0.000000000000000000e+00,9.997733357120883735e-01
2.800000000000000000e+01,0.000000000000000000e+00,9.997739266299549010e-01
