angle_deg,uncorrected_slope_min_per_km,uncorrected_intercept_minutes,uncorrected_speed_km_per_min,uncorrected_speed_m_per_s,uncorrected_r_squared,uncorrected_number_of_fit_points,corrected_slope_min_per_km,corrected_intercept_minutes,corrected_speed_km_per_min,corrected_speed_m_per_s,corrected_r_squared,corrected_number_of_fit_points
0.000000000000000000e+00,1.887611458926199623e-02,1.345095807247207453e-01,5.297700410066737220e+01,8.829500683444562128e+02,8.463849687418777412e-01,2.510000000000000000e+02,1.893985960918231903e-02,1.026370707645610364e-01,5.279870181905601356e+01,8.799783636509334883e+02,8.493782933939854063e-01,2.510000000000000000e+02
5.000000000000000000e+00,2.166420034149117713e-02,8.081957882754746414e-02,4.615910046237915054e+01,7.693183410396525232e+02,8.592137543646576336e-01,2.510000000000000000e+02,2.162625687725289181e-02,5.881236956934608566e-03,4.624008702365078705e+01,7.706681170608463844e+02,8.586399433307958518e-01,2.510000000000000000e+02
1.000000000000000000e+01,2.305596660975147219e-02,-6.924682223486965105e-02,4.337272068988216489e+01,7.228786781647028192e+02,8.645853696002396838e-01,2.510000000000000000e+02,2.314703092392335348e-02,-1.443748814266737068e-01,4.320208510917316858e+01,7.200347518195527527e+02,8.703671518192754863e-01,2.510000000000000000e+02
1.500000000000000000e+01,2.602162777461582144e-02,-1.291974957313596628e-01,3.842957130358705342e+01,6.404928550597841195e+02,9.149998599256672360e-01,2.510000000000000000e+02,2.604287611458926122e-02,-1.557579206981594411e-01,3.839821667929366811e+01,6.399702779882278492e+02,9.152384091961740520e-01,2.510000000000000000e+02
2.000000000000000000e+01,2.635553025991273224e-02,-1.157275659267624490e-02,3.794270083501295687e+01,6.323783472502159384e+02,9.163205507467018229e-01,2.510000000000000000e+02,2.663479415670650177e-02,-1.022576361221775587e-01,3.754487435181492572e+01,6.257479058635821048e+02,9.218704006369961013e-01,2.510000000000000000e+02
2.500000000000000000e+01,2.614760007588693216e-02,-2.542212103965021952e-02,3.824442767587647296e+01,6.374071279312745446e+02,9.191638570298212851e-01,2.510000000000000000e+02,2.629785619427053509e-02,-6.014039081768097345e-02,3.802591331448029166e+01,6.337652219080048326e+02,9.204793606848140630e-01,2.510000000000000000e+02
3.000000000000000000e+01,2.567103016505407204e-02,2.618099032441673080e-02,3.895441645973749445e+01,6.492402743289582077e+02,9.149413249029757500e-01,2.510000000000000000e+02,2.582432176057674125e-02,-8.916714095996381914e-03,3.872318542462532776e+01,6.453864237437554721e+02,9.164224542477609203e-01,2.510000000000000000e+02
3.500000000000000000e+01,2.739518118004173608e-02,-6.070954278125563312e-03,3.650277008310249727e+01,6.083795013850416353e+02,9.164936650463588741e-01,2.510000000000000000e+02,2.733143616012141328e-02,-1.403908176816515488e-02,3.658790537538872201e+01,6.097984229231453810e+02,9.162388015844762368e-01,2.510000000000000000e+02
4.000000000000000000e+01,2.610965661164864338e-02,1.227471068108526575e-01,3.830000581293960238e+01,6.383334302156600870e+02,9.152481741779354696e-01,2.510000000000000000e+02,2.618099032441661977e-02,8.992601024473548255e-02,3.819565217391303946e+01,6.365942028985506340e+02,9.160617311315527589e-01,2.510000000000000000e+02
4.500000000000000000e+01,2.775488522102068090e-02,2.358186302409410740e-01,3.602969322469513713e+01,6.004948870782523045e+02,9.143600001093684648e-01,2.510000000000000000e+02,2.806753936634414498e-02,1.808006070954284172e-01,3.562834586059590691e+01,5.938057643432651957e+02,9.172484749003941840e-01,2.510000000000000000e+02
5.000000000000000000e+01,2.727224435590969512e-02,2.005312084993361166e-01,3.666731593299571301e+01,6.111219322165951553e+02,9.162157335955267712e-01,2.510000000000000000e+02,2.734964902295579370e-02,1.510149876683741510e-01,3.656354051054384513e+01,6.093923418423975136e+02,9.181685286192144968e-01,2.510000000000000000e+02
5.500000000000000000e+01,2.680781635363308629e-02,6.734964902295630107e-02,3.730255336013134837e+01,6.217092226688558867e+02,9.184708000294399266e-01,2.510000000000000000e+02,2.685790172642762291e-02,1.328021248340021526e-02,3.723299050632911644e+01,6.205498417721519218e+02,9.205969461250360641e-01,2.510000000000000000e+02
6.000000000000000000e+01,2.596091823183456493e-02,1.384936444697442391e-02,3.851943876059631577e+01,6.419906460099385868e+02,9.154328172347818704e-01,2.510000000000000000e+02,2.600796812749004219e-02,-1.593625498007895935e-02,3.844975490196078027e+01,6.408292483660130756e+02,9.159554565701558682e-01,2.510000000000000000e+02
6.500000000000000000e+01,2.747713906279643237e-02,-1.836463669132988030e-01,3.639389085285019831e+01,6.065648475475032910e+02,9.253199852063906938e-01,2.510000000000000000e+02,2.578637829633845593e-02,-9.979131094668909630e-02,3.878016480282519041e+01,6.463360800470865115e+02,8.985304646109979476e-01,2.510000000000000000e+02
7.000000000000000000e+01,2.628419654714475237e-02,-1.301460823373171427e-01,3.804567502021019010e+01,6.340945836701698681e+02,9.205606119204159388e-01,2.510000000000000000e+02,2.608840827167520707e-02,-1.455131853538220998e-01,3.833120018616556735e+01,6.388533364360927180e+02,9.192516260105688675e-01,2.510000000000000000e+02
7.500000000000000000e+01,2.457825839499146181e-02,-1.001707455890719078e-01,4.068636532048907384e+01,6.781060886748178973e+02,9.017176278844268866e-01,2.510000000000000000e+02,2.428229937393283980e-02,-1.667615253272621556e-01,4.118226139133695796e+01,6.863710231889492661e+02,9.006836938277860138e-01,2.510000000000000000e+02
