distance_km,best_shift_minutes,maximum_correlation
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.999985336025705163e-01
2.000000000000000000e+00,0.000000000000000000e+00,9.999947683816741151e-01
3.000000000000000000e+00,0.000000000000000000e+00,9.999894678126467484e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.999832410117442949e-01
5.000000000000000000e+00,0.000000000000000000e+00,9.999769196272102478e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.999715365600480022e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.999674436208415562e-01
8.000000000000000000e+00,0.000000000000000000e+00,9.999636290273857808e-01
9.000000000000000000e+00,0.000000000000000000e+00,9.999585075873996809e-01
1.000000000000000000e+01,0.000000000000000000e+00,9.999514577694594841e-01
1.100000000000000000e+01,0.000000000000000000e+00,9.999433586051179601e-01
1.200000000000000000e+01,0.000000000000000000e+00,9.999357408000557612e-01
1.300000000000000000e+01,0.000000000000000000e+00,9.999295217433168403e-01
1.400000000000000000e+01,0.000000000000000000e+00,9.999243838583037336e-01
1.500000000000000000e+01,0.000000000000000000e+00,9.999192052567317246e-01
1.600000000000000000e+01,0.000000000000000000e+00,9.999132147459963704e-01
1.700000000000000000e+01,0.000000000000000000e+00,9.999068564132674863e-01
1.800000000000000000e+01,0.000000000000000000e+00,9.999013403227613450e-01
1.900000000000000000e+01,0.000000000000000000e+00,9.998974960393892664e-01
2.000000000000000000e+01,0.000000000000000000e+00,9.998954084420592636e-01
2.100000000000000000e+01,0.000000000000000000e+00,9.998947227510016633e-01
2.200000000000000000e+01,0.000000000000000000e+00,9.998946589795433271e-01
2.300000000000000000e+01,0.000000000000000000e+00,9.998939144507066334e-01
2.400000000000000000e+01,0.000000000000000000e+00,9.998910941215792825e-01
2.500000000000000000e+01,0.000000000000000000e+00,9.998853313025559686e-01
2.600000000000000000e+01,0.000000000000000000e+00,9.998766005861408068e-01
2.700000000000000000e+01,0.000000000000000000e+00,9.998659836957660696e-01
2.800000000000000000e+01,0.000000000000000000e+00,9.998554448915430992e-01
2.900000000000000000e+01,0.000000000000000000e+00,9.998463607843560697e-01
3.000000000000000000e+01,0.000000000000000000e+00,9.998382499778942778e-01
3.100000000000000000e+01,0.000000000000000000e+00,9.998295439135106433e-01
3.200000000000000000e+01,0.000000000000000000e+00,9.998193977159479662e-01
3.300000000000000000e+01,0.000000000000000000e+00,9.998085186157346094e-01
3.400000000000000000e+01,0.000000000000000000e+00,9.997986650834231881e-01
3.500000000000000000e+01,0.000000000000000000e+00,9.997915401816727110e-01
3.600000000000000000e+01,0.000000000000000000e+00,9.997879873149086993e-01
3.700000000000000000e+01,0.000000000000000000e+00,9.997881024736718913e-01
3.800000000000000000e+01,0.000000000000000000e+00,9.997917341046499429e-01
3.900000000000000000e+01,0.000000000000000000e+00,9.997985104820282798e-01
4.000000000000000000e+01,0.000000000000000000e+00,9.998075904370825606e-01
4.100000000000000000e+01,0.000000000000000000e+00,9.998177123328447768e-01
4.200000000000000000e+01,0.000000000000000000e+00,9.998274393324132481e-01
4.300000000000000000e+01,0.000000000000000000e+00,9.998351447897378952e-01
4.400000000000000000e+01,0.000000000000000000e+00,9.998388839221392654e-01
4.500000000000000000e+01,0.000000000000000000e+00,9.998370061826832300e-01
4.600000000000000000e+01,0.000000000000000000e+00,9.998292930933241340e-01
4.700000000000000000e+01,0.000000000000000000e+00,9.998171206074214501e-01
4.800000000000000000e+01,0.000000000000000000e+00,9.998023873980262932e-01
4.900000000000000000e+01,0.000000000000000000e+00,9.997863986452949492e-01
5.000000000000000000e+01,0.000000000000000000e+00,9.997695283450466208e-01
5.100000000000000000e+01,0.000000000000000000e+00,9.997516499756727848e-01
5.200000000000000000e+01,-2.000000000000000000e+00,9.997335270349885228e-01
5.300000000000000000e+01,-2.000000000000000000e+00,9.997256186952867552e-01
5.400000000000000000e+01,-2.000000000000000000e+00,9.997168803989215924e-01
5.500000000000000000e+01,-2.000000000000000000e+00,9.997077640605110949e-01
5.600000000000000000e+01,-2.000000000000000000e+00,9.996988290229060770e-01
5.700000000000000000e+01,-2.000000000000000000e+00,9.996904176888350424e-01
5.800000000000000000e+01,-2.000000000000000000e+00,9.996825038338782443e-01
5.900000000000000000e+01,-2.000000000000000000e+00,9.996745698446993789e-01
6.000000000000000000e+01,-2.000000000000000000e+00,9.996657987759496322e-01
6.100000000000000000e+01,-2.000000000000000000e+00,9.996553988713211547e-01
6.200000000000000000e+01,-2.000000000000000000e+00,9.996428897003926117e-01
6.300000000000000000e+01,-2.000000000000000000e+00,9.996285296157347844e-01
6.400000000000000000e+01,-2.000000000000000000e+00,9.996134909405337554e-01
6.500000000000000000e+01,-2.000000000000000000e+00,9.995993524081265846e-01
6.600000000000000000e+01,-2.000000000000000000e+00,9.995873210599610648e-01
6.700000000000000000e+01,-2.000000000000000000e+00,9.995778311708879427e-01
6.800000000000000000e+01,-2.000000000000000000e+00,9.995705716884557557e-01
6.900000000000000000e+01,-2.000000000000000000e+00,9.995646810874444510e-01
7.000000000000000000e+01,-2.000000000000000000e+00,9.995591639436532949e-01
7.100000000000000000e+01,-2.000000000000000000e+00,9.995533650099565071e-01
7.200000000000000000e+01,-2.000000000000000000e+00,9.995469487519668128e-01
7.300000000000000000e+01,-2.000000000000000000e+00,9.995393313530156476e-01
7.400000000000000000e+01,-2.000000000000000000e+00,9.995291318524985869e-01
7.500000000000000000e+01,-2.000000000000000000e+00,9.995142748716238090e-01
7.600000000000000000e+01,-2.000000000000000000e+00,9.994930039456242366e-01
7.700000000000000000e+01,-2.000000000000000000e+00,9.994651724916251423e-01
7.800000000000000000e+01,-2.000000000000000000e+00,9.994325826711982774e-01
7.900000000000000000e+01,-2.000000000000000000e+00,9.993982449613418861e-01
8.000000000000000000e+01,-2.000000000000000000e+00,9.993656475769355785e-01
8.100000000000000000e+01,-2.000000000000000000e+00,9.993382693568093611e-01
8.200000000000000000e+01,-2.000000000000000000e+00,9.993186401045113243e-01
8.300000000000000000e+01,-2.000000000000000000e+00,9.993072226883160658e-01
8.400000000000000000e+01,-2.000000000000000000e+00,9.993023663871198892e-01
8.500000000000000000e+01,-2.000000000000000000e+00,9.993014502710908520e-01
8.600000000000000000e+01,-2.000000000000000000e+00,9.993017879728544051e-01
8.700000000000000000e+01,-2.000000000000000000e+00,9.993006900627044997e-01
8.800000000000000000e+01,-2.000000000000000000e+00,9.992957085620109980e-01
8.900000000000000000e+01,-2.000000000000000000e+00,9.992855433871528081e-01
9.000000000000000000e+01,-2.000000000000000000e+00,9.992704726030819939e-01
9.100000000000000000e+01,-2.000000000000000000e+00,9.992514172459709965e-01
9.200000000000000000e+01,-2.000000000000000000e+00,9.992290893006744446e-01
9.300000000000000000e+01,-2.000000000000000000e+00,9.992051368118584076e-01
9.400000000000000000e+01,-2.000000000000000000e+00,9.991836268351074191e-01
9.500000000000000000e+01,-2.000000000000000000e+00,9.991696707790769238e-01
9.600000000000000000e+01,-2.000000000000000000e+00,9.991662126849494285e-01
9.700000000000000000e+01,-2.000000000000000000e+00,9.991725880576595165e-01
9.800000000000000000e+01,-2.000000000000000000e+00,9.991855239745174311e-01
9.900000000000000000e+01,-2.000000000000000000e+00,9.992007597198298008e-01
1.000000000000000000e+02,-2.000000000000000000e+00,9.992141391914564075e-01
1.010000000000000000e+02,-2.000000000000000000e+00,9.992222611725394277e-01
1.020000000000000000e+02,-2.000000000000000000e+00,9.992229784409278892e-01
1.030000000000000000e+02,-2.000000000000000000e+00,9.992156267056576668e-01
1.040000000000000000e+02,-2.000000000000000000e+00,9.992007624581407121e-01
1.050000000000000000e+02,-2.000000000000000000e+00,9.991792879992458243e-01
1.060000000000000000e+02,-2.000000000000000000e+00,9.991513041269197704e-01
1.070000000000000000e+02,-2.000000000000000000e+00,9.991160843507759237e-01
1.080000000000000000e+02,-2.000000000000000000e+00,9.990738804193435296e-01
1.090000000000000000e+02,-2.000000000000000000e+00,9.990276183088623307e-01
1.100000000000000000e+02,-2.000000000000000000e+00,9.989819543630168441e-01
1.110000000000000000e+02,-2.000000000000000000e+00,9.989401137918278994e-01
1.120000000000000000e+02,-2.000000000000000000e+00,9.989017139337859064e-01
1.130000000000000000e+02,-2.000000000000000000e+00,9.988638618742367026e-01
1.140000000000000000e+02,-2.000000000000000000e+00,9.988245769305381661e-01
1.150000000000000000e+02,-2.000000000000000000e+00,9.987855260493049281e-01
1.160000000000000000e+02,-2.000000000000000000e+00,9.987514465927102014e-01
1.170000000000000000e+02,-2.000000000000000000e+00,9.987265047709618093e-01
1.180000000000000000e+02,-2.000000000000000000e+00,9.987111560879006200e-01
1.190000000000000000e+02,-2.000000000000000000e+00,9.987024496581026201e-01
1.200000000000000000e+02,-4.000000000000000000e+00,9.987105046935941255e-01
1.210000000000000000e+02,-4.000000000000000000e+00,9.987192952449470695e-01
1.220000000000000000e+02,-4.000000000000000000e+00,9.987267693981871641e-01
1.230000000000000000e+02,-4.000000000000000000e+00,9.987322541867956760e-01
1.240000000000000000e+02,-4.000000000000000000e+00,9.987348352565671439e-01
1.250000000000000000e+02,-4.000000000000000000e+00,9.987331082888052380e-01
1.260000000000000000e+02,-4.000000000000000000e+00,9.987254127942790660e-01
1.270000000000000000e+02,-4.000000000000000000e+00,9.987096525278612580e-01
1.280000000000000000e+02,-4.000000000000000000e+00,9.986834944272556802e-01
1.290000000000000000e+02,-4.000000000000000000e+00,9.986458947777013817e-01
1.300000000000000000e+02,-4.000000000000000000e+00,9.985982328949173370e-01
1.310000000000000000e+02,-4.000000000000000000e+00,9.985433219937980276e-01
1.320000000000000000e+02,-4.000000000000000000e+00,9.984836416106258605e-01
1.330000000000000000e+02,-4.000000000000000000e+00,9.984205554214163891e-01
1.340000000000000000e+02,-4.000000000000000000e+00,9.983547674014889850e-01
1.350000000000000000e+02,-4.000000000000000000e+00,9.982878686225806764e-01
1.360000000000000000e+02,-4.000000000000000000e+00,9.982234093221671323e-01
1.370000000000000000e+02,-4.000000000000000000e+00,9.981651099766611912e-01
1.380000000000000000e+02,-4.000000000000000000e+00,9.981137114312642611e-01
1.390000000000000000e+02,-4.000000000000000000e+00,9.980667200527830740e-01
1.400000000000000000e+02,-4.000000000000000000e+00,9.980215429897851820e-01
1.410000000000000000e+02,-4.000000000000000000e+00,9.979783574865391804e-01
1.420000000000000000e+02,-4.000000000000000000e+00,9.979403585813866329e-01
1.430000000000000000e+02,-4.000000000000000000e+00,9.979118083040674492e-01
1.440000000000000000e+02,-4.000000000000000000e+00,9.978948366916160495e-01
1.450000000000000000e+02,-4.000000000000000000e+00,9.978866355681252909e-01
1.460000000000000000e+02,-4.000000000000000000e+00,9.978798768227488125e-01
1.470000000000000000e+02,-4.000000000000000000e+00,9.978669395828336786e-01
1.480000000000000000e+02,-4.000000000000000000e+00,9.978442020810684987e-01
1.490000000000000000e+02,-4.000000000000000000e+00,9.978129152194902263e-01
1.500000000000000000e+02,-4.000000000000000000e+00,9.977775937902068071e-01
1.510000000000000000e+02,-4.000000000000000000e+00,9.977443870869318054e-01
1.520000000000000000e+02,-4.000000000000000000e+00,9.977196150466797198e-01
1.530000000000000000e+02,-4.000000000000000000e+00,9.977075844282768946e-01
1.540000000000000000e+02,-4.000000000000000000e+00,9.977080274087518630e-01
1.550000000000000000e+02,-4.000000000000000000e+00,9.977147019295843355e-01
1.560000000000000000e+02,-4.000000000000000000e+00,9.977171522444105989e-01
1.570000000000000000e+02,-4.000000000000000000e+00,9.977058738969901697e-01
1.580000000000000000e+02,-4.000000000000000000e+00,9.976775852862779237e-01
1.590000000000000000e+02,-4.000000000000000000e+00,9.976368922622901314e-01
1.600000000000000000e+02,-4.000000000000000000e+00,9.975935882005604327e-01
1.610000000000000000e+02,-4.000000000000000000e+00,9.975574298965251829e-01
1.620000000000000000e+02,-4.000000000000000000e+00,9.975338575983426770e-01
1.630000000000000000e+02,-4.000000000000000000e+00,9.975235566585640701e-01
1.640000000000000000e+02,-4.000000000000000000e+00,9.975253028583840331e-01
1.650000000000000000e+02,-4.000000000000000000e+00,9.975384532848853292e-01
1.660000000000000000e+02,-4.000000000000000000e+00,9.975619029603377541e-01
1.670000000000000000e+02,-4.000000000000000000e+00,9.975907906985403972e-01
1.680000000000000000e+02,-4.000000000000000000e+00,9.976159216568074584e-01
1.690000000000000000e+02,-4.000000000000000000e+00,9.976276891808769642e-01
1.700000000000000000e+02,-4.000000000000000000e+00,9.976210670088503374e-01
1.710000000000000000e+02,-4.000000000000000000e+00,9.975978871934422232e-01
1.720000000000000000e+02,-4.000000000000000000e+00,9.975649262358876612e-01
1.730000000000000000e+02,-4.000000000000000000e+00,9.975292347844713081e-01
1.740000000000000000e+02,-4.000000000000000000e+00,9.974946033142204627e-01
1.750000000000000000e+02,-4.000000000000000000e+00,9.974614401436474598e-01
1.760000000000000000e+02,-4.000000000000000000e+00,9.974281385478358519e-01
1.770000000000000000e+02,-4.000000000000000000e+00,9.973919892034311951e-01
1.780000000000000000e+02,-4.000000000000000000e+00,9.973505743861811323e-01
1.790000000000000000e+02,-4.000000000000000000e+00,9.973039616210185310e-01
1.800000000000000000e+02,-4.000000000000000000e+00,9.972560468735492956e-01
1.810000000000000000e+02,-4.000000000000000000e+00,9.972136328461481680e-01
1.820000000000000000e+02,-4.000000000000000000e+00,9.971825296431982011e-01
1.830000000000000000e+02,-4.000000000000000000e+00,9.971626911928120895e-01
1.840000000000000000e+02,-4.000000000000000000e+00,9.971481163573840956e-01
1.850000000000000000e+02,-4.000000000000000000e+00,9.971330509922636809e-01
1.860000000000000000e+02,-4.000000000000000000e+00,9.971171750050443761e-01
1.870000000000000000e+02,-4.000000000000000000e+00,9.971039296062161883e-01
1.880000000000000000e+02,-4.000000000000000000e+00,9.970956590666375519e-01
1.890000000000000000e+02,-4.000000000000000000e+00,9.970911486093666509e-01
1.900000000000000000e+02,-4.000000000000000000e+00,9.970857048708103854e-01
1.910000000000000000e+02,-4.000000000000000000e+00,9.970723313511926644e-01
1.920000000000000000e+02,-4.000000000000000000e+00,9.970441823347432342e-01
1.930000000000000000e+02,-4.000000000000000000e+00,9.969973188344454229e-01
1.940000000000000000e+02,-4.000000000000000000e+00,9.969315562111608076e-01
1.950000000000000000e+02,-4.000000000000000000e+00,9.968497995133004386e-01
1.960000000000000000e+02,-4.000000000000000000e+00,9.967583259596556333e-01
1.970000000000000000e+02,-4.000000000000000000e+00,9.966678402882929166e-01
1.980000000000000000e+02,-4.000000000000000000e+00,9.965922340816335545e-01
1.990000000000000000e+02,-4.000000000000000000e+00,9.965438001180468852e-01
2.000000000000000000e+02,-4.000000000000000000e+00,9.965279430358283674e-01
2.010000000000000000e+02,-4.000000000000000000e+00,9.965413057539523889e-01
2.020000000000000000e+02,-4.000000000000000000e+00,9.965738651103034362e-01
2.030000000000000000e+02,-4.000000000000000000e+00,9.966129991524171894e-01
2.040000000000000000e+02,-4.000000000000000000e+00,9.966476409496241029e-01
2.050000000000000000e+02,-4.000000000000000000e+00,9.966708258983318913e-01
2.060000000000000000e+02,-4.000000000000000000e+00,9.966798537515537681e-01
2.070000000000000000e+02,-4.000000000000000000e+00,9.966752578456175016e-01
2.080000000000000000e+02,-6.000000000000000000e+00,9.966686255644370274e-01
2.090000000000000000e+02,-6.000000000000000000e+00,9.966534303471529244e-01
2.100000000000000000e+02,-6.000000000000000000e+00,9.966258377731801454e-01
2.110000000000000000e+02,-6.000000000000000000e+00,9.965895056375770888e-01
2.120000000000000000e+02,-6.000000000000000000e+00,9.965487337552285663e-01
2.130000000000000000e+02,-6.000000000000000000e+00,9.965069651794035144e-01
2.140000000000000000e+02,-6.000000000000000000e+00,9.964648197387903084e-01
2.150000000000000000e+02,-6.000000000000000000e+00,9.964191773134609686e-01
2.160000000000000000e+02,-6.000000000000000000e+00,9.963645248001098409e-01
2.170000000000000000e+02,-6.000000000000000000e+00,9.962959457247065886e-01
2.180000000000000000e+02,-6.000000000000000000e+00,9.962118178378763789e-01
2.190000000000000000e+02,-6.000000000000000000e+00,9.961149613086982546e-01
