angle_deg,uncorrected_left_shift_minutes,uncorrected_left_correlation,uncorrected_right_shift_minutes,uncorrected_right_correlation,corrected_left_shift_minutes,corrected_left_correlation,corrected_right_shift_minutes,corrected_right_correlation
0.000000000000000000e+00,-2.200000000000000000e+01,8.807250183313735103e-01,2.200000000000000000e+01,8.807250183313735103e-01,-2.200000000000000000e+01,8.807250183313735103e-01,2.200000000000000000e+01,8.807250183313735103e-01
5.000000000000000000e+00,-2.200000000000000000e+01,8.808145198596957215e-01,2.200000000000000000e+01,8.808145198596957215e-01,-2.200000000000000000e+01,8.808145198596957215e-01,2.200000000000000000e+01,8.808145198596957215e-01
1.000000000000000000e+01,-2.200000000000000000e+01,8.809352944716831724e-01,2.200000000000000000e+01,8.809352944716831724e-01,-2.200000000000000000e+01,8.809352944716831724e-01,2.200000000000000000e+01,8.809352944716831724e-01
1.500000000000000000e+01,-2.200000000000000000e+01,8.810198636096854274e-01,2.200000000000000000e+01,8.810198636096854274e-01,-2.200000000000000000e+01,8.810198636096854274e-01,2.200000000000000000e+01,8.810198636096854274e-01
2.000000000000000000e+01,-2.200000000000000000e+01,8.811072624860105673e-01,2.200000000000000000e+01,8.811072624860105673e-01,-2.200000000000000000e+01,8.811072624860105673e-01,2.200000000000000000e+01,8.811072624860105673e-01
2.500000000000000000e+01,-2.200000000000000000e+01,8.812292607641138975e-01,2.200000000000000000e+01,8.812292607641138975e-01,-2.200000000000000000e+01,8.812292607641138975e-01,2.200000000000000000e+01,8.812292607641138975e-01
3.000000000000000000e+01,-2.200000000000000000e+01,8.812618205470960087e-01,2.200000000000000000e+01,8.812618205470960087e-01,-2.200000000000000000e+01,8.812618205470960087e-01,2.200000000000000000e+01,8.812618205470960087e-01
3.500000000000000000e+01,-2.200000000000000000e+01,8.812767774526345521e-01,2.200000000000000000e+01,8.812767774526345521e-01,-2.200000000000000000e+01,8.812767774526345521e-01,2.200000000000000000e+01,8.812767774526345521e-01
4.000000000000000000e+01,-2.200000000000000000e+01,8.812709773296303339e-01,2.200000000000000000e+01,8.812709773296303339e-01,-2.200000000000000000e+01,8.812709773296303339e-01,2.200000000000000000e+01,8.812709773296303339e-01
4.500000000000000000e+01,-2.200000000000000000e+01,8.812390045839787467e-01,2.200000000000000000e+01,8.812390045839787467e-01,-2.200000000000000000e+01,8.812390045839787467e-01,2.200000000000000000e+01,8.812390045839787467e-01
5.000000000000000000e+01,-2.200000000000000000e+01,8.811963057454716974e-01,2.200000000000000000e+01,8.811963057454716974e-01,-2.200000000000000000e+01,8.811963057454716974e-01,2.200000000000000000e+01,8.811963057454716974e-01
5.500000000000000000e+01,-2.200000000000000000e+01,8.810794684986291703e-01,2.200000000000000000e+01,8.810794684986291703e-01,-2.200000000000000000e+01,8.810794684986291703e-01,2.200000000000000000e+01,8.810794684986291703e-01
6.000000000000000000e+01,-2.200000000000000000e+01,8.809956128760143557e-01,2.200000000000000000e+01,8.809956128760143557e-01,-2.200000000000000000e+01,8.809956128760143557e-01,2.200000000000000000e+01,8.809956128760143557e-01
6.500000000000000000e+01,-2.200000000000000000e+01,8.808496916569592550e-01,2.200000000000000000e+01,8.808496916569592550e-01,-2.200000000000000000e+01,8.808496916569592550e-01,2.200000000000000000e+01,8.808496916569592550e-01
7.000000000000000000e+01,-2.200000000000000000e+01,8.807095287037333131e-01,2.200000000000000000e+01,8.807095287037333131e-01,-2.200000000000000000e+01,8.807095287037333131e-01,2.200000000000000000e+01,8.807095287037333131e-01
7.500000000000000000e+01,-2.200000000000000000e+01,8.806332774404483921e-01,2.200000000000000000e+01,8.806332774404483921e-01,-2.200000000000000000e+01,8.806332774404483921e-01,2.200000000000000000e+01,8.806332774404483921e-01
8.000000000000000000e+01,-2.200000000000000000e+01,8.805657095984098515e-01,2.200000000000000000e+01,8.805657095984098515e-01,-2.200000000000000000e+01,8.805657095984098515e-01,2.200000000000000000e+01,8.805657095984098515e-01
