shift_minutes,correlation
-6.000000000000000000e+01,nan
-5.800000000000000000e+01,nan
-5.600000000000000000e+01,nan
-5.400000000000000000e+01,nan
-5.200000000000000000e+01,-4.342380277126214883e-01
-5.000000000000000000e+01,-3.097411527204679133e-02
-4.800000000000000000e+01,3.407146618106078328e-01
-4.600000000000000000e+01,5.593849455463691944e-01
-4.400000000000000000e+01,6.066391453300371550e-01
-4.200000000000000000e+01,5.255167850038644506e-01
-4.000000000000000000e+01,3.999222403996388620e-01
-3.800000000000000000e+01,3.112352941593031774e-01
-3.600000000000000000e+01,2.964781656657116682e-01
-3.400000000000000000e+01,3.613600499615695627e-01
-3.200000000000000000e+01,4.934384721658326978e-01
-3.000000000000000000e+01,6.471169058290133780e-01
-2.800000000000000000e+01,7.647989410563653667e-01
-2.600000000000000000e+01,8.340491634678193211e-01
-2.400000000000000000e+01,8.691506268692126280e-01
-2.200000000000000000e+01,8.805765100782452226e-01
-2.000000000000000000e+01,8.759025569515676013e-01
-1.800000000000000000e+01,8.637231882576269504e-01
-1.600000000000000000e+01,8.522708920140921185e-01
-1.400000000000000000e+01,8.474682336785317460e-01
-1.200000000000000000e+01,8.531349233971292634e-01
-1.000000000000000000e+01,8.714653971161986368e-01
-8.000000000000000000e+00,9.014466183937160926e-01
-6.000000000000000000e+00,9.374397906825268079e-01
-4.000000000000000000e+00,9.706512222036952631e-01
-2.000000000000000000e+00,9.927691494953598816e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.927691494953598816e-01
4.000000000000000000e+00,9.706512222036952631e-01
6.000000000000000000e+00,9.374397906825268079e-01
8.000000000000000000e+00,9.014466183937160926e-01
1.000000000000000000e+01,8.714653971161986368e-01
1.200000000000000000e+01,8.531349233971292634e-01
1.400000000000000000e+01,8.474682336785317460e-01
1.600000000000000000e+01,8.522708920140921185e-01
1.800000000000000000e+01,8.637231882576269504e-01
2.000000000000000000e+01,8.759025569515676013e-01
2.200000000000000000e+01,8.805765100782452226e-01
2.400000000000000000e+01,8.691506268692126280e-01
2.600000000000000000e+01,8.340491634678193211e-01
2.800000000000000000e+01,7.647989410563653667e-01
3.000000000000000000e+01,6.471169058290133780e-01
3.200000000000000000e+01,4.934384721658326978e-01
3.400000000000000000e+01,3.613600499615695627e-01
3.600000000000000000e+01,2.964781656657116682e-01
3.800000000000000000e+01,3.112352941593031774e-01
4.000000000000000000e+01,3.999222403996388620e-01
4.200000000000000000e+01,5.255167850038644506e-01
4.400000000000000000e+01,6.066391453300371550e-01
4.600000000000000000e+01,5.593849455463691944e-01
4.800000000000000000e+01,3.407146618106078328e-01
5.000000000000000000e+01,-3.097411527204679133e-02
5.200000000000000000e+01,-4.342380277126214883e-01
5.400000000000000000e+01,nan
5.600000000000000000e+01,nan
5.800000000000000000e+01,nan
6.000000000000000000e+01,nan
