distance_km,best_shift_minutes,maximum_correlation
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.999981684546324079e-01
2.000000000000000000e+00,0.000000000000000000e+00,9.999930836344635976e-01
3.000000000000000000e+00,0.000000000000000000e+00,9.999857410905409472e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.999775831432496931e-01
5.000000000000000000e+00,0.000000000000000000e+00,9.999698634717790746e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.999628619162529430e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.999558678946347534e-01
8.000000000000000000e+00,0.000000000000000000e+00,9.999479340254280313e-01
9.000000000000000000e+00,0.000000000000000000e+00,9.999386701791627141e-01
1.000000000000000000e+01,0.000000000000000000e+00,9.999283503735721945e-01
1.100000000000000000e+01,0.000000000000000000e+00,9.999173977650294143e-01
1.200000000000000000e+01,0.000000000000000000e+00,9.999061480251638656e-01
1.300000000000000000e+01,0.000000000000000000e+00,9.998950425842578760e-01
1.400000000000000000e+01,0.000000000000000000e+00,9.998846264362383218e-01
1.500000000000000000e+01,0.000000000000000000e+00,9.998754578736090970e-01
1.600000000000000000e+01,0.000000000000000000e+00,9.998680274809674806e-01
1.700000000000000000e+01,0.000000000000000000e+00,9.998622930460345781e-01
1.800000000000000000e+01,0.000000000000000000e+00,9.998574302906879652e-01
1.900000000000000000e+01,0.000000000000000000e+00,9.998526267328543549e-01
2.000000000000000000e+01,0.000000000000000000e+00,9.998479205048076413e-01
2.100000000000000000e+01,0.000000000000000000e+00,9.998433902363863535e-01
2.200000000000000000e+01,0.000000000000000000e+00,9.998370545133772325e-01
2.300000000000000000e+01,0.000000000000000000e+00,9.998240035823849903e-01
2.400000000000000000e+01,0.000000000000000000e+00,9.997982539909530120e-01
2.500000000000000000e+01,0.000000000000000000e+00,9.997555883924211795e-01
2.600000000000000000e+01,0.000000000000000000e+00,9.996949288743104400e-01
2.700000000000000000e+01,0.000000000000000000e+00,9.996180985784610673e-01
2.800000000000000000e+01,0.000000000000000000e+00,9.995290349629876170e-01
2.900000000000000000e+01,0.000000000000000000e+00,9.994330255009895581e-01
3.000000000000000000e+01,0.000000000000000000e+00,9.993365327469945214e-01
3.100000000000000000e+01,0.000000000000000000e+00,9.992476292791250270e-01
3.200000000000000000e+01,0.000000000000000000e+00,9.991751397136717783e-01
3.300000000000000000e+01,0.000000000000000000e+00,9.991250534523653526e-01
3.400000000000000000e+01,0.000000000000000000e+00,9.990970132417317240e-01
3.500000000000000000e+01,0.000000000000000000e+00,9.990854633585192213e-01
3.600000000000000000e+01,0.000000000000000000e+00,9.990850035477348845e-01
