shift_minutes,correlation
-2.000000000000000000e+02,9.173682646802254759e-01
-1.980000000000000000e+02,9.143576315781295483e-01
-1.960000000000000000e+02,9.106541084565673572e-01
-1.940000000000000000e+02,9.066010852455816948e-01
-1.920000000000000000e+02,9.027252799258275173e-01
-1.900000000000000000e+02,8.995106532050610726e-01
-1.880000000000000000e+02,8.972126442638070909e-01
-1.860000000000000000e+02,8.957937491779417449e-01
-1.840000000000000000e+02,8.950894786761911526e-01
-1.820000000000000000e+02,8.950688071661724310e-01
-1.800000000000000000e+02,8.958397424206224757e-01
-1.780000000000000000e+02,8.974407384703245727e-01
-1.760000000000000000e+02,8.997130555057482049e-01
-1.740000000000000000e+02,9.024009071363831014e-01
-1.720000000000000000e+02,9.053403366306451705e-01
-1.700000000000000000e+02,9.084596098232473604e-01
-1.680000000000000000e+02,9.116717155034377296e-01
-1.660000000000000000e+02,9.149327862222119689e-01
-1.640000000000000000e+02,9.183172474930322293e-01
-1.620000000000000000e+02,9.218793885454489301e-01
-1.600000000000000000e+02,9.255339539675533356e-01
-1.580000000000000000e+02,9.291504431797239505e-01
-1.560000000000000000e+02,9.326812630065376419e-01
-1.540000000000000000e+02,9.361684993550775102e-01
-1.520000000000000000e+02,9.396425506673359296e-01
-1.500000000000000000e+02,9.430532374980463706e-01
-1.480000000000000000e+02,9.463249672638837096e-01
-1.460000000000000000e+02,9.494192669872866253e-01
-1.440000000000000000e+02,9.523146051350640517e-01
-1.420000000000000000e+02,9.549666468123866325e-01
-1.400000000000000000e+02,9.572967015390805301e-01
-1.380000000000000000e+02,9.592031970662314722e-01
-1.360000000000000000e+02,9.606009917971397583e-01
-1.340000000000000000e+02,9.614360928079961344e-01
-1.320000000000000000e+02,9.616342633030583453e-01
-1.300000000000000000e+02,9.610990966192713980e-01
-1.280000000000000000e+02,9.597754700646949910e-01
-1.260000000000000000e+02,9.576670997088548853e-01
-1.240000000000000000e+02,9.548212182647579649e-01
-1.220000000000000000e+02,9.512977768224404329e-01
-1.200000000000000000e+02,9.471170845659331317e-01
-1.180000000000000000e+02,9.422641804587258418e-01
-1.160000000000000000e+02,9.367510615934002693e-01
-1.140000000000000000e+02,9.306396879844615055e-01
-1.120000000000000000e+02,9.240145433288505794e-01
-1.100000000000000000e+02,9.169551411699887744e-01
-1.080000000000000000e+02,9.095241274696836964e-01
-1.060000000000000000e+02,9.017780678161275709e-01
-1.040000000000000000e+02,8.938077754755294757e-01
-1.020000000000000000e+02,8.857725926902767499e-01
-1.000000000000000000e+02,8.778900548780278479e-01
-9.800000000000000000e+01,8.703978957389590931e-01
-9.600000000000000000e+01,8.635070007984306795e-01
-9.400000000000000000e+01,8.573563836923634440e-01
-9.200000000000000000e+01,8.520025066731190533e-01
-9.000000000000000000e+01,8.474578042446629933e-01
-8.800000000000000000e+01,8.437501520826001800e-01
-8.600000000000000000e+01,8.409284374031823495e-01
-8.400000000000000000e+01,8.390062583802708751e-01
-8.200000000000000000e+01,8.379415574305864034e-01
-8.000000000000000000e+01,8.376646851469059518e-01
-7.800000000000000000e+01,8.381076731790634282e-01
-7.600000000000000000e+01,8.392308945642164009e-01
-7.400000000000000000e+01,8.410189029551232709e-01
-7.200000000000000000e+01,8.434430063741145123e-01
-7.000000000000000000e+01,8.464428514860459218e-01
-6.800000000000000000e+01,8.499358672039604157e-01
-6.600000000000000000e+01,8.538282189749001327e-01
-6.400000000000000000e+01,8.580269307445731464e-01
-6.200000000000000000e+01,8.624596912114314007e-01
-6.000000000000000000e+01,8.670943698004294209e-01
-5.800000000000000000e+01,8.719482848829014365e-01
-5.600000000000000000e+01,8.770634487076973684e-01
-5.400000000000000000e+01,8.824642221447275281e-01
