distance_km,best_shift_minutes,maximum_correlation
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.999985100721932030e-01
2.000000000000000000e+00,0.000000000000000000e+00,9.999947125432174788e-01
3.000000000000000000e+00,0.000000000000000000e+00,9.999894260740529450e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.999832683492809737e-01
5.000000000000000000e+00,0.000000000000000000e+00,9.999769774786047005e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.999713448559069962e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.999663710003391381e-01
8.000000000000000000e+00,0.000000000000000000e+00,9.999608198957704586e-01
9.000000000000000000e+00,0.000000000000000000e+00,9.999532868917755390e-01
1.000000000000000000e+01,0.000000000000000000e+00,9.999437077896581316e-01
1.100000000000000000e+01,0.000000000000000000e+00,9.999335835836490327e-01
1.200000000000000000e+01,0.000000000000000000e+00,9.999249347045452430e-01
1.300000000000000000e+01,0.000000000000000000e+00,9.999190524753400755e-01
1.400000000000000000e+01,0.000000000000000000e+00,9.999157586254007191e-01
1.500000000000000000e+01,0.000000000000000000e+00,9.999136274613172892e-01
1.600000000000000000e+01,0.000000000000000000e+00,9.999111730768089901e-01
1.700000000000000000e+01,0.000000000000000000e+00,9.999080486729691186e-01
1.800000000000000000e+01,0.000000000000000000e+00,9.999052388242750666e-01
1.900000000000000000e+01,0.000000000000000000e+00,9.999042117789012085e-01
2.000000000000000000e+01,0.000000000000000000e+00,9.999056955798226731e-01
2.100000000000000000e+01,0.000000000000000000e+00,9.999089251462298655e-01
2.200000000000000000e+01,0.000000000000000000e+00,9.999119330091007507e-01
2.300000000000000000e+01,0.000000000000000000e+00,9.999126505160631506e-01
2.400000000000000000e+01,0.000000000000000000e+00,9.999099150973351779e-01
2.500000000000000000e+01,0.000000000000000000e+00,9.999037145220966982e-01
2.600000000000000000e+01,0.000000000000000000e+00,9.998948013442794380e-01
2.700000000000000000e+01,0.000000000000000000e+00,9.998841880852716857e-01
2.800000000000000000e+01,0.000000000000000000e+00,9.998729140052431408e-01
2.900000000000000000e+01,0.000000000000000000e+00,9.998620498697373682e-01
3.000000000000000000e+01,0.000000000000000000e+00,9.998526125978056678e-01
3.100000000000000000e+01,0.000000000000000000e+00,9.998451815580361446e-01
3.200000000000000000e+01,0.000000000000000000e+00,9.998394653143041211e-01
3.300000000000000000e+01,0.000000000000000000e+00,9.998344529889011678e-01
3.400000000000000000e+01,0.000000000000000000e+00,9.998292112277156196e-01
3.500000000000000000e+01,0.000000000000000000e+00,9.998234946832359471e-01
3.600000000000000000e+01,0.000000000000000000e+00,9.998175277715738440e-01
3.700000000000000000e+01,0.000000000000000000e+00,9.998114783238390979e-01
3.800000000000000000e+01,0.000000000000000000e+00,9.998053462395507518e-01
3.900000000000000000e+01,0.000000000000000000e+00,9.997988679468006179e-01
4.000000000000000000e+01,0.000000000000000000e+00,9.997912531621012677e-01
4.100000000000000000e+01,0.000000000000000000e+00,9.997816131058050448e-01
4.200000000000000000e+01,0.000000000000000000e+00,9.997699408597389148e-01
4.300000000000000000e+01,0.000000000000000000e+00,9.997574310622913130e-01
4.400000000000000000e+01,0.000000000000000000e+00,9.997456847496696275e-01
4.500000000000000000e+01,0.000000000000000000e+00,9.997353119148264522e-01
4.600000000000000000e+01,0.000000000000000000e+00,9.997251987106897664e-01
4.700000000000000000e+01,0.000000000000000000e+00,9.997134413588821822e-01
4.800000000000000000e+01,0.000000000000000000e+00,9.996988380981546296e-01
4.900000000000000000e+01,0.000000000000000000e+00,9.996810615091354935e-01
5.000000000000000000e+01,0.000000000000000000e+00,9.996599677639800285e-01
5.100000000000000000e+01,0.000000000000000000e+00,9.996356799433937512e-01
5.200000000000000000e+01,0.000000000000000000e+00,9.996092728872024713e-01
5.300000000000000000e+01,0.000000000000000000e+00,9.995828943485396412e-01
5.400000000000000000e+01,0.000000000000000000e+00,9.995591322148454916e-01
5.500000000000000000e+01,0.000000000000000000e+00,9.995396771205433684e-01
5.600000000000000000e+01,0.000000000000000000e+00,9.995237856317377156e-01
5.700000000000000000e+01,0.000000000000000000e+00,9.995086166595418264e-01
5.800000000000000000e+01,-2.000000000000000000e+00,9.995081885513564801e-01
5.900000000000000000e+01,-2.000000000000000000e+00,9.995085861433402608e-01
6.000000000000000000e+01,-2.000000000000000000e+00,9.995090271751506661e-01
6.100000000000000000e+01,-2.000000000000000000e+00,9.995098501575601091e-01
6.200000000000000000e+01,-2.000000000000000000e+00,9.995092671596018663e-01
6.300000000000000000e+01,-2.000000000000000000e+00,9.995041070335732858e-01
6.400000000000000000e+01,-2.000000000000000000e+00,9.994925116293810197e-01
6.500000000000000000e+01,-2.000000000000000000e+00,9.994758547646543922e-01
6.600000000000000000e+01,-2.000000000000000000e+00,9.994579848819322709e-01
6.700000000000000000e+01,-2.000000000000000000e+00,9.994427491114780127e-01
6.800000000000000000e+01,-2.000000000000000000e+00,9.994321765118575618e-01
6.900000000000000000e+01,-2.000000000000000000e+00,9.994260454289513040e-01
7.000000000000000000e+01,-2.000000000000000000e+00,9.994222130065424370e-01
7.100000000000000000e+01,-2.000000000000000000e+00,9.994174399199469150e-01
7.200000000000000000e+01,-2.000000000000000000e+00,9.994083529401198707e-01
7.300000000000000000e+01,-2.000000000000000000e+00,9.993921816858768459e-01
7.400000000000000000e+01,-2.000000000000000000e+00,9.993677350635530310e-01
7.500000000000000000e+01,-2.000000000000000000e+00,9.993364897956876769e-01
7.600000000000000000e+01,-2.000000000000000000e+00,9.993021870074055846e-01
7.700000000000000000e+01,-2.000000000000000000e+00,9.992683383052011203e-01
7.800000000000000000e+01,-2.000000000000000000e+00,9.992355895543062472e-01
7.900000000000000000e+01,-2.000000000000000000e+00,9.992016487441133243e-01
8.000000000000000000e+01,-2.000000000000000000e+00,9.991644796327732170e-01
8.100000000000000000e+01,-2.000000000000000000e+00,9.991257382315896773e-01
8.200000000000000000e+01,-2.000000000000000000e+00,9.990904438480240346e-01
8.300000000000000000e+01,-2.000000000000000000e+00,9.990632190258579293e-01
8.400000000000000000e+01,-2.000000000000000000e+00,9.990452175263293544e-01
8.500000000000000000e+01,-2.000000000000000000e+00,9.990340734540879009e-01
8.600000000000000000e+01,-2.000000000000000000e+00,9.990255473641775907e-01
8.700000000000000000e+01,-2.000000000000000000e+00,9.990153427578596368e-01
8.800000000000000000e+01,-2.000000000000000000e+00,9.990008259951921321e-01
8.900000000000000000e+01,-2.000000000000000000e+00,9.989819269761044396e-01
9.000000000000000000e+01,-2.000000000000000000e+00,9.989607789722728670e-01
9.100000000000000000e+01,-2.000000000000000000e+00,9.989406117494896709e-01
9.200000000000000000e+01,-2.000000000000000000e+00,9.989241942637893112e-01
9.300000000000000000e+01,-2.000000000000000000e+00,9.989123714804486465e-01
