angle_deg,uncorrected_slope_min_per_km,uncorrected_intercept_minutes,uncorrected_speed_km_per_min,uncorrected_speed_m_per_s,uncorrected_r_squared,uncorrected_number_of_fit_points,corrected_slope_min_per_km,corrected_intercept_minutes,corrected_speed_km_per_min,corrected_speed_m_per_s,corrected_r_squared,corrected_number_of_fit_points
0.000000000000000000e+00,1.900056915196357554e-02,9.795105293113260947e-01,5.263000239635753275e+01,8.771667066059587796e+02,7.127751710588250411e-01,2.510000000000000000e+02,1.900056915196357554e-02,9.795105293113260947e-01,5.263000239635753275e+01,8.771667066059587796e+02,7.127751710588250411e-01,2.510000000000000000e+02
5.000000000000000000e+00,1.914171883892999346e-02,9.698349459305637410e-01,5.224191246431969660e+01,8.706985410719950096e+02,7.163575785825750941e-01,2.510000000000000000e+02,1.914171883892999346e-02,9.698349459305637410e-01,5.224191246431969660e+01,8.706985410719950096e+02,7.163575785825750941e-01,2.510000000000000000e+02
1.000000000000000000e+01,2.392714854866249269e-02,7.381900967558340243e-01,4.179352997145575443e+01,6.965588328575959167e+02,8.150833825265643151e-01,2.510000000000000000e+02,2.392714854866249269e-02,7.381900967558340243e-01,4.179352997145575443e+01,6.965588328575959167e+02,8.150833825265643151e-01,2.510000000000000000e+02
1.500000000000000000e+01,2.587744261051034070e-02,6.059571238854110087e-01,3.864369501466275381e+01,6.440615835777126676e+02,8.740080304622401819e-01,2.510000000000000000e+02,2.587744261051034070e-02,6.059571238854110087e-01,3.864369501466275381e+01,6.440615835777126676e+02,8.740080304622401819e-01,2.510000000000000000e+02
2.000000000000000000e+01,2.534016315689622753e-02,6.890533105672551617e-01,3.946304504072831065e+01,6.577174173454718584e+02,8.305146122517079732e-01,2.510000000000000000e+02,2.534016315689622753e-02,6.890533105672551617e-01,3.946304504072831065e+01,6.577174173454718584e+02,8.305146122517079732e-01,2.510000000000000000e+02
2.500000000000000000e+01,2.074900398406374566e-02,1.055776892430279279e+00,4.819508448540706524e+01,8.032514080901178204e+02,6.438414960572959034e-01,2.510000000000000000e+02,2.074900398406374566e-02,1.055776892430279279e+00,4.819508448540706524e+01,8.032514080901178204e+02,6.438414960572959034e-01,2.510000000000000000e+02
3.000000000000000000e+01,1.622007209258205518e-02,1.358945171694175613e+00,6.165200711144380108e+01,1.027533451857396813e+03,6.498196057681091542e-01,2.510000000000000000e+02,1.622007209258205518e-02,1.358945171694175613e+00,6.165200711144380108e+01,1.027533451857396813e+03,6.498196057681091542e-01,2.510000000000000000e+02
3.500000000000000000e+01,2.501396038426090609e-02,8.535863687378846265e-01,3.997767585133029655e+01,6.662945975221716708e+02,8.675624130471560891e-01,2.420000000000000000e+02,2.501396038426090609e-02,8.535863687378846265e-01,3.997767585133029655e+01,6.662945975221716708e+02,8.675624130471560891e-01,2.420000000000000000e+02
4.000000000000000000e+01,1.846936065262758803e-02,1.308859798899640214e+00,5.414372586079380767e+01,9.023954310132301089e+02,7.165942545505575856e-01,2.510000000000000000e+02,1.846936065262758803e-02,1.308859798899640214e+00,5.414372586079380767e+01,9.023954310132301089e+02,7.165942545505575856e-01,2.510000000000000000e+02
4.500000000000000000e+01,2.240230343614953851e-02,9.931426722819518549e-01,4.463826690189131341e+01,7.439711150315218902e+02,8.483498216998062169e-01,2.430000000000000000e+02,2.240230343614953851e-02,9.931426722819518549e-01,4.463826690189131341e+01,7.439711150315218902e+02,8.483498216998062169e-01,2.430000000000000000e+02
5.000000000000000000e+01,2.326389679377727573e-02,8.848415860368061825e-01,4.298506002087682276e+01,7.164176670146136985e+02,8.204737599351855648e-01,2.510000000000000000e+02,2.326389679377727573e-02,8.848415860368061825e-01,4.298506002087682276e+01,7.164176670146136985e+02,8.204737599351855648e-01,2.510000000000000000e+02
5.500000000000000000e+01,2.258394991462720630e-02,6.989186112692089559e-01,4.427923387096774377e+01,7.379872311827956537e+02,8.766925420648449263e-01,2.510000000000000000e+02,2.258394991462720630e-02,6.989186112692089559e-01,4.427923387096774377e+01,7.379872311827956537e+02,8.766925420648449263e-01,2.510000000000000000e+02
6.000000000000000000e+01,2.114968696642003515e-02,7.268070574843488174e-01,4.728202368137782230e+01,7.880337280229637145e+02,8.462403090640484571e-01,2.510000000000000000e+02,2.114968696642003515e-02,7.268070574843488174e-01,4.728202368137782230e+01,7.880337280229637145e+02,8.462403090640484571e-01,2.510000000000000000e+02
6.500000000000000000e+01,1.976854486814645998e-02,6.046291026370710364e-01,5.058541266794626523e+01,8.430902111324377302e+02,8.338770840706224430e-01,2.510000000000000000e+02,1.976854486814645998e-02,6.046291026370710364e-01,5.058541266794626523e+01,8.430902111324377302e+02,8.338770840706224430e-01,2.510000000000000000e+02
7.000000000000000000e+01,2.263858850313033022e-02,3.175867956744453102e-01,4.417236524537410247e+01,7.362060874229016463e+02,8.730631820589793701e-01,2.510000000000000000e+02,2.263858850313033022e-02,3.175867956744453102e-01,4.417236524537410247e+01,7.362060874229016463e+02,8.730631820589793701e-01,2.510000000000000000e+02
