angle_deg,uncorrected_slope_min_per_km,uncorrected_intercept_minutes,uncorrected_speed_km_per_min,uncorrected_speed_m_per_s,uncorrected_r_squared,uncorrected_number_of_fit_points,corrected_slope_min_per_km,corrected_intercept_minutes,corrected_speed_km_per_min,corrected_speed_m_per_s,corrected_r_squared,corrected_number_of_fit_points
0.000000000000000000e+00,8.572344927035630002e-02,-1.207276777084197450e+00,1.166541953819637278e+01,1.944236589699395381e+02,9.622930275769266961e-01,1.770000000000000000e+02,8.572344927035630002e-02,-1.207276777084197450e+00,1.166541953819637278e+01,1.944236589699395381e+02,9.622930275769266961e-01,1.770000000000000000e+02
5.000000000000000000e+00,8.814928785378109422e-02,-8.880376346736031934e-01,1.134439113857351167e+01,1.890731856428918718e+02,9.682731720059792879e-01,1.920000000000000000e+02,8.814928785378109422e-02,-8.880376346736031934e-01,1.134439113857351167e+01,1.890731856428918718e+02,9.682731720059792879e-01,1.920000000000000000e+02
1.000000000000000000e+01,8.751973579445102014e-02,-3.724273601975849890e-01,1.142599427343566809e+01,1.904332378905944836e+02,9.641359085586906907e-01,2.010000000000000000e+02,8.751973579445102014e-02,-3.724273601975849890e-01,1.142599427343566809e+01,1.904332378905944836e+02,9.641359085586906907e-01,2.010000000000000000e+02
1.500000000000000000e+01,9.206861822878628643e-02,-2.995160315743278789e-01,1.086146419092601079e+01,1.810244031821001727e+02,9.607513875108150136e-01,1.850000000000000000e+02,9.206861822878628643e-02,-2.995160315743278789e-01,1.086146419092601079e+01,1.810244031821001727e+02,9.607513875108150136e-01,1.850000000000000000e+02
2.000000000000000000e+01,9.560485284894826297e-02,-1.227415227214325999e-01,1.045972008952264076e+01,1.743286681587106841e+02,9.685677741181738520e-01,1.990000000000000000e+02,9.560485284894826297e-02,-1.227415227214325999e-01,1.045972008952264076e+01,1.743286681587106841e+02,9.685677741181738520e-01,1.990000000000000000e+02
2.500000000000000000e+01,9.754529628434767397e-02,-3.001081298717940635e-03,1.025164757391240933e+01,1.708607928985401543e+02,9.743031565895436952e-01,2.020000000000000000e+02,9.754529628434767397e-02,-3.001081298717940635e-03,1.025164757391240933e+01,1.708607928985401543e+02,9.743031565895436952e-01,2.020000000000000000e+02
3.000000000000000000e+01,1.037381956699355706e-01,-6.669712197350322058e-02,9.639650984307706949e+00,1.606608497384617920e+02,9.723009064229952703e-01,1.980000000000000000e+02,1.037381956699355706e-01,-6.669712197350322058e-02,9.639650984307706949e+00,1.606608497384617920e+02,9.723009064229952703e-01,1.980000000000000000e+02
3.500000000000000000e+01,1.026897521973506727e-01,3.841818612360910490e-01,9.738070046933069435e+00,1.623011674488844847e+02,9.596390183772206539e-01,2.050000000000000000e+02,1.026897521973506727e-01,3.841818612360910490e-01,9.738070046933069435e+00,1.623011674488844847e+02,9.596390183772206539e-01,2.050000000000000000e+02
4.000000000000000000e+01,9.995211156973826672e-02,5.932202855997218416e-01,1.000479113742667892e+01,1.667465189571113058e+02,9.550276390610389354e-01,2.050000000000000000e+02,9.995211156973826672e-02,5.932202855997218416e-01,1.000479113742667892e+01,1.667465189571113058e+02,9.550276390610389354e-01,2.050000000000000000e+02
4.500000000000000000e+01,1.016910799972974011e-01,5.394550283253194412e-01,9.833704195358890843e+00,1.638950699226481618e+02,9.770481967320358008e-01,2.140000000000000000e+02,1.016910799972974011e-01,5.394550283253194412e-01,9.833704195358890843e+00,1.638950699226481618e+02,9.770481967320358008e-01,2.140000000000000000e+02
5.000000000000000000e+01,9.944313354131517624e-02,7.840697905469327100e-01,1.005599848263565299e+01,1.675999747105942106e+02,9.810163797869719815e-01,2.060000000000000000e+02,9.944313354131517624e-02,7.840697905469327100e-01,1.005599848263565299e+01,1.675999747105942106e+02,9.810163797869719815e-01,2.060000000000000000e+02
5.500000000000000000e+01,9.865505271620729488e-02,1.023782868150801661e+00,1.013632827176744833e+01,1.689388045294574852e+02,9.785033551566703069e-01,2.180000000000000000e+02,9.865505271620729488e-02,1.023782868150801661e+00,1.013632827176744833e+01,1.689388045294574852e+02,9.785033551566703069e-01,2.180000000000000000e+02
6.000000000000000000e+01,9.424667350016177614e-02,1.375963000489217380e+00,1.061045406550379155e+01,1.768409010917298474e+02,9.591010416271971151e-01,2.170000000000000000e+02,9.424667350016177614e-02,1.375963000489217380e+00,1.061045406550379155e+01,1.768409010917298474e+02,9.591010416271971151e-01,2.170000000000000000e+02
6.500000000000000000e+01,8.530065689225874159e-02,1.975935847157292979e+00,1.172323914531017586e+01,1.953873190885029203e+02,9.014712853208883825e-01,2.230000000000000000e+02,8.530065689225874159e-02,1.975935847157292979e+00,1.172323914531017586e+01,1.953873190885029203e+02,9.014712853208883825e-01,2.230000000000000000e+02
7.000000000000000000e+01,8.963541530646931821e-02,1.661868977237561662e+00,1.115630464343736072e+01,1.859384107239560251e+02,9.344259722573362570e-01,2.110000000000000000e+02,8.963541530646931821e-02,1.661868977237561662e+00,1.115630464343736072e+01,1.859384107239560251e+02,9.344259722573362570e-01,2.110000000000000000e+02
7.500000000000000000e+01,9.158318996066361350e-02,1.188645279767725382e+00,1.091903438206853671e+01,1.819839063678089701e+02,9.552999114868304664e-01,2.100000000000000000e+02,9.158318996066361350e-02,1.188645279767725382e+00,1.091903438206853671e+01,1.819839063678089701e+02,9.552999114868304664e-01,2.100000000000000000e+02
8.000000000000000000e+01,1.030978071702053633e-01,2.983640793595561669e-01,9.699527346387576188e+00,1.616587891064596079e+02,9.768204450224140523e-01,1.690000000000000000e+02,1.030978071702053633e-01,2.983640793595561669e-01,9.699527346387576188e+00,1.616587891064596079e+02,9.768204450224140523e-01,1.690000000000000000e+02
8.500000000000000000e+01,9.938463308028525067e-02,1.237635150678628171e-01,1.006191771309530658e+01,1.676986285515884560e+02,9.716631090672647186e-01,1.610000000000000000e+02,9.938463308028525067e-02,1.237635150678628171e-01,1.006191771309530658e+01,1.676986285515884560e+02,9.716631090672647186e-01,1.610000000000000000e+02
9.000000000000000000e+01,9.858254908795169302e-02,1.754385964912361442e-02,1.014378314672952008e+01,1.690630524454919907e+02,9.687457079057366638e-01,1.520000000000000000e+02,9.858254908795169302e-02,1.754385964912361442e-02,1.014378314672952008e+01,1.690630524454919907e+02,9.687457079057366638e-01,1.520000000000000000e+02
9.500000000000000000e+01,9.509619193224178035e-02,-3.083620533285876854e-03,1.051566818482619148e+01,1.752611364137698615e+02,9.617921531219985054e-01,1.480000000000000000e+02,9.509619193224178035e-02,-3.083620533285876854e-03,1.051566818482619148e+01,1.752611364137698615e+02,9.617921531219985054e-01,1.480000000000000000e+02
1.000000000000000000e+02,9.622472109871552104e-02,-3.954083885209700999e-01,1.039233981228290382e+01,1.732056635380484124e+02,9.781166371750065203e-01,1.500000000000000000e+02,9.622472109871552104e-02,-3.954083885209700999e-01,1.039233981228290382e+01,1.732056635380484124e+02,9.781166371750065203e-01,1.500000000000000000e+02
1.050000000000000000e+02,8.925329879560124635e-02,-1.910550177812948280e-01,1.120406767586369590e+01,1.867344612643949517e+02,9.675419645918253986e-01,1.390000000000000000e+02,8.925329879560124635e-02,-1.910550177812948280e-01,1.120406767586369590e+01,1.867344612643949517e+02,9.675419645918253986e-01,1.390000000000000000e+02
