distance_km,best_shift_minutes,maximum_correlation
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.999929588091295285e-01
2.000000000000000000e+00,0.000000000000000000e+00,9.999713690735556604e-01
3.000000000000000000e+00,0.000000000000000000e+00,9.999358420661824676e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.998903275586733530e-01
5.000000000000000000e+00,0.000000000000000000e+00,9.998390776049979056e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.997823282750516460e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.997208030180554372e-01
8.000000000000000000e+00,0.000000000000000000e+00,9.996628655196713176e-01
9.000000000000000000e+00,0.000000000000000000e+00,9.996203623916163350e-01
1.000000000000000000e+01,2.000000000000000000e+00,9.995954043165894420e-01
1.100000000000000000e+01,2.000000000000000000e+00,9.996231651882764302e-01
1.200000000000000000e+01,2.000000000000000000e+00,9.996180502916407473e-01
1.300000000000000000e+01,2.000000000000000000e+00,9.995802144761420926e-01
1.400000000000000000e+01,2.000000000000000000e+00,9.995209127886452993e-01
1.500000000000000000e+01,2.000000000000000000e+00,9.994509455164707346e-01
1.600000000000000000e+01,2.000000000000000000e+00,9.993792621513090113e-01
1.700000000000000000e+01,2.000000000000000000e+00,9.993145561133299770e-01
1.800000000000000000e+01,2.000000000000000000e+00,9.992582721443095117e-01
1.900000000000000000e+01,2.000000000000000000e+00,9.991996674961579616e-01
2.000000000000000000e+01,2.000000000000000000e+00,9.991238309948613505e-01
2.100000000000000000e+01,2.000000000000000000e+00,9.990248005857994551e-01
2.200000000000000000e+01,2.000000000000000000e+00,9.989107523632561048e-01
2.300000000000000000e+01,2.000000000000000000e+00,9.987967321908610696e-01
2.400000000000000000e+01,2.000000000000000000e+00,9.986924122425031580e-01
2.500000000000000000e+01,2.000000000000000000e+00,9.985988747953699063e-01
2.600000000000000000e+01,2.000000000000000000e+00,9.985128681994491773e-01
2.700000000000000000e+01,2.000000000000000000e+00,9.984279952314814022e-01
2.800000000000000000e+01,2.000000000000000000e+00,9.983369349420703198e-01
2.900000000000000000e+01,2.000000000000000000e+00,9.982369113659763649e-01
3.000000000000000000e+01,2.000000000000000000e+00,9.981281074061159053e-01
3.100000000000000000e+01,2.000000000000000000e+00,9.980066520957947551e-01
3.200000000000000000e+01,4.000000000000000000e+00,9.978993200058628998e-01
3.300000000000000000e+01,4.000000000000000000e+00,9.977851630022078755e-01
3.400000000000000000e+01,4.000000000000000000e+00,9.976478755353188621e-01
3.500000000000000000e+01,4.000000000000000000e+00,9.975059473607889027e-01
3.600000000000000000e+01,4.000000000000000000e+00,9.973833335013124746e-01
3.700000000000000000e+01,4.000000000000000000e+00,9.972894355487840201e-01
3.800000000000000000e+01,4.000000000000000000e+00,9.972103908664604610e-01
3.900000000000000000e+01,4.000000000000000000e+00,9.971276733361597033e-01
4.000000000000000000e+01,4.000000000000000000e+00,9.970392628879825025e-01
4.100000000000000000e+01,4.000000000000000000e+00,9.969552689358319730e-01
4.200000000000000000e+01,4.000000000000000000e+00,9.968802688505943310e-01
4.300000000000000000e+01,4.000000000000000000e+00,9.968128775991746959e-01
4.400000000000000000e+01,4.000000000000000000e+00,9.967614234254462691e-01
4.500000000000000000e+01,4.000000000000000000e+00,9.967426372459149420e-01
4.600000000000000000e+01,4.000000000000000000e+00,9.967590366170739902e-01
4.700000000000000000e+01,6.000000000000000000e+00,9.968050997187818396e-01
4.800000000000000000e+01,6.000000000000000000e+00,9.968837208071237299e-01
4.900000000000000000e+01,6.000000000000000000e+00,9.969350096170138675e-01
5.000000000000000000e+01,6.000000000000000000e+00,9.969434178425724546e-01
5.100000000000000000e+01,6.000000000000000000e+00,9.969160469765403487e-01
5.200000000000000000e+01,6.000000000000000000e+00,9.968749873410120976e-01
5.300000000000000000e+01,6.000000000000000000e+00,9.968295437333817288e-01
5.400000000000000000e+01,6.000000000000000000e+00,9.967583049355422942e-01
5.500000000000000000e+01,6.000000000000000000e+00,9.966249940642485372e-01
5.600000000000000000e+01,6.000000000000000000e+00,9.964141051888509848e-01
5.700000000000000000e+01,6.000000000000000000e+00,9.961496873303209432e-01
5.800000000000000000e+01,6.000000000000000000e+00,9.958821691058884484e-01
5.900000000000000000e+01,6.000000000000000000e+00,9.956577474162415786e-01
6.000000000000000000e+01,6.000000000000000000e+00,9.954934686582740389e-01
6.100000000000000000e+01,6.000000000000000000e+00,9.953740603650351737e-01
6.200000000000000000e+01,8.000000000000000000e+00,9.952967699603063600e-01
6.300000000000000000e+01,8.000000000000000000e+00,9.952526633379746857e-01
6.400000000000000000e+01,8.000000000000000000e+00,9.952017068361833640e-01
6.500000000000000000e+01,8.000000000000000000e+00,9.951392988646791116e-01
6.600000000000000000e+01,8.000000000000000000e+00,9.950643596264603374e-01
6.700000000000000000e+01,8.000000000000000000e+00,9.949739321909596423e-01
6.800000000000000000e+01,8.000000000000000000e+00,9.948609788085251981e-01
6.900000000000000000e+01,8.000000000000000000e+00,9.947132748713629624e-01
7.000000000000000000e+01,8.000000000000000000e+00,9.945182118966290341e-01
7.100000000000000000e+01,8.000000000000000000e+00,9.942728871223318610e-01
7.200000000000000000e+01,8.000000000000000000e+00,9.939933739771420473e-01
7.300000000000000000e+01,8.000000000000000000e+00,9.937192372080584368e-01
7.400000000000000000e+01,8.000000000000000000e+00,9.935032552435784092e-01
7.500000000000000000e+01,8.000000000000000000e+00,9.933822756797241471e-01
7.600000000000000000e+01,8.000000000000000000e+00,9.933488367660806562e-01
7.700000000000000000e+01,8.000000000000000000e+00,9.933515852924562628e-01
7.800000000000000000e+01,8.000000000000000000e+00,9.933304817249462015e-01
7.900000000000000000e+01,1.000000000000000000e+01,9.932722053856248845e-01
8.000000000000000000e+01,1.000000000000000000e+01,9.932190109087886132e-01
8.100000000000000000e+01,1.000000000000000000e+01,9.931648863889229739e-01
8.200000000000000000e+01,1.000000000000000000e+01,9.931462412080528379e-01
8.300000000000000000e+01,1.000000000000000000e+01,9.931568806323085585e-01
8.400000000000000000e+01,1.000000000000000000e+01,9.931530171207455515e-01
8.500000000000000000e+01,1.000000000000000000e+01,9.930977040669839440e-01
8.600000000000000000e+01,1.000000000000000000e+01,9.929956440840582710e-01
8.700000000000000000e+01,1.000000000000000000e+01,9.928815575031606500e-01
8.800000000000000000e+01,1.000000000000000000e+01,9.927814607372839051e-01
8.900000000000000000e+01,1.000000000000000000e+01,9.926922704686667043e-01
9.000000000000000000e+01,1.000000000000000000e+01,9.925945514689890059e-01
9.100000000000000000e+01,1.000000000000000000e+01,9.924774681875330185e-01
9.200000000000000000e+01,1.000000000000000000e+01,9.923535383045765101e-01
9.300000000000000000e+01,1.000000000000000000e+01,9.922481036068139248e-01
9.400000000000000000e+01,1.000000000000000000e+01,9.921660127345803826e-01
9.500000000000000000e+01,1.000000000000000000e+01,9.920757493578813424e-01
9.600000000000000000e+01,1.000000000000000000e+01,9.919358798435607971e-01
9.700000000000000000e+01,1.000000000000000000e+01,9.917282114824018668e-01
9.800000000000000000e+01,1.200000000000000000e+01,9.914977466987844323e-01
9.900000000000000000e+01,1.200000000000000000e+01,9.912869372238880539e-01
1.000000000000000000e+02,1.200000000000000000e+01,9.910569931186147263e-01
1.010000000000000000e+02,1.200000000000000000e+01,9.908422973278478985e-01
1.020000000000000000e+02,1.200000000000000000e+01,9.906824069468311844e-01
1.030000000000000000e+02,1.200000000000000000e+01,9.905948171146912173e-01
1.040000000000000000e+02,1.200000000000000000e+01,9.905611888900615059e-01
1.050000000000000000e+02,1.200000000000000000e+01,9.905397094341428232e-01
1.060000000000000000e+02,1.200000000000000000e+01,9.904974156929269302e-01
1.070000000000000000e+02,1.200000000000000000e+01,9.904380053669800121e-01
1.080000000000000000e+02,1.200000000000000000e+01,9.904027261813905803e-01
