angle_deg,uncorrected_left_shift_minutes,uncorrected_left_correlation,uncorrected_right_shift_minutes,uncorrected_right_correlation,corrected_left_shift_minutes,corrected_left_correlation,corrected_right_shift_minutes,corrected_right_correlation
0.000000000000000000e+00,-8.000000000000000000e+01,-8.924828433637424507e-02,8.000000000000000000e+01,-8.924828433637424507e-02,-8.000000000000000000e+01,-8.924828433637424507e-02,8.000000000000000000e+01,-8.924828433637424507e-02
5.000000000000000000e+00,-8.000000000000000000e+01,-8.927319350566112477e-02,8.000000000000000000e+01,-8.927319350566112477e-02,-8.000000000000000000e+01,-8.927319350566112477e-02,8.000000000000000000e+01,-8.927319350566112477e-02
1.000000000000000000e+01,-8.000000000000000000e+01,-8.930070094427154659e-02,8.000000000000000000e+01,-8.930070094427154659e-02,-8.000000000000000000e+01,-8.930070094427154659e-02,8.000000000000000000e+01,-8.930070094427154659e-02
1.500000000000000000e+01,-8.000000000000000000e+01,-8.934207793029468048e-02,8.000000000000000000e+01,-8.934207793029468048e-02,-8.000000000000000000e+01,-8.934207793029468048e-02,8.000000000000000000e+01,-8.934207793029468048e-02
2.000000000000000000e+01,-8.000000000000000000e+01,-8.938913383438064353e-02,8.000000000000000000e+01,-8.938913383438064353e-02,-8.000000000000000000e+01,-8.938913383438064353e-02,8.000000000000000000e+01,-8.938913383438064353e-02
2.500000000000000000e+01,-8.000000000000000000e+01,-8.940178260852899017e-02,8.000000000000000000e+01,-8.940178260852899017e-02,-8.000000000000000000e+01,-8.940178260852899017e-02,8.000000000000000000e+01,-8.940178260852899017e-02
3.000000000000000000e+01,-8.000000000000000000e+01,-8.943600535154171138e-02,8.000000000000000000e+01,-8.943600535154171138e-02,-8.000000000000000000e+01,-8.943600535154171138e-02,8.000000000000000000e+01,-8.943600535154171138e-02
3.500000000000000000e+01,-8.000000000000000000e+01,-8.951596732851097027e-02,8.000000000000000000e+01,-8.951596732851097027e-02,-8.000000000000000000e+01,-8.951596732851097027e-02,8.000000000000000000e+01,-8.951596732851097027e-02
4.000000000000000000e+01,-8.000000000000000000e+01,-8.954562829207980690e-02,8.000000000000000000e+01,-8.954562829207980690e-02,-8.000000000000000000e+01,-8.954562829207980690e-02,8.000000000000000000e+01,-8.954562829207980690e-02
4.500000000000000000e+01,-8.000000000000000000e+01,-8.961457283967390330e-02,8.000000000000000000e+01,-8.961457283967390330e-02,-8.000000000000000000e+01,-8.961457283967390330e-02,8.000000000000000000e+01,-8.961457283967390330e-02
5.000000000000000000e+01,-8.000000000000000000e+01,-8.964434025806172768e-02,8.000000000000000000e+01,-8.964434025806172768e-02,-8.000000000000000000e+01,-8.964434025806172768e-02,8.000000000000000000e+01,-8.964434025806172768e-02
5.500000000000000000e+01,-8.000000000000000000e+01,-8.960592133219912048e-02,8.000000000000000000e+01,-8.960592133219912048e-02,-8.000000000000000000e+01,-8.960592133219912048e-02,8.000000000000000000e+01,-8.960592133219912048e-02
6.000000000000000000e+01,-8.000000000000000000e+01,-8.961829665896851871e-02,8.000000000000000000e+01,-8.961829665896851871e-02,-8.000000000000000000e+01,-8.961829665896851871e-02,8.000000000000000000e+01,-8.961829665896851871e-02
6.500000000000000000e+01,-8.000000000000000000e+01,-8.961274002852451237e-02,8.000000000000000000e+01,-8.961274002852451237e-02,-8.000000000000000000e+01,-8.961274002852451237e-02,8.000000000000000000e+01,-8.961274002852451237e-02
7.000000000000000000e+01,-8.000000000000000000e+01,-8.965773622116063324e-02,8.000000000000000000e+01,-8.965773622116063324e-02,-8.000000000000000000e+01,-8.965773622116063324e-02,8.000000000000000000e+01,-8.965773622116063324e-02
7.500000000000000000e+01,-8.000000000000000000e+01,-8.971750164808377226e-02,8.000000000000000000e+01,-8.971750164808377226e-02,-8.000000000000000000e+01,-8.971750164808377226e-02,8.000000000000000000e+01,-8.971750164808377226e-02
8.000000000000000000e+01,-8.000000000000000000e+01,-8.979001558297622365e-02,8.000000000000000000e+01,-8.979001558297622365e-02,-8.000000000000000000e+01,-8.979001558297622365e-02,8.000000000000000000e+01,-8.979001558297622365e-02
8.500000000000000000e+01,-8.000000000000000000e+01,-8.983737417111258006e-02,8.000000000000000000e+01,-8.983737417111258006e-02,-8.000000000000000000e+01,-8.983737417111258006e-02,8.000000000000000000e+01,-8.983737417111258006e-02
9.000000000000000000e+01,-8.000000000000000000e+01,-8.988747019041243291e-02,8.000000000000000000e+01,-8.988747019041243291e-02,-8.000000000000000000e+01,-8.988747019041243291e-02,8.000000000000000000e+01,-8.988747019041243291e-02
9.500000000000000000e+01,-8.000000000000000000e+01,-8.993722018545742547e-02,8.000000000000000000e+01,-8.993722018545742547e-02,-8.000000000000000000e+01,-8.993722018545742547e-02,8.000000000000000000e+01,-8.993722018545742547e-02
1.000000000000000000e+02,-8.000000000000000000e+01,-8.996765696798740553e-02,8.000000000000000000e+01,-8.996765696798740553e-02,-8.000000000000000000e+01,-8.996765696798740553e-02,8.000000000000000000e+01,-8.996765696798740553e-02
1.050000000000000000e+02,-8.000000000000000000e+01,-8.996572389411125470e-02,8.000000000000000000e+01,-8.996572389411125470e-02,-8.000000000000000000e+01,-8.996572389411125470e-02,8.000000000000000000e+01,-8.996572389411125470e-02
1.100000000000000000e+02,-8.000000000000000000e+01,-8.994548581655111008e-02,8.000000000000000000e+01,-8.994548581655111008e-02,-8.000000000000000000e+01,-8.994548581655111008e-02,8.000000000000000000e+01,-8.994548581655111008e-02
1.150000000000000000e+02,-8.000000000000000000e+01,-8.989040739344203446e-02,8.000000000000000000e+01,-8.989040739344203446e-02,-8.000000000000000000e+01,-8.989040739344203446e-02,8.000000000000000000e+01,-8.989040739344203446e-02
1.200000000000000000e+02,-8.000000000000000000e+01,-8.984737776802137477e-02,8.000000000000000000e+01,-8.984737776802137477e-02,-8.000000000000000000e+01,-8.984737776802137477e-02,8.000000000000000000e+01,-8.984737776802137477e-02
1.250000000000000000e+02,-8.000000000000000000e+01,-8.977229992339381959e-02,8.000000000000000000e+01,-8.977229992339381959e-02,-8.000000000000000000e+01,-8.977229992339381959e-02,8.000000000000000000e+01,-8.977229992339381959e-02
1.300000000000000000e+02,-8.000000000000000000e+01,-8.971636351504359841e-02,8.000000000000000000e+01,-8.971636351504359841e-02,-8.000000000000000000e+01,-8.971636351504359841e-02,8.000000000000000000e+01,-8.971636351504359841e-02
1.350000000000000000e+02,-8.000000000000000000e+01,-8.968712943003911975e-02,8.000000000000000000e+01,-8.968712943003911975e-02,-8.000000000000000000e+01,-8.968712943003911975e-02,8.000000000000000000e+01,-8.968712943003911975e-02
1.400000000000000000e+02,-8.000000000000000000e+01,-8.961681457797447681e-02,8.000000000000000000e+01,-8.961681457797447681e-02,-8.000000000000000000e+01,-8.961681457797447681e-02,8.000000000000000000e+01,-8.961681457797447681e-02
1.450000000000000000e+02,-8.000000000000000000e+01,-8.947931063525557671e-02,8.000000000000000000e+01,-8.947931063525557671e-02,-8.000000000000000000e+01,-8.947931063525557671e-02,8.000000000000000000e+01,-8.947931063525557671e-02
1.500000000000000000e+02,-8.000000000000000000e+01,-8.944966480551361232e-02,8.000000000000000000e+01,-8.944966480551361232e-02,-8.000000000000000000e+01,-8.944966480551361232e-02,8.000000000000000000e+01,-8.944966480551361232e-02
1.550000000000000000e+02,-8.000000000000000000e+01,-8.934027683891108962e-02,8.000000000000000000e+01,-8.934027683891108962e-02,-8.000000000000000000e+01,-8.934027683891108962e-02,8.000000000000000000e+01,-8.934027683891108962e-02
1.600000000000000000e+02,-8.000000000000000000e+01,-8.929660542464572248e-02,8.000000000000000000e+01,-8.929660542464572248e-02,-8.000000000000000000e+01,-8.929660542464572248e-02,8.000000000000000000e+01,-8.929660542464572248e-02
1.650000000000000000e+02,-8.000000000000000000e+01,-8.924071784591736112e-02,8.000000000000000000e+01,-8.924071784591736112e-02,-8.000000000000000000e+01,-8.924071784591736112e-02,8.000000000000000000e+01,-8.924071784591736112e-02
1.700000000000000000e+02,-8.000000000000000000e+01,-8.921540574924601008e-02,8.000000000000000000e+01,-8.921540574924601008e-02,-8.000000000000000000e+01,-8.921540574924601008e-02,8.000000000000000000e+01,-8.921540574924601008e-02
1.750000000000000000e+02,-8.000000000000000000e+01,-8.922935727951900042e-02,8.000000000000000000e+01,-8.922935727951900042e-02,-8.000000000000000000e+01,-8.922935727951900042e-02,8.000000000000000000e+01,-8.922935727951900042e-02
