shift_minutes,correlation
-2.000000000000000000e+02,2.019776751815633986e-01
-1.980000000000000000e+02,1.420233344446777124e-01
-1.960000000000000000e+02,7.089174421670763060e-02
-1.940000000000000000e+02,-3.476328769551478414e-03
-1.920000000000000000e+02,-7.706989356862839480e-02
-1.900000000000000000e+02,-1.480759240415778222e-01
-1.880000000000000000e+02,-2.152232076562516916e-01
-1.860000000000000000e+02,-2.773660756859632759e-01
-1.840000000000000000e+02,-3.335531322460432713e-01
-1.820000000000000000e+02,-3.833027702076510224e-01
-1.800000000000000000e+02,-4.266801547638854331e-01
-1.780000000000000000e+02,-4.640602387316143940e-01
-1.760000000000000000e+02,-4.959308199290994867e-01
-1.740000000000000000e+02,-5.229614725309572609e-01
-1.720000000000000000e+02,-5.460917078722445916e-01
-1.700000000000000000e+02,-5.664019430028028879e-01
-1.680000000000000000e+02,-5.849199514784886311e-01
-1.660000000000000000e+02,-6.024586484400605846e-01
-1.640000000000000000e+02,-6.194101202554901375e-01
-1.620000000000000000e+02,-6.356316409963149727e-01
-1.600000000000000000e+02,-6.506119536735492925e-01
-1.580000000000000000e+02,-6.637781488319649537e-01
-1.560000000000000000e+02,-6.746520320728119913e-01
-1.540000000000000000e+02,-6.828763414903161744e-01
-1.520000000000000000e+02,-6.882735532628893038e-01
-1.500000000000000000e+02,-6.908687940790781967e-01
-1.480000000000000000e+02,-6.907949112116997803e-01
-1.460000000000000000e+02,-6.881785466196954637e-01
-1.440000000000000000e+02,-6.831131547901080348e-01
-1.420000000000000000e+02,-6.757507835331136858e-01
-1.400000000000000000e+02,-6.663949686286328999e-01
-1.380000000000000000e+02,-6.554220050073362724e-01
-1.360000000000000000e+02,-6.431511827988983798e-01
-1.340000000000000000e+02,-6.298154988491733164e-01
-1.320000000000000000e+02,-6.155216794878634046e-01
-1.300000000000000000e+02,-6.002519449799820217e-01
-1.280000000000000000e+02,-5.840663715845665349e-01
-1.260000000000000000e+02,-5.672782108739903295e-01
-1.240000000000000000e+02,-5.503261338126047564e-01
-1.220000000000000000e+02,-5.336006151710546153e-01
-1.200000000000000000e+02,-5.174852273032286565e-01
-1.180000000000000000e+02,-5.023845178236624465e-01
-1.160000000000000000e+02,-4.885647450348944987e-01
-1.140000000000000000e+02,-4.759988223967424603e-01
-1.120000000000000000e+02,-4.644294062690277891e-01
-1.100000000000000000e+02,-4.535440924822256026e-01
-1.080000000000000000e+02,-4.430378466542883586e-01
-1.060000000000000000e+02,-4.325320417312508714e-01
-1.040000000000000000e+02,-4.212511356215214442e-01
-1.020000000000000000e+02,-4.076680314914043479e-01
-1.000000000000000000e+02,-3.903070470802196823e-01
-9.800000000000000000e+01,-3.694544322535499026e-01
-9.600000000000000000e+01,-3.461620953722092109e-01
-9.400000000000000000e+01,-3.189954029721599471e-01
-9.200000000000000000e+01,-2.843641813625873427e-01
-9.000000000000000000e+01,-2.406493581755774491e-01
-8.800000000000000000e+01,-1.915466409667310743e-01
-8.600000000000000000e+01,-1.454325503730634350e-01
-8.400000000000000000e+01,-1.109237983010076117e-01
-8.200000000000000000e+01,-9.259013177446062670e-02
-8.000000000000000000e+01,-8.961829665896851871e-02
-7.800000000000000000e+01,-9.705651907679820056e-02
-7.600000000000000000e+01,-1.089490798537364608e-01
-7.400000000000000000e+01,-1.211330879729191345e-01
-7.200000000000000000e+01,-1.318243298891190463e-01
-7.000000000000000000e+01,-1.406016791469231475e-01
-6.800000000000000000e+01,-1.469211145536798435e-01
-6.600000000000000000e+01,-1.491584353873086077e-01
-6.400000000000000000e+01,-1.449309046387973199e-01
-6.200000000000000000e+01,-1.323851605915109808e-01
-6.000000000000000000e+01,-1.119119191457737250e-01
-5.800000000000000000e+01,-8.709718608167607568e-02
-5.600000000000000000e+01,-6.242721951650531675e-02
-5.400000000000000000e+01,-3.971443815192390175e-02
-5.200000000000000000e+01,-1.777578364565515420e-02
-5.000000000000000000e+01,5.525614619976812816e-03
-4.800000000000000000e+01,3.179607364323198265e-02
-4.600000000000000000e+01,6.177218666663744640e-02
-4.400000000000000000e+01,9.551425696319985892e-02
