shift_minutes,correlation
-2.000000000000000000e+02,2.016668839892776233e-01
-1.980000000000000000e+02,1.415729956836301318e-01
-1.960000000000000000e+02,7.040520642242749372e-02
-1.940000000000000000e+02,-3.925904823089634670e-03
-1.920000000000000000e+02,-7.745760273818699804e-02
-1.900000000000000000e+02,-1.483937099615810773e-01
-1.880000000000000000e+02,-2.154446311237299128e-01
-1.860000000000000000e+02,-2.774482866652912549e-01
-1.840000000000000000e+02,-3.334671804295795683e-01
-1.820000000000000000e+02,-3.830598988601046084e-01
-1.800000000000000000e+02,-4.263347123643113079e-01
-1.780000000000000000e+02,-4.636926283968508256e-01
-1.760000000000000000e+02,-4.956214534419198792e-01
-1.740000000000000000e+02,-5.227660982348558694e-01
-1.720000000000000000e+02,-5.460317146643055564e-01
-1.700000000000000000e+02,-5.664720659127794322e-01
-1.680000000000000000e+02,-5.851029964805857242e-01
-1.660000000000000000e+02,-6.027385473397072202e-01
-1.640000000000000000e+02,-6.197750271425559454e-01
-1.620000000000000000e+02,-6.360669215573432345e-01
-1.600000000000000000e+02,-6.510936006866963055e-01
-1.580000000000000000e+02,-6.642746027880445103e-01
-1.560000000000000000e+02,-6.751328673533483204e-01
-1.540000000000000000e+02,-6.833175955113005573e-01
-1.520000000000000000e+02,-6.886575093264597491e-01
-1.500000000000000000e+02,-6.911863607623565109e-01
-1.480000000000000000e+02,-6.910469748070982021e-01
-1.460000000000000000e+02,-6.883707761607275044e-01
-1.440000000000000000e+02,-6.832530759791219932e-01
-1.420000000000000000e+02,-6.758504544155450322e-01
-1.400000000000000000e+02,-6.664737090512027340e-01
-1.380000000000000000e+02,-6.555042651579153778e-01
-1.360000000000000000e+02,-6.432541492483128120e-01
-1.340000000000000000e+02,-6.299361736101822817e-01
-1.320000000000000000e+02,-6.156397184078654661e-01
-1.300000000000000000e+02,-6.003439726618056138e-01
-1.280000000000000000e+02,-5.841159326053023682e-01
-1.260000000000000000e+02,-5.672722455174141754e-01
-1.240000000000000000e+02,-5.502486004830668964e-01
-1.220000000000000000e+02,-5.334403705098845760e-01
-1.200000000000000000e+02,-5.172494353969481207e-01
-1.180000000000000000e+02,-5.020977749299831983e-01
-1.160000000000000000e+02,-4.882586469968310805e-01
-1.140000000000000000e+02,-4.757082358475548389e-01
-1.120000000000000000e+02,-4.641898797217018924e-01
-1.100000000000000000e+02,-4.533782321019210748e-01
-1.080000000000000000e+02,-4.429409241785068896e-01
-1.060000000000000000e+02,-4.324729501165087697e-01
-1.040000000000000000e+02,-4.211875333966434987e-01
-1.020000000000000000e+02,-4.075681486767681050e-01
-1.000000000000000000e+02,-3.901657589052415775e-01
-9.800000000000000000e+01,-3.692855474410553507e-01
-9.600000000000000000e+01,-3.459782808998539960e-01
-9.400000000000000000e+01,-3.188037255568879069e-01
-9.200000000000000000e+01,-2.841772515152265477e-01
-9.000000000000000000e+01,-2.404942179664779911e-01
-8.800000000000000000e+01,-1.914559398632743881e-01
-8.600000000000000000e+01,-1.454236449697119127e-01
-8.400000000000000000e+01,-1.109917283057359066e-01
-8.200000000000000000e+01,-9.271878534624729273e-02
-8.000000000000000000e+01,-8.979001558297622365e-02
-7.800000000000000000e+01,-9.725178646599244581e-02
-7.600000000000000000e+01,-1.091452634945589834e-01
-7.400000000000000000e+01,-1.213072001107523834e-01
-7.200000000000000000e+01,-1.319568671258670167e-01
-7.000000000000000000e+01,-1.406805885408124179e-01
-6.800000000000000000e+01,-1.469477437517536789e-01
-6.600000000000000000e+01,-1.491507056816199772e-01
-6.400000000000000000e+01,-1.449155262943397637e-01
