distance_km,best_shift_minutes,maximum_correlation
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.999626066627455012e-01
2.000000000000000000e+00,0.000000000000000000e+00,9.998733900448003586e-01
3.000000000000000000e+00,0.000000000000000000e+00,9.997553156911629380e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.996234489933165657e-01
5.000000000000000000e+00,0.000000000000000000e+00,9.994938138415531137e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.993772097548743183e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.992810863735525073e-01
8.000000000000000000e+00,0.000000000000000000e+00,9.992196295255328931e-01
9.000000000000000000e+00,0.000000000000000000e+00,9.992027659777901194e-01
1.000000000000000000e+01,0.000000000000000000e+00,9.992220646244274196e-01
1.100000000000000000e+01,0.000000000000000000e+00,9.992569969777778116e-01
1.200000000000000000e+01,0.000000000000000000e+00,9.992763247338884991e-01
1.300000000000000000e+01,0.000000000000000000e+00,9.992383860230019677e-01
1.400000000000000000e+01,0.000000000000000000e+00,9.991218680146197739e-01
1.500000000000000000e+01,0.000000000000000000e+00,9.989567621718332679e-01
1.600000000000000000e+01,0.000000000000000000e+00,9.988052367418432942e-01
1.700000000000000000e+01,0.000000000000000000e+00,9.987078423475970190e-01
1.800000000000000000e+01,0.000000000000000000e+00,9.986580107937942374e-01
1.900000000000000000e+01,0.000000000000000000e+00,9.986275247589204707e-01
2.000000000000000000e+01,0.000000000000000000e+00,9.985895596986266165e-01
2.100000000000000000e+01,0.000000000000000000e+00,9.985127649074961864e-01
2.200000000000000000e+01,0.000000000000000000e+00,9.983643525897204496e-01
2.300000000000000000e+01,0.000000000000000000e+00,9.981339624928737830e-01
2.400000000000000000e+01,0.000000000000000000e+00,9.978504408857198360e-01
2.500000000000000000e+01,0.000000000000000000e+00,9.975688489912296619e-01
2.600000000000000000e+01,0.000000000000000000e+00,9.973358025249506875e-01
2.700000000000000000e+01,0.000000000000000000e+00,9.971718783187870638e-01
2.800000000000000000e+01,0.000000000000000000e+00,9.970812362571606080e-01
2.900000000000000000e+01,0.000000000000000000e+00,9.970528264394867834e-01
3.000000000000000000e+01,0.000000000000000000e+00,9.970505343510256413e-01
3.100000000000000000e+01,0.000000000000000000e+00,9.970258219416885392e-01
3.200000000000000000e+01,0.000000000000000000e+00,9.969412399066942543e-01
3.300000000000000000e+01,0.000000000000000000e+00,9.967707738969863174e-01
3.400000000000000000e+01,0.000000000000000000e+00,9.964920661220870723e-01
3.500000000000000000e+01,0.000000000000000000e+00,9.960935161083525058e-01
3.600000000000000000e+01,2.000000000000000000e+00,9.959994482207213951e-01
3.700000000000000000e+01,2.000000000000000000e+00,9.958503517584005316e-01
3.800000000000000000e+01,2.000000000000000000e+00,9.956742336853742215e-01
3.900000000000000000e+01,2.000000000000000000e+00,9.955811569255049731e-01
4.000000000000000000e+01,2.000000000000000000e+00,9.956126810194497745e-01
4.100000000000000000e+01,2.000000000000000000e+00,9.956998109944039665e-01
4.200000000000000000e+01,2.000000000000000000e+00,9.957336079850256372e-01
4.300000000000000000e+01,2.000000000000000000e+00,9.956529434057730388e-01
4.400000000000000000e+01,2.000000000000000000e+00,9.954828408319574828e-01
4.500000000000000000e+01,2.000000000000000000e+00,9.953137393196932470e-01
4.600000000000000000e+01,2.000000000000000000e+00,9.952245788816950212e-01
4.700000000000000000e+01,2.000000000000000000e+00,9.952073395860059346e-01
4.800000000000000000e+01,2.000000000000000000e+00,9.951743599475557644e-01
4.900000000000000000e+01,2.000000000000000000e+00,9.950237948619340411e-01
5.000000000000000000e+01,2.000000000000000000e+00,9.946782029356926458e-01
5.100000000000000000e+01,2.000000000000000000e+00,9.940960369635826188e-01
5.200000000000000000e+01,2.000000000000000000e+00,9.933067211975786792e-01
5.300000000000000000e+01,2.000000000000000000e+00,9.924476399490077538e-01
5.400000000000000000e+01,2.000000000000000000e+00,9.917137959066895103e-01
5.500000000000000000e+01,2.000000000000000000e+00,9.912250044641659485e-01
5.600000000000000000e+01,2.000000000000000000e+00,9.909560503114948071e-01
5.700000000000000000e+01,2.000000000000000000e+00,9.908021709997993920e-01
5.800000000000000000e+01,2.000000000000000000e+00,9.906844651237710631e-01
