image_index,wavelength_km,wavelength_error_km,angle_deg,angle_error_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,35.15937595370415,8.844790888804486,105.26445574993093,10.59206960494202,-0.6030079557085364,0.020020743802799723,0.764012126660687,1.0,0.7809605640843946,0.09789548185421326,-0.6083942394504889
1,34.14289929821323,9.426951112809475,105.29427357651934,10.273972989367023,-0.9930135023612074,-0.8822892567951537,-0.24336688817479102,0.4636022223787921,0.8772529179696624,0.694434966982107,0.04611284309353869
2,35.25184445435547,10.859148188074288,105.02351360854001,10.095306465549225,-0.6461319322345761,-0.8258432246901894,-0.7393645570624434,-0.2885182051369355,0.2054891264683789,0.5056772133229657,0.31324092283392435
3,35.4144688700804,10.42181883790224,104.88676210100138,9.6603948478576,-0.4665393137564139,-0.6310738643790301,-0.7488436613255134,-0.5720751937217134,-0.20974531735732993,0.1978488786414041,0.3334561549588828
4,28.97031484813155,6.22581783136684,97.33429781725562,6.97477518775435,0.6220458862549609,-0.21466783599199746,-0.5794052764790507,-0.53385988785029,-0.13439412198180167,0.3263458424856276,0.41379751338626636
5,28.677972543996837,6.428472219039364,97.37345499543704,6.9949652413558026,0.6245588331472911,0.05144776085549063,-0.6394663458998939,-0.5869824817538642,-0.030712990544431995,0.4545362142480993,0.5240652119331908
6,29.197811368491433,6.92791691561306,97.63235952213262,6.883001165232181,0.4283355858482685,0.1183266419782596,-0.7651816868853234,-0.7263116522373319,0.0653905383765474,0.6805992936426957,0.45776542843904533
7,29.458051914038794,7.440495044418731,97.50508556305547,6.931525676248565,0.3720848339375946,0.13574947476615518,-0.7099105965286772,-0.7251648573252714,0.11329019781726513,0.7041140558837535,0.3821757289025618
8,29.45038543178031,7.43902595887969,97.40846693025941,6.891566189533208,0.3836080798190018,0.24998224506780176,-0.6252753109101676,-0.7213611553560109,0.21249704781619982,0.7341019776145628,0.3314774735642325
9,28.929080762877547,7.464886704178126,97.3669420427063,6.893286404690288,0.5115585161853711,0.2705492904756497,-0.6177900892048156,-0.6439262965155946,0.24231611462402336,0.6993203429018291,0.3171765353256173
10,29.017622134415245,7.4043162345740345,97.26255603335818,6.814997734466746,0.4650898489703419,0.2578712316153262,-0.5729477231485071,-0.636597704837629,0.20087256090461736,0.7663045725732205,0.2899045061990897
11,28.95251641973231,7.3662133665520075,97.43868208917495,6.928932662522693,0.45326918773715974,0.24399531750442893,-0.544542699622293,-0.5761038101879923,0.199925432353389,0.7646223608478979,0.3391002635010758
12,28.780086737363394,7.425169482583009,97.28499612157617,6.934072385721644,0.5095612746001952,0.20803202407653876,-0.5940698777723001,-0.5143571565777618,0.2618778505077526,0.7344779571997535,0.19539325801359864
13,28.964348636735437,7.377541425338071,97.43823378917949,6.925753846812378,0.38933374973013946,0.1977617621740304,-0.509615857592796,-0.570353741986396,0.2715803991647354,0.6878438375684375,0.256751269658936
14,28.96805073183671,7.3752904913384985,97.4738994967284,6.948099220980336,0.36514139912404997,0.22759052769097776,-0.36818837957560346,-0.4053045679916938,0.2775778122080459,0.7800662572231745,0.23313006795227098
15,28.755557489425875,7.440429489831618,97.31569161410057,6.958087536930735,0.4446381813789593,0.21287432176201238,-0.4416672207976584,-0.4861965159357229,0.2833781701787488,0.7787701675237697,0.1806919161466356
16,28.717062613844064,7.438147422232689,97.40700008062655,7.003577727435273,0.4597303116191127,0.2253253999715905,-0.4218907018882577,-0.5135323080653269,0.2703473136332555,0.7743147330869444,0.18703501853789373
17,28.70690141237924,7.445942983111363,97.41173441476951,7.003110556410995,0.46363580552131634,0.2086995985786242,-0.4317432332747727,-0.5128999326397513,0.27714299297646505,0.7248745574858146,0.17768083590880757
18,28.69539510039198,7.467041535913758,97.36088234352407,6.976700403256081,0.43980556429423134,0.13460466813899297,-0.4963462482406493,-0.5287811601523759,0.311138818845331,0.7684228100279944,0.2848365628061742
19,29.07521736258572,7.42016055356309,97.09209953367785,6.942542922496637,0.3324755746336592,0.10044060267106425,-0.49285313179771395,-0.511183311385259,0.246770446176392,0.7524007823457295,0.2624860374468281
20,28.79761596313349,7.485583261135422,97.246012255302,6.9262264831309395,0.4442931911947081,0.0838881687944184,-0.5663563081569953,-0.530166110938378,0.26815455775870745,0.7651971695253128,0.3806534978299114
21,29.076744118871428,7.426932275573554,97.08480319467348,6.938186278665205,0.31395303003573716,0.035885255882579736,-0.5443052553135946,-0.5144399629300263,0.26127733614203663,0.7490557129336695,0.3723772672799244
22,28.837304642634052,7.503428252531958,97.16198537973925,6.871236812158021,0.44883464961076025,0.04641902248824925,-0.5964509204740596,-0.515252817762712,0.2912764925455136,0.7637833591489434,0.38605176400866936
23,28.651036621554127,6.8911762150308435,97.23578881941276,6.929993618318536,0.42676401599329883,0.08670495296047731,-0.5227318148294363,-0.5675560463411147,0.26023281966087186,0.7658946889215155,0.405161056865887
24,28.615540223828944,6.9070133603103585,97.19262801280917,6.917236005884154,0.503543175186832,0.06865942072559283,-0.5836921220101596,-0.5410493711851059,0.30256317891170936,0.7558859314571673,0.3680922040994561
25,28.609865154608425,6.908684417678288,97.19559430802416,6.921234749569405,0.5125079472935761,0.03005501271904709,-0.6093201800705279,-0.5370552530652004,0.3079158134619777,0.7590986149525785,0.3470556079361302
26,28.565224679477627,6.903843147835421,97.24541440598675,6.923272116664265,0.5796852430377275,0.07270463280564754,-0.6220883006440133,-0.5636335205780802,0.2859957395783874,0.7596898191968875,0.38073292312948714
27,27.89692756014407,6.40934945610444,97.18522274255908,7.119583550188195,0.822119048701577,0.2781127899477458,-0.4349965323735595,-0.5655915277687087,0.3311862414910609,0.7772236656832707,0.3553365530746695
28,27.919063909206766,6.396546767389712,97.21084819038327,7.119831761386689,0.8494362598370184,0.27108043829148887,-0.4493763124080449,-0.580149123430451,0.3269772086349769,0.7826264953904749,0.34202203848157087
29,27.832009857384033,6.409334007163329,97.28050422610487,7.179345913341391,0.8717866173987405,0.26573083248001694,-0.45991095812526117,-0.5720756235648647,0.3077133321250478,0.752047655199545,0.32551527305127936
30,27.865642425106525,6.418536045862929,97.19610758892776,7.128343027555088,0.8799294879251798,0.30624143822444383,-0.4431683188222094,-0.5861186222812862,0.2515724590063182,0.7485010479464118,0.35547340783130044
