slice,cluster_in_slice,global_cluster_index,status,point_source,selection_method,selected_y,selected_x,raw_peak_y,raw_peak_x,selected_global_x,latitude,longitude,amplitude_K,target_wavelength_km,target_dominant_angle_deg,target_bearing_deg,target_true_angle_deg,temperature_K,u_navgem_m_per_s,v_navgem_m_per_s,NN_or_N2_navgem,intrinsic_speed_c_minus_w_m_per_s,m2_1_per_m2,lambda_z_km,New_MF_m2_s2,New_MF_u_m2_s2,New_MF_v_m2_s2,MF_m2_s2,MFz_m2_s2,MFm_m2_s2,finite_pixels,phase_speed_m_per_s,phase_speed_error_m_per_s,phase_direction,phase_avg_wavelength_km,phase_avg_wavelength_error_km,phase_avg_angle_deg,phase_avg_angle_error_deg,phase_closest_frame,phase_closest_distance_km,phase_fit_sse,excluded_from_mf_sums_sse_gt_threshold,phase_summary_csv,phase_output_dir,plot_path,file,orbit_tag,orbit_id,version,error_message
3,0,0,ok,saved representative point,0,194,214,194,214,2014,51.11653137207031,-137.42843627929688,4.702315807342529,24.0,109.99999850756943,342.93548583984375,92.93549346923828,222.3699951171875,-0.1806185394525528,-17.037933349609375,0.0004524253308773041,73.79303320949053,8.308376879966035e-08,21.79825727662685,40.67979293751621,-2.083271422195889,40.626414235330394,21.10784339904785,0.05535813421010971,21.052486419677734,73960,-56.7867062206526,6.43450767507208,-1,23.313211918837254,2.6416225029755966,85.88043147528533,7.527324093578184,464,86.79280700398448,0.309234292712572,False,AWE\01772\remap85_from_l7a\slice_003\cluster_000_global_00000\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_31_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_003\cluster_000_global_00000,plots_l7a_cluster_debug\01772\slice_003\awe_l7a_tmp_2024075T0844_01772_v23_slice_003_cluster_000_global_00000_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
3,1,1,ok,saved representative point,0,128,314,128,314,2114,49.490814208984375,-135.33013916015625,1.3712881803512573,124.49659729003906,90.00000250447816,341.3175964355469,71.31761169433594,190.99000549316406,4.214975357055664,-11.951977729797363,0.0004687925975304097,53.94892165719877,1.6107020397834436e-07,15.655691831235952,0.6266342394545925,0.20072475220072053,0.5936160745050583,0.46909695863723755,0.04813218116760254,0.420964777469635,59812,-43.976858490181456,6.201341787619678,-1,109.9884376554433,15.509882197246691,71.1553378614903,9.774901833858186,490,43.44186717466099,0.0017164766595178576,False,AWE\01772\remap85_from_l7a\slice_003\cluster_001_global_00001\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_120x120\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_003\cluster_001_global_00001,plots_l7a_cluster_debug\01772\slice_003\awe_l7a_tmp_2024075T0844_01772_v23_slice_003_cluster_001_global_00001_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
5,0,2,ok,saved representative point,1,75,294,64,296,3294,38.82078552246094,-109.95437622070312,1.7905447483062744,26.17218589782715,139.99999934239548,323.05181884765625,103.05180358886719,187.94000244140625,-5.196169853210449,-43.670780181884766,0.0004640516999643296,68.50585919207546,9.888056352930787e-08,19.981330438004655,6.766963603990234,-1.5281981466752808,6.592147361992657,3.9289438724517822,0.2003764510154724,3.728567361831665,16020,-27.136722661236995,3.5830798264441355,-1,24.446200205914355,3.2278284995758364,103.36924994322995,10.370584152493121,798,148.0223448309245,0.0251158583788487,False,AWE\01772\remap85_from_l7a\slice_005\cluster_000_global_00002\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_21_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_005\cluster_000_global_00002,plots_l7a_cluster_debug\01772\slice_005\awe_l7a_tmp_2024075T0844_01772_v23_slice_005_cluster_000_global_00002_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
5,1,3,ok,saved representative point,1,75,250,50,238,3250,39.30146789550781,-110.74711608886719,0.8739187121391296,24.0,139.99999934239548,323.5682067871094,103.56822204589844,190.49000549316406,-2.536705493927002,-44.65563201904297,0.0004278422275092453,82.38609688752767,6.303413393237586e-08,25.026030716910743,2.324548833977225,-0.5453454984309194,2.2596737748812346,0.9935056567192078,0.05468110367655754,0.9388245940208435,2276,-39.57186205730549,4.812148525164128,-1,22.93237664589216,2.7886987550707243,105.84529327347687,10.464550986511801,786,148.03674758097455,0.07011674477859813,False,AWE\01772\remap85_from_l7a\slice_005\cluster_001_global_00003\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_005\cluster_001_global_00003,plots_l7a_cluster_debug\01772\slice_005\awe_l7a_tmp_2024075T0844_01772_v23_slice_005_cluster_001_global_00003_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
5,2,4,ok,saved representative point,0,212,290,212,290,3290,40.792266845703125,-108.10035705566406,1.2772172689437866,24.0,149.99999734394112,321.8735656738281,111.87356567382812,177.99000549316406,2.8240151405334473,-42.66668701171875,0.00042462654528208077,79.22196708595027,6.765749230669908e-08,24.155827519556336,5.530772182610509,-2.0605424255130114,5.132602249210352,2.430586099624634,0.33736708760261536,2.093219041824341,4312,-38.57481524033721,4.810586713503351,-1,22.560925787333225,2.8135271461622064,109.92488594114228,9.955025324269899,797,122.35253176105513,0.016486510772412387,False,AWE\01772\remap85_from_l7a\slice_005\cluster_002_global_00004\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_005\cluster_002_global_00004,plots_l7a_cluster_debug\01772\slice_005\awe_l7a_tmp_2024075T0844_01772_v23_slice_005_cluster_002_global_00004_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,0,5,ok,saved representative point,1,75,222,50,204,3822,32.70798873901367,-101.18736267089844,3.446895122528076,31.124149322509766,90.00000250447816,317.6875915527344,47.687599182128906,207.67999267578125,15.237364768981934,-47.255943298339844,0.000541765068192035,117.10165497723322,3.9507989839722595e-08,31.610939359951505,23.401281055148825,15.753102288175707,17.30490460304074,10.026589393615723,4.5436625480651855,5.482926845550537,37652,-92.41395418277848,13.559998733578752,-1,27.446944392285214,4.02731962387289,42.40142814020958,10.241449018820603,935,148.01168322537663,4.892921740886258,True,AWE\01772\remap85_from_l7a\slice_006\cluster_000_global_00005\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_12_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_000_global_00005,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_000_global_00005_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,1,6,ok,saved representative point,1,75,218,56,220,3818,32.76896667480469,-101.23567962646484,3.68558669090271,67.88224792480469,120.00000333930423,317.7142028808594,77.7142105102539,195.32000732421875,15.412162780761719,-46.79209899902344,0.0005352903972379863,248.84927278947626,8.644038660514248e-09,67.58051827530369,30.008172607509888,6.385382809498044,29.32093637007989,5.942203044891357,0.2690555453300476,5.673147678375244,42352,-206.40831462940966,27.966180058014302,-1,61.30326944493468,8.305955477230249,82.8891503089617,8.901137224030931,935,146.21412975188105,15.804557765557487,True,AWE\01772\remap85_from_l7a\slice_006\cluster_001_global_00006\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_33_120x120\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_001_global_00006,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_001_global_00006_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,2,7,ok,saved representative point,1,75,224,66,224,3824,32.6840934753418,-101.15618133544922,3.142380475997925,31.124149322509766,100.0000005060238,317.6721496582031,57.67216491699219,201.41000366210938,15.112947463989258,-47.42618179321289,0.0005445336573757231,125.44744236366573,3.460199235733287e-08,33.77764098942237,21.98398700648524,11.756226004691918,18.576512988930872,8.860166549682617,2.533754348754883,6.326412200927734,4124,-93.45407119282952,13.684530679537001,-1,27.75585914427037,4.0643056118224905,50.50680324886218,10.53202284778179,936,148.0465980975888,1.7279372241890039,True,AWE\01772\remap85_from_l7a\slice_006\cluster_002_global_00007\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_12_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_002_global_00007,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_002_global_00007_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,3,8,ok,saved representative point,0,218,264,218,264,3864,34.04220199584961,-98.4776382446289,3.3911502361297607,28.540969848632812,130.00000134084985,316.19061279296875,86.19060516357422,185.1999969482422,14.112802505493164,-33.17265701293945,0.0004481716314330697,63.95168189815848,1.0958230252226038e-07,18.980587794065382,22.545121474862007,1.4978382079933596,22.4953102450035,13.308444023132324,0.05874262750148773,13.249701499938965,19276,-31.78993386095878,4.353237211517183,-1,25.713321822515084,3.5211205496390905,85.48364952892496,10.584045193185815,945,132.41290202645996,0.03177911347704609,False,AWE\01772\remap85_from_l7a\slice_006\cluster_003_global_00008\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_003_global_00008,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_003_global_00008_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,4,9,ok,saved representative point,1,75,224,22,150,3824,32.6840934753418,-101.15618133544922,2.403069496154785,40.36302947998047,90.00000250447816,317.6721496582031,47.67216491699219,201.41000366210938,15.112947463989258,-47.42618179321289,0.0005445336573757231,145.93079160144015,2.5570007290444493e-08,39.292932523296614,11.53241989334698,7.765607745140863,8.525962992241604,3.9954962730407715,1.8116759061813354,2.1838204860687256,11220,-121.04506496226713,17.655647062265565,-1,35.95038429379334,5.243727177492874,43.06363997627965,10.016986631171113,936,148.0465980975888,2.9691807397140693,True,AWE\01772\remap85_from_l7a\slice_006\cluster_004_global_00009\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_12_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_004_global_00009,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_004_global_00009_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
