slice,cluster_in_slice,global_cluster_index,status,point_source,selection_method,selected_y,selected_x,raw_peak_y,raw_peak_x,selected_global_x,latitude,longitude,amplitude_K,target_wavelength_km,target_dominant_angle_deg,target_bearing_deg,target_true_angle_deg,temperature_K,u_navgem_m_per_s,v_navgem_m_per_s,NN_or_N2_navgem,intrinsic_speed_c_minus_w_m_per_s,m2_1_per_m2,lambda_z_km,New_MF_m2_s2,New_MF_u_m2_s2,New_MF_v_m2_s2,MF_m2_s2,MFz_m2_s2,MFm_m2_s2,finite_pixels,phase_speed_m_per_s,phase_speed_error_m_per_s,phase_direction,phase_avg_wavelength_km,phase_avg_wavelength_error_km,phase_avg_angle_deg,phase_avg_angle_error_deg,phase_closest_frame,phase_closest_distance_km,phase_fit_sse,excluded_from_mf_sums_sse_gt_threshold,phase_summary_csv,phase_output_dir,plot_path,file,orbit_tag,orbit_id,version
2,0,0,ok,saved representative point,1,75,430,24,428,1630,50.400203704833984,-103.08035278320312,0.7555354237556458,40.36302947998047,100.0000005060238,353.0450134277344,93.0450210571289,181.63999938964844,-18.678613662719727,-46.95173645019531,0.00033696877653710544,94.50206556315428,3.773175960586766e-08,32.346428760921675,1.864590653583056,-0.09904799652073284,1.8619580553316761,0.48560911417007446,0.0013702946016564965,0.4842388331890106,7340,-48.60883721851154,9.372389567488971,-1,38.338455512426044,7.392131987503338,92.95691102357723,11.050311466234596,359,146.58935464521576,1.2723240360612331,True,AWE\01770\remap85_from_l7a\slice_002\cluster_000_global_00000\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_002\cluster_000_global_00000,plots_l7a_cluster_debug\01770\slice_002\awe_l7a_tmp_2024075T0538_01770_v23_slice_002_cluster_000_global_00000_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
2,1,1,ok,saved representative point,1,75,506,66,502,1706,50.269962310791016,-100.97471618652344,1.2099403142929077,24.0,130.00000134084985,351.3816223144531,121.38162994384766,184.1199951171875,-22.34886932373047,-41.73202133178711,0.0003619031922426075,101.96081816062325,3.48117447510629e-08,33.67572645367104,7.58722920225369,-3.9509422299312207,6.477353044514192,2.0384433269500732,0.5527564287185669,1.4856868982315063,6848,-77.97130381053924,15.394445463232563,-1,23.15747723173016,4.572150302580072,121.07090489953197,8.275605495401209,378,147.5006692799077,46.16367296421126,True,AWE\01770\remap85_from_l7a\slice_002\cluster_001_global_00001\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_002\cluster_001_global_00001,plots_l7a_cluster_debug\01770\slice_002\awe_l7a_tmp_2024075T0538_01770_v23_slice_002_cluster_001_global_00001_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
2,2,2,ok,saved representative point,1,224,74,248,70,1274,53.07624053955078,-113.05894470214844,1.004085898399353,52.3443717956543,79.99999767274336,0.9479665756225586,80.94796752929688,192.30999755859375,0.8014824390411377,-58.25617980957031,0.0004660777631215751,218.98647461371428,9.719049605969855e-09,63.73352935742569,3.227167490699355,0.5077348251937956,3.1869758957846224,0.5899999141693115,0.01460437010973692,0.5753955245018005,6816,-161.58192377418945,30.8564089731076,-1,50.103575972264174,9.5680036176318,90.59087603903644,11.064120913463107,268,145.97573131023748,3.0944112630884915,True,AWE\01770\remap85_from_l7a\slice_002\cluster_002_global_00002\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_002\cluster_002_global_00002,plots_l7a_cluster_debug\01770\slice_002\awe_l7a_tmp_2024075T0538_01770_v23_slice_002_cluster_002_global_00002_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,0,3,ok,saved representative point,1,128,598,24,598,2398,48.132843017578125,-82.2984619140625,3.325744390487671,26.17218589782715,109.99999850756943,336.9367980957031,86.93680572509766,197.67999267578125,0.22673150897026062,-42.777008056640625,0.00037136688479222357,78.06386526988967,6.094008731626969e-08,25.45237611563168,33.58778497884183,1.7948479241115232,33.539794583661745,12.25169563293457,0.03498535975813866,12.216711044311523,92508,-35.360093185821086,6.232070680531842,-1,26.88498605104349,4.738367979821971,86.20644709007624,9.302681494233024,562,43.61708255271282,0.011128322126670438,False,AWE\01770\remap85_from_l7a\slice_003\cluster_000_global_00003\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_000_global_00003,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_000_global_00003_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,1,4,ok,saved representative point,0,126,598,126,598,2398,48.1002082824707,-82.31935119628906,2.8534882068634033,28.540969848632812,109.99999850756943,336.9596862792969,86.95968627929688,193.6699981689453,0.4500616192817688,-42.64366149902344,0.0003708082076627761,71.62181893717127,7.228674108276827e-08,23.369560529712857,21.722202021855548,1.1521154476939168,21.69162720206786,8.61673355102539,0.024239610880613327,8.592494010925293,12212,-29.06205064600838,5.4413155281715015,-1,28.62235537198588,5.358990961631291,86.05454182406226,9.453379058739259,562,47.54959158077022,0.006335948190723112,False,AWE\01770\remap85_from_l7a\slice_003\cluster_001_global_00004\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_001_global_00004,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_001_global_00004_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,2,5,ok,saved representative point,0,124,336,124,336,2136,49.597496032714844,-89.01476287841797,2.6925337314605713,26.17218589782715,120.00000333930423,342.0523376464844,102.05233764648438,192.8800048828125,-0.8268485069274902,-22.9123477935791,0.0005164295434951782,61.51468490027923,1.3647511583803915e-07,17.00799551115062,11.11204130260604,-2.320251604525869,10.867101471989558,8.43513011932373,0.3677680790424347,8.067362785339355,54548,-39.280038256057566,7.410137198372911,-1,25.835119971319806,4.8737677462516364,100.63092750192025,8.11155973362402,493,51.3357132763844,0.13606096987487665,False,AWE\01770\remap85_from_l7a\slice_003\cluster_002_global_00005\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_002_global_00005,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_002_global_00005_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,3,6,ok,saved representative point,0,182,420,182,420,2220,50.11892318725586,-86.29019165039062,2.66373872756958,24.0,109.99999850756943,339.9613037109375,89.9613037109375,190.1699981689453,-6.5250749588012695,-31.088220596313477,0.00045195757411420345,9.691004713432754,4.812381618695505e-06,2.8641769061846,2.347653912819866,-0.0015856140191231871,-2.347653377355058,9.261299133300781,4.224142230668804e-06,9.261295318603516,7424,21.401615851558393,3.8211406265149943,1,21.754113053819356,3.884077060363477,92.16376419539345,6.679208477180047,515,63.102882245155946,3.0179815995343144,True,AWE\01770\remap85_from_l7a\slice_003\cluster_003_global_00006\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_003_global_00006,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_003_global_00006_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,4,7,ok,saved representative point,0,152,206,152,206,2006,50.66810607910156,-92.26979064941406,2.5790629386901855,176.0647735595703,120.00000333930423,344.57537841796875,104.57536315917969,186.35000610351562,-9.42142391204834,-34.2623176574707,0.0005077160312794149,85.47276910201775,6.949688325843505e-08,23.83401477828584,2.314263548938896,-0.5823926145310163,2.23978450224279,1.2324703931808472,0.07805158197879791,1.1544188261032104,174388,-54.6840370113924,9.752419096620327,-1,170.39904516599128,30.389177407960528,106.73928212551762,10.712101555056233,459,4.439722356890095,0.0019052395054001807,False,AWE\01770\remap85_from_l7a\slice_003\cluster_004_global_00007\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_150x150\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_004_global_00007,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_004_global_00007_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,5,8,ok,saved representative point,0,86,598,86,598,2398,47.44706344604492,-82.73270416259766,1.7042020559310913,24.0,90.00000250447816,337.25445556640625,67.25444793701172,196.0800018310547,4.901943683624268,-40.30686950683594,0.0003606714017223567,73.69877415908546,6.640353186707557e-08,24.382839434019132,9.642303466247622,3.728092554649216,8.892431728114644,3.565728187561035,0.5330406427383423,3.0326876640319824,7832,-38.42181085835379,6.451757242623948,-1,24.023742789328583,4.03404610749329,75.3038900993781,6.688784395593842,561,126.37219443719444,0.014807875484429535,False,AWE\01770\remap85_from_l7a\slice_003\cluster_005_global_00008\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_005_global_00008,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_005_global_00008_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,6,9,ok,saved representative point,0,176,402,176,402,2202,50.127105712890625,-86.81490325927734,2.5368363857269287,37.0130615234375,120.00000333930423,340.3602294921875,100.3602294921875,174.6300048828125,-6.140951633453369,-30.160449981689453,0.0004675539385061711,50.46788913264781,1.835698863409918e-07,14.664901451227419,8.103702800906191,-1.457341032684836,7.971584296729725,6.459160804748535,0.2088964283466339,6.2502641677856445,60196,-21.903526106490364,3.9049230310210636,-1,38.19653433322651,6.809612566389761,99.53963061889038,8.655532568418806,510,51.300754294301896,0.021823490701748504,False,AWE\01770\remap85_from_l7a\slice_003\cluster_006_global_00009\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_006_global_00009,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_006_global_00009_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
