slice,cluster_in_slice,global_cluster_index,status,point_source,selection_method,selected_y,selected_x,raw_peak_y,raw_peak_x,selected_global_x,latitude,longitude,amplitude_K,target_wavelength_km,target_dominant_angle_deg,target_bearing_deg,target_true_angle_deg,temperature_K,u_navgem_m_per_s,v_navgem_m_per_s,NN_or_N2_navgem,intrinsic_speed_c_minus_w_m_per_s,m2_1_per_m2,lambda_z_km,New_MF_m2_s2,New_MF_u_m2_s2,New_MF_v_m2_s2,MF_m2_s2,MFz_m2_s2,MFm_m2_s2,finite_pixels,phase_speed_m_per_s,phase_speed_error_m_per_s,phase_direction,phase_avg_wavelength_km,phase_avg_wavelength_error_km,phase_avg_angle_deg,phase_avg_angle_error_deg,phase_closest_frame,phase_closest_distance_km,phase_fit_sse,excluded_from_mf_sums_sse_gt_threshold,phase_summary_csv,phase_output_dir,plot_path,file,orbit_tag,orbit_id,version,error_message
3,0,0,ok,saved representative point,0,194,214,194,214,2014,51.11653137207031,-137.42843627929688,4.702315807342529,24.0,109.99999850756943,342.93548583984375,92.93549346923828,222.3699951171875,-0.1806185394525528,-17.037933349609375,0.0004524253308773041,55.647303284142964,1.461028429920004e-07,16.438059000700143,30.67661914240116,-1.5709943284891683,30.636366279762818,21.10784339904785,0.05535813421010971,21.052486419677734,73960,-38.64097629530504,6.4634679992621304,-1,25.15368758291638,4.207452045547075,86.47805641319843,7.929063766795274,464,86.79280700398448,1.8043326611197568,True,AWE\01772\remap85_from_l7a\slice_003\cluster_000_global_00000\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_003\cluster_000_global_00000,plots_l7a_cluster_debug\01772\slice_003\awe_l7a_tmp_2024075T0844_01772_v23_slice_003_cluster_000_global_00000_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
3,1,1,ok,saved representative point,0,128,314,128,314,2114,49.490814208984375,-135.33013916015625,1.3712881803512573,124.49659729003906,90.00000250447816,341.3175964355469,71.31761169433594,190.99000549316406,4.214975357055664,-11.951977729797363,0.0004687925975304097,72.63865006088238,8.884750085837825e-08,21.079352199404305,0.8437215024451852,0.2702625851599374,0.7992647300807337,0.46909695863723755,0.04813218116760254,0.420964777469635,59812,-62.666586893865066,11.623339370564828,-1,119.11664836785873,22.09364347556963,71.22756474308638,10.014981880574961,490,43.44186717466099,0.005209591304195713,False,AWE\01772\remap85_from_l7a\slice_003\cluster_001_global_00001\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_150x150\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_003\cluster_001_global_00001,plots_l7a_cluster_debug\01772\slice_003\awe_l7a_tmp_2024075T0844_01772_v23_slice_003_cluster_001_global_00001_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
5,0,2,ok,saved representative point,1,75,294,64,296,3294,38.82078552246094,-109.95437622070312,1.7905447483062744,26.17218589782715,139.99999934239548,323.05181884765625,103.05180358886719,187.94000244140625,-5.196169853210449,-43.670780181884766,0.0004640516999643296,80.26817882197471,7.202438338949114e-08,23.41208509190195,7.928837781947199,-1.790586725856748,7.724005939253218,3.9289438724517822,0.2003764510154724,3.728567361831665,16020,-38.89904229113626,6.548336954669156,-1,26.406892709639937,4.445385315512548,102.54660962186523,10.075144337683868,798,148.0223448309245,0.020988601477959893,False,AWE\01772\remap85_from_l7a\slice_005\cluster_000_global_00002\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_005\cluster_000_global_00002,plots_l7a_cluster_debug\01772\slice_005\awe_l7a_tmp_2024075T0844_01772_v23_slice_005_cluster_000_global_00002_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
5,1,3,ok,saved representative point,1,75,250,50,238,3250,39.30146789550781,-110.74711608886719,0.8739187121391296,24.0,139.99999934239548,323.5682067871094,103.56822204589844,190.49000549316406,-2.536705493927002,-44.65563201904297,0.0004278422275092453,78.73052775909339,6.90235546533652e-08,23.915595962113706,2.2214058368447627,-0.5211478699024525,2.1594093612986205,0.9935056567192078,0.05468110367655754,0.9388245940208435,2276,-35.91629292887121,4.593970965561389,-1,26.667847499686882,3.411023441929332,106.03488923663582,10.411224376293339,786,148.03674758097455,0.06435325244442366,False,AWE\01772\remap85_from_l7a\slice_005\cluster_001_global_00003\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_005\cluster_001_global_00003,plots_l7a_cluster_debug\01772\slice_005\awe_l7a_tmp_2024075T0844_01772_v23_slice_005_cluster_001_global_00003_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
5,2,4,ok,saved representative point,0,212,290,212,290,3290,40.792266845703125,-108.10035705566406,1.2772172689437866,24.0,149.99999734394112,321.8735656738281,111.87356567382812,177.99000549316406,2.8240151405334473,-42.66668701171875,0.00042462654528208077,81.301036144958,6.424139740354979e-08,24.789763224992054,5.675919516617132,-2.11461846223915,5.26730017354931,2.430586099624634,0.33736708760261536,2.093219041824341,4312,-40.653884299344945,6.578553829335645,-1,24.68846750038175,3.9950527536106057,109.14144984152875,9.20904639640789,797,122.35253176105513,0.016719317804557456,False,AWE\01772\remap85_from_l7a\slice_005\cluster_002_global_00004\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_005\cluster_002_global_00004,plots_l7a_cluster_debug\01772\slice_005\awe_l7a_tmp_2024075T0844_01772_v23_slice_005_cluster_002_global_00004_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,0,5,ok,saved representative point,1,75,222,50,204,3822,32.70798873901367,-101.18736267089844,3.446895122528076,31.124149322509766,90.00000250447816,317.6875915527344,47.687599182128906,207.67999267578125,15.237364768981934,-47.255943298339844,0.000541765068192035,-77.81730180602814,8.946613229101416e-08,21.006347083853317,15.550801146834743,-10.468373955761194,-11.499589689668822,10.026589393615723,4.5436625480651855,5.482926845550537,37652,102.50500260048288,20.59421645445027,1,30.44398577234342,6.116482286971731,42.92873052741191,10.534998839656943,935,148.01168322537663,11.752690797021017,True,AWE\01772\remap85_from_l7a\slice_006\cluster_000_global_00005\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_000_global_00005,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_000_global_00005_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,1,6,ok,saved representative point,1,75,218,56,220,3818,32.76896667480469,-101.23567962646484,3.68558669090271,67.88224792480469,120.00000333930423,317.7142028808594,77.7142105102539,195.32000732421875,15.412162780761719,-46.79209899902344,0.0005352903972379863,-44.37848434807529,2.7179691373093915e-07,12.05195795389205,5.3515013463725785,-1.138735942007389,-5.2289432120274615,5.942203044891357,0.2690555453300476,5.673147678375244,42352,86.81944250814189,14.793803979437262,1,63.71675533570507,10.85716702861558,77.03389424877895,11.592263748838802,935,146.21412975188105,1.442420260585524,True,AWE\01772\remap85_from_l7a\slice_006\cluster_001_global_00006\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_150x150\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_001_global_00006,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_001_global_00006_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,2,7,ok,saved representative point,1,75,224,66,224,3824,32.6840934753418,-101.15618133544922,3.142380475997925,31.124149322509766,100.0000005060238,317.6721496582031,57.67216491699219,201.41000366210938,15.112947463989258,-47.42618179321289,0.0005445336573757231,-71.33449139580169,1.0701030211993914e-07,19.207333327254133,12.5009844952706,-6.685065769198119,-10.563356900743793,8.860166549682617,2.533754348754883,6.326412200927734,4124,103.3278625666379,20.23980196166304,1,30.68837518229146,6.011221182613925,50.83095096005265,10.436399634900122,936,148.0465980975888,5.261345354346453,True,AWE\01772\remap85_from_l7a\slice_006\cluster_002_global_00007\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_002_global_00007,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_002_global_00007_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,3,8,ok,saved representative point,0,218,264,218,264,3864,34.04220199584961,-98.4776382446289,3.3911502361297607,28.540969848632812,130.00000134084985,316.19061279296875,86.19060516357422,185.1999969482422,14.112802505493164,-33.17265701293945,0.0004481716314330697,63.06400647771215,1.1268892775927423e-07,18.71712949632668,22.232185996228598,1.477047602936898,22.183066166550585,13.308444023132324,0.05874262750148773,13.249701499938965,19276,-30.902258440512448,5.89091771720445,-1,27.83839471266639,5.306851372920484,85.85607342540253,10.554298106288117,945,132.41290202645996,0.06480070264869092,False,AWE\01772\remap85_from_l7a\slice_006\cluster_003_global_00008\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_003_global_00008,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_003_global_00008_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,4,9,ok,saved representative point,1,75,224,22,150,3824,32.6840934753418,-101.15618133544922,2.403069496154785,40.36302947998047,90.00000250447816,317.6721496582031,47.67216491699219,201.41000366210938,15.112947463989258,-47.42618179321289,0.0005445336573757231,-105.87894680145195,4.857418283533574e-08,28.508680496091458,8.367257238722749,-5.634276085984025,-6.1859459006579405,3.9954962730407715,1.8116759061813354,2.1838204860687256,11220,130.76467344062496,24.829349371600916,1,38.83710801186562,7.374316763365473,42.97862895520057,10.744351020034209,936,148.0465980975888,7.748808736316839,True,AWE\01772\remap85_from_l7a\slice_006\cluster_004_global_00009\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_004_global_00009,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_004_global_00009_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
