Cluster power ranking (clustered only)

name = base
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    1   4.034634e+04    37.08%
   2    0   3.460866e+04    31.80%
   3    2   7.112769e+03     6.54%
   4   13   4.486342e+03     4.12%
   5   10   3.607523e+03     3.32%
   6    6   2.749673e+03     2.53%
   7   17   2.546981e+03     2.34%
   8   18   1.434064e+03     1.32%
   9   39   1.245904e+03     1.14%
  10   12   9.581422e+02     0.88%
  11   16   7.032015e+02     0.65%
  12    3   6.029739e+02     0.55%
  13    4   5.260914e+02     0.48%
  14   60   5.097639e+02     0.47%
  15    5   4.106356e+02     0.38%
  16   35   3.714623e+02     0.34%
  17    8   3.477018e+02     0.32%
  18   38   3.329256e+02     0.31%
  19   61   3.185556e+02     0.29%
  20   34   3.091599e+02     0.28%
  21   22   3.076104e+02     0.28%
  22   37   2.923229e+02     0.27%
  23   19   2.746839e+02     0.25%
  24   14   2.111603e+02     0.19%
  25   63   2.008734e+02     0.18%
  26   23   1.964120e+02     0.18%
  27   15   1.955217e+02     0.18%
  28   26   1.902419e+02     0.17%
  29   48   1.869741e+02     0.17%
  30   25   1.791527e+02     0.16%
  31   53   1.490320e+02     0.14%
  32   32   1.433646e+02     0.13%
  33    7   1.421160e+02     0.13%
  34   47   1.399734e+02     0.13%
  35   28   1.369593e+02     0.13%
  36   64   1.333460e+02     0.12%
  37   68   1.310329e+02     0.12%
  38   29   1.269996e+02     0.12%
  39    9   1.234509e+02     0.11%
  40   81   1.111346e+02     0.10%
  41   51   1.087612e+02     0.10%
  42   46   1.083856e+02     0.10%
  43   73   1.044488e+02     0.10%
  44   33   1.009307e+02     0.09%
  45   67   9.228260e+01     0.08%
  46   41   8.194033e+01     0.08%
  47   45   8.146971e+01     0.07%
  48   20   7.995765e+01     0.07%
  49   36   7.343417e+01     0.07%
  50   52   6.603980e+01     0.06%
  51   31   6.264707e+01     0.06%
  52   11   5.568643e+01     0.05%
  53   77   5.414017e+01     0.05%
  54   30   5.367487e+01     0.05%
  55   70   4.630321e+01     0.04%
  56   59   4.511858e+01     0.04%
  57   24   4.241690e+01     0.04%
  58   21   3.867046e+01     0.04%
  59   56   2.833792e+01     0.03%
  60   50   2.806040e+01     0.03%
  61   49   2.717543e+01     0.02%
  62   78   2.634760e+01     0.02%
  63   44   2.493074e+01     0.02%
  64   42   2.423985e+01     0.02%
  65   62   2.374204e+01     0.02%
  66   40   2.345339e+01     0.02%
  67   58   2.328347e+01     0.02%
  68   69   1.998899e+01     0.02%
  69   66   1.939059e+01     0.02%
  70   57   1.915012e+01     0.02%
  71   72   1.901561e+01     0.02%
  72   55   1.739941e+01     0.02%
  73   54   1.621532e+01     0.01%
  74   43   1.426958e+01     0.01%
  75   74   1.403706e+01     0.01%
  76   80   1.227540e+01     0.01%
  77   27   1.033124e+01     0.01%
  78   71   8.605526e+00     0.01%
  79   75   7.885102e+00     0.01%
  80   79   6.688581e+00     0.01%
  81   76   5.581832e+00     0.01%
  82   65   5.094156e+00     0.00%
