Cluster power ranking (clustered only)

name = base
MIN_AMP = 1.25
THR = 0.6
WHITE_NOISE_THRESHOLD = 0.1
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    1   4.224271e+04    32.09%
   2    2   2.180935e+04    16.57%
   3   19   9.537011e+03     7.24%
   4    5   9.407201e+03     7.15%
   5    0   8.745453e+03     6.64%
   6    6   7.326585e+03     5.57%
   7    4   6.036018e+03     4.58%
   8   16   5.053888e+03     3.84%
   9   18   3.807135e+03     2.89%
  10    8   2.987152e+03     2.27%
  11   15   2.378095e+03     1.81%
  12    3   2.277659e+03     1.73%
  13   10   1.952939e+03     1.48%
  14   20   1.810063e+03     1.37%
  15    9   1.600267e+03     1.22%
  16   14   1.425370e+03     1.08%
  17    7   7.988301e+02     0.61%
  18   12   7.183507e+02     0.55%
  19   11   6.890381e+02     0.52%
  20   13   6.568387e+02     0.50%
  21   17   3.223499e+02     0.24%
  22   21   7.102057e+01     0.05%
