image_index,wavelength_km,wavelength_error_km,angle_deg,angle_error_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,12.548624154436613,2.087096844199956,167.77804208581716,5.492420130429102,-0.28374388539654005,0.3304290016753111,0.8462487628109325,1.0,0.8136026604432502,0.28022224211255775,-0.2518878315739761
1,12.606423763173975,2.0612566975530235,168.00521553551235,5.447107951051644,-0.8532396893485339,-0.42116236644529703,0.2391593772046583,0.7652830360563101,0.9909933948204976,0.8084117641405153,0.27057754207494344
2,12.756728713493812,1.9949215699973377,167.96217213436654,5.553067811688989,-0.9146889894896153,-0.7820572523673368,-0.4098363076342073,0.08861244737768126,0.5587717435977488,0.8660135453358415,0.8310921743839903
3,12.343966451827953,2.2487554848252707,167.89660333336093,5.524194210292442,-0.71859602703393,-0.9142604133597139,-0.7982245405592437,-0.38522776855271323,0.18667584127612669,0.7332280965077678,0.9662038251147269
4,12.622652535394172,2.29955434404448,168.1344520473344,5.519587932635212,-0.21769797752649733,-0.7330393282892151,-0.9096698650577568,-0.7729466965752366,-0.3737150677440809,0.16586147588336386,0.6095841840376035
5,12.891547537986145,2.03978013584379,167.9164791172222,5.495025979916431,0.15248119588252051,-0.3978228347988385,-0.8653590677154361,-0.9762870380974601,-0.8090378556135001,-0.40208277398485004,0.08992730260100013
6,12.61112187653899,2.0516900865497862,167.9344914257085,5.527214445900156,0.8610600827992458,0.5461596091748326,0.06855671873846081,-0.53217186193546,-0.8488290333602997,-0.888676647165693,-0.6126891595073746
7,12.244825533374863,2.294515097982566,167.68207584333442,5.485713096141416,0.7570051124214392,0.9164989849149985,0.7829405460013303,0.3550731768620641,-0.28804431119964724,-0.7897217572681063,-0.9008331972617203
8,12.897890359828262,1.9919348011724578,167.5632473894464,5.568878894026774,0.7524568757152059,0.9329262156632847,0.8256472714817633,0.44529776502930196,-0.08282967164126642,-0.6739626344592162,-0.8766935930201931
9,12.467876827032939,2.1442410515813153,167.88080328632347,5.598010864021266,-0.3476752546158626,0.3135236889916271,0.7409755089298167,0.8263460538437828,0.6468200122047156,0.2007671319346993,-0.2723451641027582
