Date,Year,BLO Temp,BLO STD,AWE Temp,AWE STD
Nov21-22,2023,209.53,0.04,207.7,0.32
Nov28-29,2023,199.98,0.97,199.8534343,1.274633847
Nov29-30,2023,198.7585551,0.338579903,199.4173413,0.31172937
Dec31-01,2023,222.084755,0.675904135,229.5276816,0.939273515
Jan08-09,2024,188.1411246,1.214424056,190.1546465,1.440334847
Feb29-01,2024,208.262237,1.670190698,203.8481522,0.68686674
Mar09-10,2024,199.5923095,0.545942583,200.2349026,0.611018542
Mar15-16,2024,187.3833217,0.237895021,182.149434,0.647535944
May01-02,2024,182.9630052,0.432957866,179.9457692,0.492451841
May08-09,2024,192.5751294,0.482536556,187.4286905,0.904297965
May13-14,2024,177.7320851,0.909396116,178.5677778,0.966494246
Jul13-14,2024,183.9019358,0.829044331,176.7951535,1.056602371
Jul16-17,2024,198.1060787,0.602237377,199.148006,2.232267331
Jul17-18,2024,196.9075634,0.705461617,192.6923986,1.265251913
Sep03-04,2024,205.3968707,0.386565345,204.4143581,0.622712397
Sep07-08,2024,202.6623245,0.880788606,198.1100667,0.916189595
Sep08-09,2024,196.0270584,0.564980324,192.3191234,1.491283102
Sep09-10,2024,194.2006809,0.689496003,188.989434,0.754201157
Sep12-13,2024,189.9383572,1.041434749,185.3697697,0.45635607
Sep13-14,2024,200.569425,0.55488631,194.8136265,0.451253643
Sep20-21,2024,199.0088193,0.676386155,195.8336364,1.040284749
Sep21-22,2024,199.0088193,0.613174509,187.3135544,0.554020703
Sep24-25,2024,195.937989,0.82180607,189.5672727,0.663147282
Oct26-27,2024,208.8688292,0.516015529,203.6672917,0.927852598
Nov03-04,2024,209.4882489,1.788252655,205.3989254,0.749039409
Nov06-07,2024,209.0304753,0.967590756,205.2337698,0.511139768
Nov08-09,2024,215.9988362,0.827079852,212.3202303,0.645030255
Nov09-10,2024,214.2979707,0.724844558,213.9462593,1.011988953
Nov11-12,2024,214.8225031,1.537082221,208.1752657,0.940228824
Nov12-13,2024,203.9848635,0.277844458,200.4119156,0.536507023
Jan02-03,2025,201.0975376,1.069156941,197.599359,0.786090569
Jan19-20,2025,209.4965433,0.424380864,205.1021622,1.173863711
Jan22-23,2025,204.6164378,0.246347935,200.1631923,0.815309866
Jan23-24,2025,217.6522558,1.151439147,211.9256818,0.862252441
Feb27-28,2025,196.9756579,1.382220835,187.8670985,1.147152572
Apr30-May01,2025,178.2836438,0.375286624,173.682135,0.485888158
May01-02,2025,187.522583,0.523890132,183.7837145,0.64702685
May04-05,2025,187.6022521,0.70098845,190.0856479,0.435631412
May10-11,2025,194.6139083,1.843282896,193.0544569,1.430772093
May18-19,2025,172.2740131,1.72052443,177.6349757,0.910134287
Jun30-Jul01,2025,171.9430234,0.761972255,168.3472194,0.765331917
Jul01-02,2025,189.5452665,1.131774967,188.1250123,0.715811549
Jul05-06,2025,180.8295496,0.373287167,180.6313865,1.476880123
Aug30-31,2025,201.838499,0.701735997,196.9233498,0.852113296
Sep02-03,2025,220.0307403,0.834080576,214.2917647,2.847039652
Sep03-04,2025,200.0148113,0.424018157,193.8561402,0.203670403
Sep05-06,2025,190.5937447,0.960006869,182.5444088,1.260555008
Sep06-07,2025,199.3361664,0.438457643,196.8039785,0.79477448
Sep07-08,2025,198.7173203,1.20031196,196.4684429,2.252001868
Sep12-13,2025,195.761382,1.309946953,190.9162259,0.37802468
Sep15-16,2025,202.6793125,1.450101367,201.0368141,1.579567512
Sep16-17,2025,195.8991953,1.732352363,185.3947296,0.63722091
Sep20-21,2025,203.4263265,0.509387245,198.0881859,1.227745672
