UT Year	B	AWE_Mean	AWE_STD	AWE_VAR	lidar_sg3	F	lidar_sg4	H	Lidar_Mean	UT Time	V_Tshear	U_Tshear	DelT	N
24.153400	24056	206.10	1.3638	1.8600	205.32	1.8300	203.17	1.6100	204.24	9.4497	1.3487	1.0371	-1.8550	
24.216400	24079	195.40	2.4683	6.0926	210.76	3.9903	215.74	5.5657	213.25		7.4200		17.853	
24.219000	24080	191.29	1.2185	1.4848	200.57	0.66980	195.77	0.28080	198.17		7.0600		6.8815	
24.221901	24081	198.35	1.8411	3.3897	206.62	3.0000	206.62	3.0000	206.62	6.0323	0.15982	0.15982	8.2660	
24.358900	24131	186.97	1.0598	1.1232	193.12	2.9200	198.58	1.7500	195.85	4.5823	-1.9858	-1.4893	8.8790	
24.706800	24258	198.80	2.8898	8.3507	201.73	0.078470	201.16	0.088590	201.44		1.4200		2.6485	
24.737000	24269	209.26	3.6381	13.236	227.53	0.88050	226.90	0.64010	227.21	4.4356	2.2466	-0.13000	17.959	
24.854799	24312	206.37	1.2119	1.4686	207.46	1.5350	208.03	0.99000	207.75	10.151	-1.0769	-0.63830	1.3825	
25.063000	25023	200.47	2.8860	8.3291	194.90	1.2200	199.03	1.1000	196.96	4.9939	-4.0770	-3.6880	-3.5085	
25.161600	25059	190.21	1.9904	3.9617	184.23	3.8100	182.48	1.8800	183.35	8.4810	1.8462	2.8724	-6.8535	
25.184000	25067	194.99	2.0548	4.2224	189.75	1.6350	205.66	1.3450	197.71	5.5016	-2.0770	-2.7660	2.7175	
25.334000	25122	180.69	1.6228	2.6335	188.37	1.6300	184.96	1.2650	186.67	6.9487	0.69225	-0.14188	5.9730	
25.351000	25128	172.67	2.2854	5.2232	188.82	1.5300	188.41	1.1000	188.62	5.5249	2.2308	1.8441	15.944	
25.665800	25243	196.88	2.7293	7.4490	199.76	1.8000	204.37	1.6850	202.07	7.2743	0.69200	-0.85100	5.1850	
25.668501	25244	195.87	2.0996	4.4085	196.70	1.8300	183.20	1.4500	189.95	6.5041	0.23076	-1.7731	-5.9170	
25.671230	25245	194.60	1.3438	1.8057	199.36	1.8200	193.75	1.2400	196.55	7.2826	0.53850	-0.42563	1.9600	
25.674000	25246	211.25	3.3732	11.378	219.73	1.5600	218.39	1.3200	219.06	6.5173	2.1538	1.6300	7.8140	
25.682850	25249	189.12	0.92938	0.86374	187.15	5.3000	187.72	3.2100	187.43	5.8088	0.076878	-3.4043	-1.6800	
25.683390	25249	184.52	3.6970	13.668	186.18	3.1900	184.48	4.3200	185.33	10.453	1.0000	0.071000	0.80998	
25.712000	25260	188.32	3.4044	11.590	202.41	1.7100	206.30	2.9000	204.36	6.7367	3.3845	2.6241	16.038	
25.715000	25261	203.84	1.8490	3.4188	209.39	1.6400	213.10	1.3400	211.24	5.9596	-0.23075	1.3475	7.4090	
25.729000	25266	208.68	1.8350	3.3674	211.07	1.5600	213.81	0.94000	212.44	5.1471	0.23075	-1.1703	3.7650	
25.731501	25267	192.94	2.8232	7.9703	201.38	2.3500	202.14	1.5000	201.76	4.3627	-0.076878	-0.92203	8.8200	
