UT,Year,AWE_Mean,AWE_STD,AWE_VAR,lidar_sg3,lidar_sg4,Lidar_Mean,UT.1,Time,V_Tshear,U_Tshear,DelT,
24.1534,24056,206.1,1.3638,1.86,205.32,1.83,203.17,1.61,204.24,9.4497,1.3487,1.0371,-1.855
24.2164,24079,195.4,2.4683,6.0926,210.76,3.9903,215.74,5.5657,213.25,7.42,17.853,,
24.219,24080,191.29,1.2185,1.4848,200.57,0.6698,195.77,0.2808,198.17,7.06,6.8815,,
24.221901,24081,198.35,1.8411,3.3897,206.62,3,206.62,3,206.62,6.0323,0.15982,0.15982,8.266
24.3589,24131,186.97,1.0598,1.1232,193.12,2.92,198.58,1.75,195.85,4.5823,-1.9858,-1.4893,8.879
24.7068,24258,198.8,2.8898,8.3507,201.73,0.07847,201.16,0.08859,201.44,1.42,2.6485,,
24.737,24269,209.26,3.6381,13.236,227.53,0.8805,226.9,0.6401,227.21,4.4356,2.2466,-0.13,17.959
24.854799,24312,206.37,1.2119,1.4686,207.46,1.535,208.03,0.99,207.75,10.151,-1.0769,-0.6383,1.3825
25.063,25023,200.47,2.886,8.3291,194.9,1.22,199.03,1.1,196.96,4.9939,-4.077,-3.688,-3.5085
25.1616,25059,190.21,1.9904,3.9617,184.23,3.81,182.48,1.88,183.35,8.481,1.8462,2.8724,-6.8535
25.184,25067,194.99,2.0548,4.2224,189.75,1.635,205.66,1.345,197.71,5.5016,-2.077,-2.766,2.7175
25.334,25122,180.69,1.6228,2.6335,188.37,1.63,184.96,1.265,186.67,6.9487,0.69225,-0.14188,5.973
25.351,25128,172.67,2.2854,5.2232,188.82,1.53,188.41,1.1,188.62,5.5249,2.2308,1.8441,15.944
25.6658,25243,196.88,2.7293,7.449,199.76,1.8,204.37,1.685,202.07,7.2743,0.692,-0.851,5.185
25.668501,25244,195.87,2.0996,4.4085,196.7,1.83,183.2,1.45,189.95,6.5041,0.23076,-1.7731,-5.917
25.67123,25245,194.6,1.3438,1.8057,199.36,1.82,193.75,1.24,196.55,7.2826,0.5385,-0.42563,1.96
25.674,25246,211.25,3.3732,11.378,219.73,1.56,218.39,1.32,219.06,6.5173,2.1538,1.63,7.814
25.68285,25249,189.12,0.92938,0.86374,187.15,5.3,187.72,3.21,187.43,5.8088,0.076878,-3.4043,-1.68
25.68339,25249,184.52,3.697,13.668,186.18,3.19,184.48,4.32,185.33,10.453,1,0.071,0.80998
25.712,25260,188.32,3.4044,11.59,202.41,1.71,206.3,2.9,204.36,6.7367,3.3845,2.6241,16.038
25.715,25261,203.84,1.849,3.4188,209.39,1.64,213.1,1.34,211.24,5.9596,-0.23075,1.3475,7.409
25.729,25266,208.68,1.835,3.3674,211.07,1.56,213.81,0.94,212.44,5.1471,0.23075,-1.1703,3.765
25.731501,25267,192.94,2.8232,7.9703,201.38,2.35,202.14,1.5,201.76,4.3627,-0.076878,-0.92203,8.82
