saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time_pm12,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_time_nearest,awe_local_time_nearest_pm12,awe_file_nearest,awe_x_nearest,awe_temp_nearest,awe_MLCloud_nearest,distance_km_nearest,awe_temp_avg,awe_temp_std,awe_count_used,awe_temp_avg_unfiltered,awe_temp_std_unfiltered,awe_count_unfiltered,peak_altitude_km,saber_profile_mean_local_time_h,m2_center_km,m2_fwhm_km,m2_T_K,m2_T_std_K,m2_z_eff_km,m3_center_km,m3_fwhm_width_km,m3_T_K,m3_T_std_K,m3_z_eff_km,m3_z_left_km,m3_z_right_km,m4_T_K,m4_T_std_K,m4_z_eff_km,delta_temp_simple_unfiltered_K,delta_temp_m2_unfiltered_K,delta_temp_m3_unfiltered_K,delta_temp_m4_unfiltered_K
18.70101929,-58.15084839,87.38316345,223.0278015,2024-01-03T01:49:39.347000,-2.049,SABER_L2A_2024003_119722_02.08.nc,43,189,16.89041328,-54.39374924,2024-01-03T01:39:40.325765,-1.965,awe_l3a_tmp_2024003T0132_00652_v01.nc,327,216.1999969,2,451.8915313,208.0018021,3.254643424,1093,208.0018021,3.254643424,1093,87.75,21.97,87,9.3,211.36,15.21,87.02,87.75,5.14,219.56,11.3,87.75,85.18,90.32,210.67,19.98,88.89,15.02599937,3.358197857,11.55819786,2.668197857
18.70003128,-58.14227295,87.0161438,219.2312927,2024-01-03T01:49:39.390000,-2.049,SABER_L2A_2024003_119722_02.08.nc,43,190,16.89041328,-54.39374924,2024-01-03T01:39:40.325765,-1.965,awe_l3a_tmp_2024003T0132_00652_v01.nc,327,216.1999969,2,451.0213291,208.0012978,3.253198326,1094,208.0012978,3.253198326,1094,87.75,21.97,87,9.3,211.36,15.21,87.02,87.75,5.14,219.56,11.3,87.75,85.18,90.32,210.67,19.98,88.89,11.22999497,3.35870225,11.55870225,2.66870225
18.69896317,-58.13366699,86.64900208,214.9546204,2024-01-03T01:49:39.436000,-2.048,SABER_L2A_2024003_119722_02.08.nc,43,191,16.89041328,-54.39374924,2024-01-03T01:39:40.325765,-1.965,awe_l3a_tmp_2024003T0132_00652_v01.nc,327,216.1999969,2,450.1444171,207.9953137,3.263409113,1099,207.9953137,3.263409113,1099,87.75,21.97,87,9.3,211.36,15.21,87.02,87.75,5.14,219.56,11.3,87.75,85.18,90.32,210.67,19.98,88.89,6.95930667,3.364686309,11.56468631,2.674686309
48.41154861,95.40921783,87.36734009,219.3212433,2024-01-14T13:07:39.763000,-4.512,SABER_L2A_2024014_119893_02.08.nc,33,191,45.8651886,99.6869278,2024-01-14T13:16:45.077654,-4.075,awe_l3a_tmp_2024014T1315_00830_v01.nc,49,218.5599976,17,435.702136,219.1854605,1.573203167,467,219.1854605,1.573203167,467,84.21,19.5,87,9.3,221.53,13.15,87.02,84.21,8.53,228.39,10.72,84.28,79.95,88.48,226.32,14.72,85.29,0.135782834,2.344539548,9.204539548,7.134539548
48.40882874,95.42106628,86.99752808,219.533371,2024-01-14T13:07:39.809000,-4.511,SABER_L2A_2024014_119893_02.08.nc,33,192,45.8651886,99.6869278,2024-01-14T13:16:45.077654,-4.075,awe_l3a_tmp_2024014T1315_00830_v01.nc,49,218.5599976,17,434.8238545,219.1869084,1.573495705,469,219.1869084,1.573495705,469,84.21,19.5,87,9.3,221.53,13.15,87.02,84.21,8.53,228.39,10.72,84.28,79.95,88.48,226.32,14.72,85.29,0.346462583,2.343091612,9.203091612,7.133091612
48.40623856,95.43292236,86.62763214,219.8050842,2024-01-14T13:07:39.852000,-4.51,SABER_L2A_2024014_119893_02.08.nc,33,193,45.8651886,99.6869278,2024-01-14T13:16:45.077654,-4.075,awe_l3a_tmp_2024014T1315_00830_v01.nc,49,218.5599976,17,433.954738,219.2138994,1.578169317,477,219.2138994,1.578169317,477,84.21,19.5,87,9.3,221.53,13.15,87.02,84.21,8.53,228.39,10.72,84.28,79.95,88.48,226.32,14.72,85.29,0.591184796,2.316100568,9.176100568,7.106100568
45.9318428,95.18583679,87.22264099,213.199173,2024-01-14T13:08:22.869000,-4.515,SABER_L2A_2024014_119893_02.08.nc,34,192,45.8651886,99.6869278,2024-01-14T13:16:45.077654,-4.075,awe_l3a_tmp_2024014T1315_00830_v01.nc,49,218.5599976,17,353.1020563,218.4287499,1.668328104,552,218.4287499,1.668328104,552,84.82,19.49,87,9.3,221.48,9.4,87.02,84.82,7.75,224.66,7.83,84.84,80.94,88.69,223.18,11.47,85.55,-5.229576968,3.051250059,6.231250059,4.751250059
45.93562698,95.19762421,86.85446167,212.4332581,2024-01-14T13:08:22.805000,-4.514,SABER_L2A_2024014_119893_02.08.nc,34,193,45.8651886,99.6869278,2024-01-14T13:16:45.077654,-4.075,awe_l3a_tmp_2024014T1315_00830_v01.nc,49,218.5599976,17,352.1753687,218.4376396,1.670504513,555,218.4376396,1.670504513,555,84.82,19.49,87,9.3,221.48,9.4,87.02,84.82,7.75,224.66,7.83,84.84,80.94,88.69,223.18,11.47,85.55,-6.004381527,3.042360416,6.222360416,4.742360416
47.79362106,70.9803772,87.41384888,211.2112122,2024-01-14T14:44:29.306000,-4.527,SABER_L2A_2024014_119894_02.08.nc,34,192,45.99244308,76.34156036,2024-01-14T14:49:38.858445,-4.083,awe_l3a_tmp_2024014T1448_00831_v01.nc,47,221.2599945,25,460.0076539,218.764656,1.680687285,262,218.764656,1.680687285,262,86.12,19.48,87,9.3,215.32,7.93,87.02,86.12,6.27,213.86,6.73,86.13,82.98,89.25,212.95,7.62,85.91,-7.55344385,-3.444656009,-4.904656009,-5.814656009
47.7962532,70.99255371,87.04548645,212.582962,2024-01-14T14:44:29.261000,-4.526,SABER_L2A_2024014_119894_02.08.nc,34,193,45.99244308,76.34156036,2024-01-14T14:49:38.858445,-4.083,awe_l3a_tmp_2024014T1448_00831_v01.nc,47,221.2599945,25,459.2888622,218.7658328,1.675439854,264,218.7658328,1.675439854,264,86.12,19.48,87,9.3,215.32,7.93,87.02,86.12,6.27,213.86,6.73,86.13,82.98,89.25,212.95,7.62,85.91,-6.182870807,-3.445832843,-4.905832843,-5.815832843
