year,doy,count,mean,median,std
2024,11,2,85.71,85.71,0.0
2024,13,6,87.59999999999998,87.6,0.3943602414037217
2024,59,10,86.179,86.18,0.2430569206310853
2024,61,14,86.77214285714285,86.72,0.25204329821644733
2024,64,14,87.31499999999998,87.35,0.7132779154126241
2024,66,21,88.97761904761904,89.01,0.39325443114991354
2024,69,7,87.27142857142857,87.34,0.3342368706685217
2024,71,9,86.90666666666667,86.85,0.10828203913854363
2024,76,2,88.33,88.33,0.0
2024,81,4,85.86,85.86,0.01154700538379637
2024,186,5,87.522,87.13,0.5367681063550677
2024,307,26,86.80692307692308,86.95,0.6276035005050206
2024,310,12,84.3775,84.305,0.29089595140781405
2024,312,20,85.259,85.33,0.6972268376632405
2024,317,3,84.26,84.26,0.0
2024,324,5,83.788,83.76,0.03834057902535887
2025,10,2,86.82,86.82,0.0
2025,63,9,86.85111111111112,86.73,0.4500956688428685
2025,65,23,86.98217391304347,87.16,0.4105313244801786
2025,70,17,87.76411764705882,87.8,0.9213173911818396
2025,72,9,87.66666666666667,87.27,0.7819366982051731
2025,77,2,87.77,87.77,0.0
2025,183,14,87.61714285714285,87.32,0.5348533741766324
