saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time_pm12,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_time_nearest,awe_local_time_nearest_pm12,awe_file_nearest,awe_x_nearest,awe_temp_nearest,awe_MLCloud_nearest,distance_km_nearest,awe_temp_avg,awe_temp_std,awe_count_used,awe_temp_avg_unfiltered,awe_temp_std_unfiltered,awe_count_unfiltered,peak_altitude_km,saber_profile_mean_local_time_h,m2_center_km,m2_fwhm_km,m2_T_K,m2_T_std_K,m2_z_eff_km,m3_center_km,m3_fwhm_width_km,m3_T_K,m3_T_std_K,m3_z_eff_km,m3_z_left_km,m3_z_right_km,m4_T_K,m4_T_std_K,m4_z_eff_km,delta_temp_simple_unfiltered_K,delta_temp_m2_unfiltered_K,delta_temp_m3_unfiltered_K,delta_temp_m4_unfiltered_K,doy,year,distance_from_target_km
42.02971268,-113.4434357,87.25039673,203.8161316,2024-01-13 03:19:56.869,-4.23,SABER_L2A_2024013_119872_02.08.nc,36,191,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,282.4544551,198.879901,2.477471367,1008,198.879901,2.477471367,1008,87.24,19.78,87,9.3,198.57,9.4,87.02,87.24,8.09,198.69,8.54,87.25,83.2,91.29,198.46,11.71,87.01,4.936230584,-0.309901008,-0.189901008,-0.419901008,13,2024,167.503960361636
42.03263855,-113.4325562,86.88237,204.4185333,2024-01-13 03:19:56.823,-4.23,SABER_L2A_2024013_119872_02.08.nc,36,192,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,281.6940895,198.8817376,2.475132237,1013,198.8817376,2.475132237,1013,87.24,19.78,87,9.3,198.57,9.4,87.02,87.24,8.09,198.69,8.54,87.25,83.2,91.29,198.46,11.71,87.01,5.536795704,-0.311737621,-0.191737621,-0.421737621,13,2024,166.62386046599215
42.03561401,-113.4216919,86.51423645,204.9973602,2024-01-13 03:19:56.777,-4.229,SABER_L2A_2024013_119872_02.08.nc,36,193,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,280.9381135,198.8869165,2.480647936,1015,198.8869165,2.480647936,1015,87.24,19.78,87,9.3,198.57,9.4,87.02,87.24,8.09,198.69,8.54,87.25,83.2,91.29,198.46,11.71,87.01,6.110443762,-0.316916468,-0.196916468,-0.426916468,13,2024,165.74625111153864
38.05317307,-113.5239563,87.42358398,191.3672791,2024-01-13 03:21:06.070,-4.217,SABER_L2A_2024013_119872_02.08.nc,37,191,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,452.6159346,196.2075862,1.859340196,261,196.2075862,1.859340196,261,87.96,19.8,87,9.3,196.48,9.57,87.02,87.96,9.95,194.57,9.95,87.97,82.99,92.94,194.82,11.62,87.87,-4.840307185,0.272413763,-1.637586237,-1.387586237,13,2024,467.19447899072986
38.05091095,-113.5137939,87.05455017,192.4727631,2024-01-13 03:21:06.118,-4.216,SABER_L2A_2024013_119872_02.08.nc,37,192,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,452.2709774,196.214313,1.858967689,262,196.214313,1.858967689,262,87.96,19.8,87,9.3,196.48,9.57,87.02,87.96,9.95,194.57,9.95,87.97,82.99,92.94,194.82,11.62,87.87,-3.741549951,0.265686988,-1.644313012,-1.394313012,13,2024,467.0972153376912
38.04843521,-113.5036316,86.68533325,193.2793732,2024-01-13 03:21:06.170,-4.215,SABER_L2A_2024013_119872_02.08.nc,37,193,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,451.9467595,196.223346,1.861182174,263,196.223346,1.861182174,263,87.96,19.8,87,9.3,196.48,9.57,87.02,87.96,9.95,194.57,9.95,87.97,82.99,92.94,194.82,11.62,87.87,-2.94397286,0.256653972,-1.653346028,-1.403346028,13,2024,467.02372755380804
36.55072403,-102.6633301,87.20298767,178.3754578,2024-01-11 03:02:08.686,-3.808,SABER_L2A_2024011_119842_02.08.nc,39,192,37.44200134,-103.5800858,2024-01-11T03:11:30.717341,-3.713,awe_l3a_tmp_2024011T0308_00777_v01.nc,130,195.3500061,42,130.008995,192.52461,5.854853021,4282,192.7486871,5.81744259,4562,85.71,20.2,87,9.3,192.55,13.47,87.02,85.71,11.08,196.19,14.47,85.86,80.17,91.25,196.91,14.75,86.37,-14.37322929,-0.198687055,3.441312945,4.161312945,11,2024,961.9870544398289
36.54874039,-102.6533508,86.83423615,184.0414276,2024-01-11 03:02:08.731,-3.808,SABER_L2A_2024011_119842_02.08.nc,39,193,37.44200134,-103.5800858,2024-01-11T03:11:30.717341,-3.713,awe_l3a_tmp_2024011T0308_00777_v01.nc,130,195.3500061,42,130.7538261,192.5213815,5.855976986,4278,192.7458535,5.818584428,4558,85.71,20.2,87,9.3,192.55,13.47,87.02,85.71,11.08,196.19,14.47,85.86,80.17,91.25,196.91,14.75,86.37,-8.704425907,-0.195853519,3.444146481,4.164146481,11,2024,962.8034974717177
50.13469696,-116.3813782,87.15573883,198.6257324,2024-03-21 05:48:11.657,-1.956,SABER_L2A_2024081_120887_02.08.nc,19,191,48.55062866,-117.612236,2024-03-21T05:49:22.230388,-2.018,awe_l3a_tmp_2024081T0544_01863_v01.nc,189,200.7799988,47,200.1151708,200.988132,2.389289862,3683,200.9780256,2.177967446,4781,85.85,22.06,87,9.3,202.27,6.79,87.02,85.85,7.79,202.65,6.44,85.87,81.96,89.75,202.91,7.76,86.84,-2.352293182,1.291974396,1.671974396,1.931974396,81,2024,988.4505450277869
50.12783813,-116.3739319,86.78527832,199.0639343,2024-03-21 05:48:11.701,-1.955,SABER_L2A_2024081_120887_02.08.nc,19,192,48.55062866,-117.612236,2024-03-21T05:49:22.230388,-2.018,awe_l3a_tmp_2024081T0544_01863_v01.nc,189,200.7799988,47,199.6770215,200.9851005,2.391452731,3686,200.9750962,2.179341428,4788,85.85,22.06,87,9.3,202.27,6.79,87.02,85.85,7.79,202.65,6.44,85.87,81.96,89.75,202.91,7.76,86.84,-1.911161835,1.294903838,1.674903838,1.934903838,81,2024,987.5361770994585
50.82855988,-112.6409302,87.17933655,189.2936707,2024-03-21 05:48:56.771,-1.694,SABER_L2A_2024081_120887_02.08.nc,20,190,47.72740555,-115.1074066,2024-03-21T05:49:49.992097,-1.843,awe_l3a_tmp_2024081T0544_01863_v01.nc,210,198.8099976,33,393.7384741,200.5054399,2.840979948,2842,200.5306226,2.785228218,2972,85.87,22.3,87,9.3,199.62,8.98,87.02,85.87,9.28,200.41,7.99,85.92,81.23,90.51,199.08,10.12,86.66,-11.23695193,-0.910622588,-0.120622588,-1.450622588,81,2024,993.4089062716135
50.82015991,-112.6417999,86.80844116,192.7547302,2024-03-21 05:48:56.726,-1.694,SABER_L2A_2024081_120887_02.08.nc,20,191,47.72740555,-115.1074066,2024-03-21T05:49:49.992097,-1.843,awe_l3a_tmp_2024081T0544_01863_v01.nc,210,198.8099976,33,392.8761345,200.5042025,2.840351648,2846,200.5287912,2.784095472,2978,85.87,22.3,87,9.3,199.62,8.98,87.02,85.87,9.28,200.41,7.99,85.92,81.23,90.51,199.08,10.12,86.66,-7.77406102,-0.908791244,-0.118791244,-1.448791244,81,2024,992.4859858871898
