L6A file: awe_l6a_tmp_2024165T2120_03175_v01.nc
L6C file: awe_l6c_q20_2024165T2120_03175_v01.nc
Slice: 3

cluster_a  cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       32         80       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         81       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         82       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         83       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         84       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         85       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         86       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         87       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         88       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         89       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         90       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         91       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         92       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         93       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32         94       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         83       0   0.001  0.142    254     1.682          75.6        14.4        90.0      34.9      58.7
       33         80       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         81       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         82       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         84       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         85       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         86       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         87       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         88       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         89       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         90       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         91       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         92       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         93       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       33         94       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
