L6A file: awe_l6a_tmp_2024165T2120_03175_v01.nc
L6C file: awe_l6c_q20_2024165T2120_03175_v01.nc
Slice: 5

cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       35             176       0   0.058  0.361   3558     1.414           3.4       131.7       128.3      38.1      53.8
       36             174       1   0.087  0.113   2172     1.091           0.2       108.3       108.5      29.3      32.0
       37             294       1   0.087  0.103    317     1.189           0.0       120.0       120.0      58.7      69.8
       38             276       0   0.102  0.229    436     1.414           0.6       130.6       130.0      34.9      49.4
       39             363       0   0.019  0.249    421     1.297           9.1       119.9       129.0      24.7      32.0
       40             561       0   0.055  0.077    117     1.414           0.0       120.0       120.0      41.5      29.3
       41             315       1   0.197  0.284    437     1.000           0.4        30.4        30.0      17.4      17.4
       42             239       1   0.227  0.764   2333     1.000           2.4        21.0        23.4      32.0      32.0
       43             294       1   0.101  0.110    551     1.091           0.0       120.0       120.0      76.1      69.8
       44             209       1   0.563  0.670    809     1.189           0.0       150.0       150.0      29.3      24.7
       45             276       0   0.100  0.168    475     1.682           0.0       130.0       130.0      83.0      49.4
       46             294       0   0.002  0.054    218     1.091          20.0       100.0       120.0      64.0      69.8
       47             248       1   0.061  0.066    442     1.091           0.0        90.0        90.0      90.5      98.7
       48             325       1   0.095  0.214    332     1.000           1.2       168.8       170.0      29.3      29.3
       49             363       1   0.048  0.276    321     1.189           3.8       132.5       128.7      29.3      34.9
       50             203       0   0.125  0.398   1298     1.682           0.9        83.5        82.6      49.4      83.0
       51             209       0   0.215  0.437    585     1.542           0.3       150.3       150.0      38.1      24.7
       52             594       1   0.047  0.117    136     1.189           1.1        28.9        30.0      20.7      24.7
       53             338       1   0.219  0.239    271     1.091           0.0        80.0        80.0      45.3      49.4
       54             400       0   0.060  0.426    458     4.362           0.6        10.6        10.0      98.7      22.6
