L6A file: awe_l6a_tmp_2024165T2120_03175_v01.nc
L6C file: awe_l6c_q20_2024165T2120_03175_v01.nc
Slice: 4

cluster_a  cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       34         95       0   0.000  0.071   2508     3.364          47.4        77.4        30.0      22.6      76.1
       34         96       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34         97       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34         98       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34         99       0   0.001  0.113   2352     2.181          46.8        76.8        30.0      22.6      49.4
       34        100       1   0.030  0.379   8564     1.091          10.7        67.0        56.3      29.3      32.0
       34        101       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        102       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        103       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        104       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        105       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        106       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        107       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        108       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        109       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        110       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        111       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        112       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        113       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        114       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        115       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        116       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        117       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        118       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        119       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        120       0   0.000  0.009    128     2.378          50.0        70.0        20.0      29.3      69.8
       34        121       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        122       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        123       1   0.024  0.098   1340     1.189           2.5        80.0        82.5      22.6      19.0
       34        124       1   0.007  0.082    940     1.000          10.0        80.0        70.0      22.6      22.6
       34        125       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        126       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        127       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        128       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        129       0   0.000  0.020    284     4.000          60.0        80.0        20.0      22.6      90.5
       34        130       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        131       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        132       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        133       0   0.001  0.154   2084     3.084          45.0        75.0        30.0      22.6      69.8
       34        134       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        135       0   0.004  0.325   3680     2.594          31.9        75.9        43.9      26.9      69.8
       34        136       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        137       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        138       0   0.000  0.003     44     1.189          10.0        80.0        90.0      22.6      19.0
       34        139       0   0.002  0.219   2360     1.834          57.6        52.4       110.0      38.1      69.8
       34        140       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
