L6A file: awe_l6a_tmp_2024165T2120_03175_v01.nc
L6C file: awe_l6c_q20_2024165T2120_03175_v01.nc
Slice: 5

cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       35             174       1   0.039  0.300  23412     1.000           6.6       130.0       123.4      38.1      38.1
       36             354       1   0.033  0.173   1756     1.189           3.4       116.6       120.0      26.9      22.6
       37             294       1   0.087  0.103   1268     1.189           0.0       120.0       120.0      58.7      69.8
       38             206       1   0.033  0.388   4284     1.091           9.8       129.8       120.0      34.9      38.1
       39             198       1   0.008  0.069   1448     1.000           8.0       107.7       115.7      20.7      20.7
       40             206       1   0.051  0.384   3868     1.091           5.8       114.2       120.0      41.5      38.1
       41             315       1   0.255  0.360   1684     1.000           0.4        30.4        30.0      17.4      17.4
       42             239       1   0.230  0.750   9136     1.000           2.3        21.1        23.3      32.0      32.0
       43             294       1   0.101  0.110   2204     1.091           0.0       120.0       120.0      76.1      69.8
       44             209       1   0.550  0.655   3116     1.189           0.0       150.0       150.0      29.3      24.7
       45             294       1   0.009  0.119   1436     1.189          10.0       130.0       120.0      83.0      69.8
       46             294       0   0.002  0.054    872     1.091          20.0       100.0       120.0      64.0      69.8
       47             248       1   0.061  0.066   1768     1.091           0.0        90.0        90.0      90.5      98.7
       48             325       1   0.099  0.224   1284     1.000           1.3       168.7       170.0      29.3      29.3
       49             363       1   0.050  0.282   1276     1.189           3.8       132.5       128.7      29.3      34.9
       50             199       1   0.125  0.448   6352     1.091           2.3        85.0        82.7      49.4      53.8
       51             180       1   0.037  0.372   3284     1.000           9.1       151.0       160.1      38.1      38.1
       52             594       1   0.078  0.164    392     1.189           0.8        29.2        30.0      20.7      24.7
       53             338       1   0.219  0.239   1084     1.091           0.0        80.0        80.0      45.3      49.4
       54             181       1   0.004  0.063   3200     1.189          13.8         7.1        20.8      98.7      83.0
