Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   1.042599e+05    62.12%
   2    1   2.644003e+04    15.75%
   3    8   8.194822e+03     4.88%
   4    5   6.040787e+03     3.60%
   5   29   2.481878e+03     1.48%
   6   13   1.786153e+03     1.06%
   7   15   1.650460e+03     0.98%
   8   20   1.282417e+03     0.76%
   9   10   1.154046e+03     0.69%
  10   12   9.997137e+02     0.60%
  11    3   9.207871e+02     0.55%
  12   26   9.008311e+02     0.54%
  13    6   7.816530e+02     0.47%
  14   16   7.487371e+02     0.45%
  15    2   7.339719e+02     0.44%
  16   21   7.044014e+02     0.42%
  17   30   5.947210e+02     0.35%
  18   33   5.710311e+02     0.34%
  19   19   5.185092e+02     0.31%
  20   42   4.595458e+02     0.27%
  21    7   4.269813e+02     0.25%
  22   52   3.727369e+02     0.22%
  23   17   3.690409e+02     0.22%
  24   49   3.425597e+02     0.20%
  25   44   3.379018e+02     0.20%
  26    9   3.128218e+02     0.19%
  27   39   2.976164e+02     0.18%
  28   35   2.639764e+02     0.16%
  29   32   2.557714e+02     0.15%
  30   74   2.322137e+02     0.14%
  31    4   2.146629e+02     0.13%
  32   25   2.119009e+02     0.13%
  33   38   1.980240e+02     0.12%
  34   18   1.671186e+02     0.10%
  35   41   1.585382e+02     0.09%
  36   50   1.456675e+02     0.09%
  37   11   1.349364e+02     0.08%
  38   59   1.278378e+02     0.08%
  39   57   1.177915e+02     0.07%
  40   72   1.157249e+02     0.07%
  41   34   1.022647e+02     0.06%
  42   64   1.015207e+02     0.06%
  43   67   9.987383e+01     0.06%
  44   47   9.467673e+01     0.06%
  45   40   9.193770e+01     0.05%
  46   66   8.812911e+01     0.05%
  47   31   7.543697e+01     0.04%
  48   58   7.379055e+01     0.04%
  49   60   7.302872e+01     0.04%
  50   22   6.607318e+01     0.04%
  51   70   6.576858e+01     0.04%
  52   63   6.574204e+01     0.04%
  53   71   6.552887e+01     0.04%
  54   24   6.545987e+01     0.04%
  55   45   5.447127e+01     0.03%
  56   28   5.187337e+01     0.03%
  57   53   4.549093e+01     0.03%
  58   55   4.411287e+01     0.03%
  59   69   4.402255e+01     0.03%
  60   27   4.399169e+01     0.03%
  61   75   4.140557e+01     0.02%
  62   62   3.957929e+01     0.02%
  63   73   3.836260e+01     0.02%
  64   56   3.602776e+01     0.02%
  65   68   3.586665e+01     0.02%
  66   43   3.211420e+01     0.02%
  67   23   3.076363e+01     0.02%
  68   51   2.822120e+01     0.02%
  69   48   2.228213e+01     0.01%
  70   46   2.226368e+01     0.01%
  71   36   1.817453e+01     0.01%
  72   65   1.506025e+01     0.01%
  73   14   1.421230e+01     0.01%
  74   61   1.143935e+01     0.01%
  75   37   8.570560e+00     0.01%
  76   54   8.275356e+00     0.00%
