Global cluster power ranking (stitched 4D, clustered once)
rank  kcl      P_abs           P_pct
   1    0   1.716746e+05    63.35%
   2    1   3.749861e+04    13.84%
   3   19   4.559567e+03     1.68%
   4   17   3.662342e+03     1.35%
   5    4   3.241473e+03     1.20%
   6    9   3.194465e+03     1.18%
   7   31   3.083039e+03     1.14%
   8   38   2.481878e+03     0.92%
   9   32   2.356140e+03     0.87%
  10   33   2.310065e+03     0.85%
  11    2   1.798264e+03     0.66%
  12    8   1.780609e+03     0.66%
  13   12   1.684011e+03     0.62%
  14   15   1.624053e+03     0.60%
  15   10   1.609702e+03     0.59%
  16   30   1.603099e+03     0.59%
  17   13   1.542951e+03     0.57%
  18   11   1.532795e+03     0.57%
  19   51   1.491792e+03     0.55%
  20   23   1.282417e+03     0.47%
  21   92   1.096945e+03     0.40%
  22   80   9.819461e+02     0.36%
  23   34   9.008311e+02     0.33%
  24   54   8.260228e+02     0.30%
  25   27   8.169788e+02     0.30%
  26   63   7.868359e+02     0.29%
  27   25   7.044014e+02     0.26%
  28   18   6.759586e+02     0.25%
  29   16   6.700660e+02     0.25%
  30  102   6.131116e+02     0.23%
  31    3   5.579137e+02     0.21%
  32   40   5.295938e+02     0.20%
  33   22   5.185092e+02     0.19%
  34   36   5.080214e+02     0.19%
  35   43   5.079535e+02     0.19%
  36   58   4.595458e+02     0.17%
  37   44   4.450926e+02     0.16%
  38    6   4.269813e+02     0.16%
  39   24   4.183722e+02     0.15%
  40   50   3.637899e+02     0.13%
  41   69   3.425581e+02     0.13%
  42   45   3.212025e+02     0.12%
  43    7   3.167867e+02     0.12%
  44   47   3.163122e+02     0.12%
  45   62   3.157443e+02     0.12%
  46   73   3.070268e+02     0.11%
  47   91   3.056403e+02     0.11%
  48   78   3.012697e+02     0.11%
  49    5   3.003963e+02     0.11%
  50   14   2.815768e+02     0.10%
  51   42   2.557714e+02     0.09%
  52   88   2.448788e+02     0.09%
  53   49   2.434936e+02     0.09%
  54   46   2.235821e+02     0.08%
  55   53   2.084267e+02     0.08%
  56   52   2.080529e+02     0.08%
  57   56   1.895707e+02     0.07%
  58   87   1.776004e+02     0.07%
  59   95   1.621346e+02     0.06%
  60   20   1.588754e+02     0.06%
  61   57   1.585382e+02     0.06%
  62   61   1.530172e+02     0.06%
  63   29   1.497498e+02     0.06%
  64   83   1.356967e+02     0.05%
  65   81   1.177915e+02     0.04%
  66   90   1.173651e+02     0.04%
  67   21   1.096080e+02     0.04%
  68   96   1.090147e+02     0.04%
  69   59   1.040797e+02     0.04%
  70   98   9.987383e+01     0.04%
  71   79   9.728805e+01     0.04%
  72   39   9.628303e+01     0.04%
  73   86   9.617474e+01     0.04%
  74   55   9.193770e+01     0.03%
  75   82   7.776441e+01     0.03%
  76   41   7.543697e+01     0.03%
  77   26   6.607318e+01     0.02%
  78  101   6.576858e+01     0.02%
  79   28   6.545987e+01     0.02%
  80   66   6.229040e+01     0.02%
  81   72   5.547700e+01     0.02%
  82   70   5.244592e+01     0.02%
  83   37   5.187337e+01     0.02%
  84   77   4.680527e+01     0.02%
  85   74   4.549093e+01     0.02%
  86   84   4.488225e+01     0.02%
  87   67   4.461552e+01     0.02%
  88   75   4.411287e+01     0.02%
  89  100   4.402255e+01     0.02%
  90   94   4.401254e+01     0.02%
  91   35   4.399169e+01     0.02%
  92  104   4.140557e+01     0.02%
  93   89   3.957929e+01     0.01%
  94   85   3.915725e+01     0.01%
  95  103   3.836260e+01     0.01%
  96   76   3.602776e+01     0.01%
  97   99   3.586665e+01     0.01%
  98   93   3.489591e+01     0.01%
  99   60   3.211420e+01     0.01%
 100   71   2.822120e+01     0.01%
 101   65   2.278730e+01     0.01%
 102   68   2.228213e+01     0.01%
 103   64   2.226368e+01     0.01%
 104   48   1.817453e+01     0.01%
 105   97   1.506025e+01     0.01%
