Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    2   2.000634e+03    29.41%
   2    0   1.682254e+03    24.73%
   3    5   7.111419e+02    10.45%
   4    6   7.010189e+02    10.30%
   5    3   5.576089e+02     8.20%
   6    1   2.769536e+02     4.07%
   7    7   2.212950e+02     3.25%
   8   11   1.816609e+02     2.67%
   9    8   1.374546e+02     2.02%
  10    4   1.356967e+02     1.99%
  11   12   1.195159e+02     1.76%
  12   10   5.056273e+01     0.74%
  13    9   2.740196e+01     0.40%
