Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   9.711857e+04    86.46%
   2   10   2.267275e+03     2.02%
   3    7   1.950433e+03     1.74%
   4    8   1.475002e+03     1.31%
   5    6   1.383053e+03     1.23%
   6   29   1.080364e+03     0.96%
   7   25   8.335849e+02     0.74%
   8    2   7.480202e+02     0.67%
   9    1   6.824627e+02     0.61%
  10   16   6.345614e+02     0.56%
  11    4   6.291351e+02     0.56%
  12    9   6.013785e+02     0.54%
  13    5   4.993217e+02     0.44%
  14   13   4.416734e+02     0.39%
  15   12   3.541252e+02     0.32%
  16   23   2.018511e+02     0.18%
  17   19   1.906244e+02     0.17%
  18    3   1.820184e+02     0.16%
  19   27   1.776008e+02     0.16%
  20   28   1.689943e+02     0.15%
  21   31   1.298622e+02     0.12%
  22   30   1.092730e+02     0.10%
  23   17   9.634222e+01     0.09%
  24   11   8.272784e+01     0.07%
  25   21   7.559426e+01     0.07%
  26   20   4.922125e+01     0.04%
  27   24   4.678343e+01     0.04%
  28   26   3.328584e+01     0.03%
  29   14   2.985828e+01     0.03%
  30   15   2.652145e+01     0.02%
  31   18   2.061137e+01     0.02%
  32   22   9.048071e+00     0.01%
