Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   4.984288e+03    53.98%
   2    1   1.525246e+03    16.52%
   3    2   6.994615e+02     7.58%
   4    7   4.069991e+02     4.41%
   5    3   3.562080e+02     3.86%
   6    4   2.503426e+02     2.71%
   7   13   2.204754e+02     2.39%
   8   11   1.922539e+02     2.08%
   9    6   1.428788e+02     1.55%
  10   12   1.366371e+02     1.48%
  11    8   1.132729e+02     1.23%
  12    9   9.317519e+01     1.01%
  13   10   7.192704e+01     0.78%
  14    5   4.022470e+01     0.44%
