Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   1.669294e+04    53.18%
   2    1   1.869547e+03     5.96%
   3    5   1.528949e+03     4.87%
   4    6   1.473943e+03     4.70%
   5    2   1.252199e+03     3.99%
   6    7   9.853919e+02     3.14%
   7   11   8.276352e+02     2.64%
   8   13   6.316094e+02     2.01%
   9    4   5.030712e+02     1.60%
  10    3   4.759477e+02     1.52%
  11   16   3.710823e+02     1.18%
  12   19   3.335295e+02     1.06%
  13   18   3.113610e+02     0.99%
  14   45   2.854112e+02     0.91%
  15   25   2.300547e+02     0.73%
  16   27   2.243828e+02     0.71%
  17   24   2.236527e+02     0.71%
  18    9   2.086933e+02     0.66%
  19   21   1.971805e+02     0.63%
  20   15   1.726944e+02     0.55%
  21   14   1.550321e+02     0.49%
  22   51   1.463996e+02     0.47%
  23   22   1.345360e+02     0.43%
  24   12   1.210174e+02     0.39%
  25   31   1.082125e+02     0.34%
  26   10   9.611518e+01     0.31%
  27   39   9.295939e+01     0.30%
  28   52   8.137258e+01     0.26%
  29   63   7.941909e+01     0.25%
  30   53   7.921641e+01     0.25%
  31   17   7.736529e+01     0.25%
  32   28   7.460796e+01     0.24%
  33   54   7.453549e+01     0.24%
  34   73   7.428427e+01     0.24%
  35   30   7.088414e+01     0.23%
  36   32   6.854112e+01     0.22%
  37   55   6.586906e+01     0.21%
  38   38   6.438219e+01     0.21%
  39   26   5.815556e+01     0.19%
  40   43   5.479112e+01     0.17%
  41   46   4.935664e+01     0.16%
  42   50   4.892746e+01     0.16%
  43    8   4.829122e+01     0.15%
  44   20   4.614964e+01     0.15%
  45   44   4.543119e+01     0.14%
  46   23   4.401254e+01     0.14%
  47   34   4.291243e+01     0.14%
  48   48   3.816584e+01     0.12%
  49   72   3.814150e+01     0.12%
  50   41   3.552082e+01     0.11%
  51   61   3.264430e+01     0.10%
  52   79   3.196953e+01     0.10%
  53   29   2.907950e+01     0.09%
  54   47   2.779738e+01     0.09%
  55   35   2.730858e+01     0.09%
  56   37   2.493221e+01     0.08%
  57   33   2.429331e+01     0.08%
  58   36   2.271342e+01     0.07%
  59   68   1.883271e+01     0.06%
  60   49   1.552867e+01     0.05%
  61   42   1.404563e+01     0.04%
  62   62   1.338481e+01     0.04%
  63   40   1.210848e+01     0.04%
  64   77   1.201567e+01     0.04%
  65   57   1.025071e+01     0.03%
  66   64   8.847571e+00     0.03%
  67   58   8.365512e+00     0.03%
  68   67   7.303604e+00     0.02%
  69   56   6.638583e+00     0.02%
  70   70   5.923640e+00     0.02%
  71   69   5.079230e+00     0.02%
  72   60   4.720075e+00     0.02%
  73   81   2.901536e+00     0.01%
  74   76   2.883440e+00     0.01%
  75   59   1.950780e+00     0.01%
  76   80   1.382686e+00     0.00%
  77   71   1.196078e+00     0.00%
  78   65   8.443180e-01     0.00%
  79   66   8.437351e-01     0.00%
  80   74   7.997233e-01     0.00%
  81   78   4.884058e-01     0.00%
  82   75   3.768789e-01     0.00%
