Cluster power ranking (clustered only)

name = base
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    1   1.648395e+03    13.75%
   2    0   1.608884e+03    13.42%
   3    5   1.084727e+03     9.05%
   4    6   9.727295e+02     8.11%
   5    2   9.209811e+02     7.68%
   6    4   8.916020e+02     7.44%
   7    3   8.268962e+02     6.90%
   8    8   5.786185e+02     4.83%
   9   11   4.778834e+02     3.99%
  10    7   4.407354e+02     3.68%
  11   15   4.328719e+02     3.61%
  12    9   3.091239e+02     2.58%
  13   16   2.968613e+02     2.48%
  14   13   2.632480e+02     2.20%
  15   12   2.357820e+02     1.97%
  16   14   2.188096e+02     1.83%
  17   18   1.619316e+02     1.35%
  18   10   1.498422e+02     1.25%
  19   23   1.258346e+02     1.05%
  20   22   1.094966e+02     0.91%
  21   17   7.603371e+01     0.63%
  22   21   7.562971e+01     0.63%
  23   19   4.317780e+01     0.36%
  24   20   3.708700e+01     0.31%
