Cluster power ranking (clustered only)

name = amp0p15
MIN_AMP = 0.15
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.03
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   1.398301e+04    49.92%
   2    1   3.560821e+03    12.71%
   3    2   1.528633e+03     5.46%
   4    8   9.986409e+02     3.57%
   5   20   9.605037e+02     3.43%
   6    3   7.074677e+02     2.53%
   7    9   6.185376e+02     2.21%
   8   13   4.338361e+02     1.55%
   9   11   4.070053e+02     1.45%
  10   22   4.001791e+02     1.43%
  11    4   3.562121e+02     1.27%
  12   12   3.285725e+02     1.17%
  13   18   2.834144e+02     1.01%
  14    6   2.503426e+02     0.89%
  15   21   2.204785e+02     0.79%
  16    5   1.979371e+02     0.71%
  17   15   1.833291e+02     0.65%
  18   29   1.589753e+02     0.57%
  19   16   1.512071e+02     0.54%
  20   35   1.501298e+02     0.54%
  21   10   1.428788e+02     0.51%
  22   19   1.366396e+02     0.49%
  23   32   1.278876e+02     0.46%
  24   45   1.173824e+02     0.42%
  25   14   1.132729e+02     0.40%
  26   17   1.044630e+02     0.37%
  27   33   9.138943e+01     0.33%
  28   37   8.725255e+01     0.31%
  29   24   7.469793e+01     0.27%
  30   36   7.447062e+01     0.27%
  31   23   6.757278e+01     0.24%
  32   25   6.594896e+01     0.24%
  33   48   6.206802e+01     0.22%
  34   51   5.026172e+01     0.18%
  35   38   4.882125e+01     0.17%
  36   64   4.819082e+01     0.17%
  37   27   4.795294e+01     0.17%
  38   56   4.265113e+01     0.15%
  39    7   4.022470e+01     0.14%
  40   28   3.317380e+01     0.12%
  41   39   3.308008e+01     0.12%
  42   31   3.000728e+01     0.11%
  43   59   2.953394e+01     0.11%
  44   49   2.913549e+01     0.10%
  45   55   2.745474e+01     0.10%
  46   62   2.719395e+01     0.10%
  47   52   2.663309e+01     0.10%
  48   65   2.541238e+01     0.09%
  49   42   2.444789e+01     0.09%
  50   26   2.435982e+01     0.09%
  51   43   2.404151e+01     0.09%
  52   47   2.129357e+01     0.08%
  53   40   1.968156e+01     0.07%
  54   50   1.949163e+01     0.07%
  55   44   1.877185e+01     0.07%
  56   54   1.808242e+01     0.06%
  57   57   1.743702e+01     0.06%
  58   41   1.692210e+01     0.06%
  59   68   1.556252e+01     0.06%
  60   34   1.553042e+01     0.06%
  61   71   1.434347e+01     0.05%
  62   61   1.352945e+01     0.05%
  63   30   1.281051e+01     0.05%
  64   63   1.054527e+01     0.04%
  65   69   1.028575e+01     0.04%
  66   70   5.536928e+00     0.02%
  67   46   4.994026e+00     0.02%
  68   53   4.653730e+00     0.02%
  69   58   3.186531e+00     0.01%
  70   66   3.081087e+00     0.01%
  71   60   2.760916e+00     0.01%
  72   67   2.009833e+00     0.01%
