Cluster power ranking (clustered only)

name = amp0p2(base)
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.03
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    1   1.504348e+03    34.22%
   2    0   1.295715e+03    29.47%
   3    5   2.447913e+02     5.57%
   4    2   2.322988e+02     5.28%
   5    3   2.112749e+02     4.81%
   6    4   1.505634e+02     3.43%
   7    6   1.313872e+02     2.99%
   8   13   1.181180e+02     2.69%
   9   12   1.147735e+02     2.61%
  10   10   1.089079e+02     2.48%
  11    9   8.947959e+01     2.04%
  12    7   8.085172e+01     1.84%
  13    8   3.892039e+01     0.89%
  14   15   3.692355e+01     0.84%
  15   14   2.949774e+01     0.67%
  16   11   8.134365e+00     0.19%
