Cluster power ranking (clustered only)

name = rednoise4
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.03
WPS_NOISE_THRESHOLD = 4.0

rank  kcl      P_abs           P_pct
   1    1   2.878126e+03    14.65%
   2    0   2.507456e+03    12.76%
   3    4   2.140777e+03    10.90%
   4    5   2.100497e+03    10.69%
   5    3   1.867210e+03     9.50%
   6    6   1.556849e+03     7.92%
   7    2   1.340145e+03     6.82%
   8   14   8.041816e+02     4.09%
   9    8   6.393843e+02     3.25%
  10    9   4.910742e+02     2.50%
  11    7   4.857475e+02     2.47%
  12   11   4.305538e+02     2.19%
  13   23   3.888084e+02     1.98%
  14   22   3.698542e+02     1.88%
  15   13   3.553353e+02     1.81%
  16   10   3.344085e+02     1.70%
  17   18   2.373108e+02     1.21%
  18   15   2.211827e+02     1.13%
  19   12   1.303088e+02     0.66%
  20   16   1.030690e+02     0.52%
  21   24   9.769102e+01     0.50%
  22   17   5.932526e+01     0.30%
  23   21   4.553148e+01     0.23%
  24   20   3.265406e+01     0.17%
  25   19   3.021403e+01     0.15%
