Cluster power ranking (clustered only)

name = wnoisep01
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.01
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   1.379071e+04    53.33%
   2    1   3.540166e+03    13.69%
   3    2   1.774461e+03     6.86%
   4    8   9.603454e+02     3.71%
   5   20   9.560030e+02     3.70%
   6    3   7.068992e+02     2.73%
   7    9   6.185376e+02     2.39%
   8   13   4.338361e+02     1.68%
   9   11   4.069032e+02     1.57%
  10    4   3.560995e+02     1.38%
  11   12   3.285725e+02     1.27%
  12   18   2.817117e+02     1.09%
  13   22   2.793755e+02     1.08%
  14    6   2.503168e+02     0.97%
  15   21   2.095866e+02     0.81%
  16   15   1.824952e+02     0.71%
  17   16   1.505089e+02     0.58%
  18   10   1.428466e+02     0.55%
  19   19   1.365609e+02     0.53%
  20   14   1.132491e+02     0.44%
  21    5   1.074450e+02     0.42%
  22   17   9.075972e+01     0.35%
  23    7   4.022470e+01     0.16%
