Cluster power ranking (clustered only)

name = base
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    1   8.051060e+03    24.86%
   2    5   3.720796e+03    11.49%
   3    6   3.014465e+03     9.31%
   4    7   2.744385e+03     8.47%
   5    3   2.690568e+03     8.31%
   6    0   1.668801e+03     5.15%
   7   11   1.089084e+03     3.36%
   8   22   8.995040e+02     2.78%
   9   20   8.915608e+02     2.75%
  10    9   8.649413e+02     2.67%
  11   19   8.599670e+02     2.65%
  12   10   8.161417e+02     2.52%
  13   12   6.983789e+02     2.16%
  14    8   6.586841e+02     2.03%
  15   16   3.950192e+02     1.22%
  16   14   3.921006e+02     1.21%
  17    2   2.809754e+02     0.87%
  18   36   2.249742e+02     0.69%
  19   26   2.123679e+02     0.66%
  20   24   2.110917e+02     0.65%
  21   15   2.096083e+02     0.65%
  22   18   1.844767e+02     0.57%
  23   21   1.743954e+02     0.54%
  24   29   1.652845e+02     0.51%
  25   33   1.632517e+02     0.50%
  26   30   1.610107e+02     0.50%
  27   13   1.319981e+02     0.41%
  28   35   1.178121e+02     0.36%
  29    4   1.095614e+02     0.34%
  30   23   9.379734e+01     0.29%
  31   28   8.918856e+01     0.28%
  32   27   7.733679e+01     0.24%
  33   31   5.552985e+01     0.17%
  34   34   5.099058e+01     0.16%
  35   39   4.140348e+01     0.13%
  36   25   3.941212e+01     0.12%
  37   17   3.915725e+01     0.12%
  38   40   3.533601e+01     0.11%
  39   37   2.998490e+01     0.09%
  40   32   2.871009e+01     0.09%
  41   38   8.410773e+00     0.03%
