Cluster power ranking (clustered only)

name = amp1p2(base)
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.15
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    2   3.976186e+04    20.83%
   2    0   1.817577e+04     9.52%
   3    1   1.680821e+04     8.80%
   4    7   1.622062e+04     8.50%
   5   13   1.366793e+04     7.16%
   6   12   8.627221e+03     4.52%
   7   23   8.500594e+03     4.45%
   8   30   8.207761e+03     4.30%
   9   15   6.489197e+03     3.40%
  10   24   6.348440e+03     3.33%
  11    4   5.977644e+03     3.13%
  12   17   5.829114e+03     3.05%
  13   11   4.568155e+03     2.39%
  14    3   3.941963e+03     2.06%
  15   19   3.621218e+03     1.90%
  16   27   3.561373e+03     1.87%
  17   14   3.390772e+03     1.78%
  18    6   2.990733e+03     1.57%
  19   21   2.784882e+03     1.46%
  20    8   2.512112e+03     1.32%
  21   10   1.818907e+03     0.95%
  22   26   1.215250e+03     0.64%
  23   22   1.106278e+03     0.58%
  24    5   9.855973e+02     0.52%
  25   29   8.983274e+02     0.47%
  26   25   6.845318e+02     0.36%
  27   28   6.391845e+02     0.33%
  28   20   5.323350e+02     0.28%
  29   18   4.610659e+02     0.24%
  30   16   3.255668e+02     0.17%
  31    9   2.424930e+02     0.13%
