Cluster power ranking (clustered only)

name = rednoise4
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.15
WPS_NOISE_THRESHOLD = 4.0

rank  kcl      P_abs           P_pct
   1    0   5.299508e+05    56.28%
   2    3   1.360806e+05    14.45%
   3    2   1.261493e+05    13.40%
   4    8   5.922692e+04     6.29%
   5    1   2.967401e+04     3.15%
   6    6   1.738124e+04     1.85%
   7    5   8.058243e+03     0.86%
   8    7   7.483956e+03     0.79%
   9    9   7.045878e+03     0.75%
  10   11   5.226377e+03     0.56%
  11   12   4.497501e+03     0.48%
  12   13   3.607058e+03     0.38%
  13    4   3.204967e+03     0.34%
  14   14   2.062688e+03     0.22%
  15   10   1.981603e+03     0.21%
