Cluster power ranking (clustered only)

name = wnoisep1
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.1
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   6.303403e+04    20.26%
   2   12   4.296910e+04    13.81%
   3    8   3.081417e+04     9.90%
   4    2   2.118809e+04     6.81%
   5   19   2.065343e+04     6.64%
   6   11   1.879342e+04     6.04%
   7    7   1.566902e+04     5.04%
   8    5   1.312777e+04     4.22%
   9   10   1.265917e+04     4.07%
  10   15   1.212198e+04     3.90%
  11    1   9.924518e+03     3.19%
  12   18   8.459952e+03     2.72%
  13    4   8.426119e+03     2.71%
  14    3   5.266396e+03     1.69%
  15   14   4.747789e+03     1.53%
  16    6   4.277640e+03     1.37%
  17   13   4.237531e+03     1.36%
  18   23   3.508951e+03     1.13%
  19   20   2.549457e+03     0.82%
  20   22   2.368124e+03     0.76%
  21   17   2.311420e+03     0.74%
  22   16   2.068937e+03     0.66%
  23    9   1.817771e+03     0.58%
  24   21   1.523454e+02     0.05%
