Cluster power ranking (clustered only)

name = base
MIN_AMP = 1.25
THR = 0.6
WHITE_NOISE_THRESHOLD = 0.1
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   6.219224e+04    20.88%
   2   12   4.296910e+04    14.42%
   3    8   3.081417e+04    10.34%
   4    2   2.105880e+04     7.07%
   5   19   2.065343e+04     6.93%
   6   11   1.876153e+04     6.30%
   7    7   1.519300e+04     5.10%
   8    5   1.310040e+04     4.40%
   9   10   1.265917e+04     4.25%
  10   15   1.212198e+04     4.07%
  11    1   9.798684e+03     3.29%
  12   18   8.455029e+03     2.84%
  13    4   7.406810e+03     2.49%
  14    3   5.251340e+03     1.76%
  15   14   4.584986e+03     1.54%
  16   13   3.964752e+03     1.33%
  17    6   3.627092e+03     1.22%
  18   16   2.068937e+03     0.69%
  19    9   1.756270e+03     0.59%
  20   17   1.472099e+03     0.49%
