Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   2.117173e+05    45.37%
   2    3   3.735267e+04     8.00%
   3    2   3.347369e+04     7.17%
   4    5   2.659904e+04     5.70%
   5    1   2.413484e+04     5.17%
   6    4   1.783345e+04     3.82%
   7   17   1.751983e+04     3.75%
   8    6   1.340025e+04     2.87%
   9   29   1.117590e+04     2.39%
  10   32   9.110059e+03     1.95%
  11    7   8.862021e+03     1.90%
  12   19   5.460429e+03     1.17%
  13   15   5.056584e+03     1.08%
  14   25   3.401226e+03     0.73%
  15   27   3.070546e+03     0.66%
  16   10   3.020640e+03     0.65%
  17    8   2.895711e+03     0.62%
  18   18   2.893507e+03     0.62%
  19   35   2.863379e+03     0.61%
  20    9   2.723996e+03     0.58%
  21   11   2.547553e+03     0.55%
  22   20   2.447104e+03     0.52%
  23   14   2.226930e+03     0.48%
  24   33   2.110951e+03     0.45%
  25   12   2.017236e+03     0.43%
  26   23   1.934743e+03     0.41%
  27   24   1.845849e+03     0.40%
  28   21   1.762172e+03     0.38%
  29   16   1.740166e+03     0.37%
  30   22   1.701143e+03     0.36%
  31   30   1.104074e+03     0.24%
  32   31   8.664116e+02     0.19%
  33   13   7.308676e+02     0.16%
  34   26   3.472455e+02     0.07%
  35   34   3.393154e+02     0.07%
  36   28   2.862307e+02     0.06%
  37   36   7.693451e+01     0.02%
