cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
        7              90       1   0.130  0.422   8212     1.091           2.0        88.2        86.3      29.3      26.9
        8             128       0   0.022  0.117   2076     1.682           2.2        80.0        82.2      38.1      64.0
        9             127       1   0.011  0.058   1600     1.091           4.0        90.1        86.1      41.5      38.1
       10             113       1   0.071  0.094   1084     1.091           0.2       140.0       139.7      32.0      29.3
       11              89       0   0.003  0.051   1696     6.727           1.5        98.6        97.1      17.4     117.4
       12              94       0   0.000  0.007    352     4.362          10.2        80.2        70.0      26.9     117.4
       13             127       0   0.008  0.246    756     2.594          11.1        94.3        83.3      16.0      41.5
       14             113       1   0.272  0.341   1084     1.000           0.3       140.0       139.7      29.3      29.3
       15             127       0   0.010  0.280   1060     1.682          15.9       100.0        84.1      22.6      38.1
       16              89       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       17             105       0   0.002  0.105   1272     2.594          25.9        96.3        70.4      24.7      64.0
       18             128       0   0.044  0.242   4128     1.297           3.2        81.2        84.4      49.4      64.0
       19             105       0   0.004  0.215   2448     2.181          22.1        90.7        68.5      26.9      58.7
       20             128       0   0.018  0.220   2152     2.594           3.6        88.2        84.5      24.7      64.0
       21             105       0   0.003  0.198   3948     2.000          38.4       108.4        70.0      32.0      64.0
       22              90       1   0.030  0.239   4568     1.091           6.3        90.1        83.8      32.0      29.3
       23              89       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       24              89       0   0.001  0.008    260     5.657           0.0       100.0       100.0      16.0      90.5
       25              89       0   0.005  0.039   1320     3.364           1.1       100.0        98.9      29.3      98.7
       26             106       0   0.078  0.335   3192     3.364           0.3        79.7        80.0      32.0     107.6
       27             105       0   0.001  0.049    764     1.189          50.0       120.0        70.0      58.7      69.8
       28              89       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       29             105       0   0.020  0.081    896     4.000           0.0        70.0        70.0      16.0      64.0
       30              95       1   0.005  0.063   1248     1.000          11.7       100.0        88.3      49.4      49.4
       31              89       0   0.000  0.020    612     7.336           9.5        90.5       100.0      16.0     117.4
       32             105       0   0.001  0.066    796     2.378          30.2       100.2        70.0      26.9      64.0
