Cluster power ranking (clustered only)

name = base
MIN_AMP = 1.25
THR = 0.6
WHITE_NOISE_THRESHOLD = 0.1
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1   10   5.518935e+04    21.70%
   2   13   3.513058e+04    13.81%
   3   16   3.039337e+04    11.95%
   4    1   2.670085e+04    10.50%
   5   25   1.613588e+04     6.34%
   6   23   1.211010e+04     4.76%
   7    0   1.063316e+04     4.18%
   8    3   1.005279e+04     3.95%
   9   18   8.547368e+03     3.36%
  10    2   7.769945e+03     3.05%
  11    9   5.805243e+03     2.28%
  12    6   4.703645e+03     1.85%
  13   27   4.613279e+03     1.81%
  14   24   4.469659e+03     1.76%
  15   22   3.206075e+03     1.26%
  16    7   3.029072e+03     1.19%
  17    5   2.506708e+03     0.99%
  18   19   2.480724e+03     0.98%
  19    4   2.079746e+03     0.82%
  20   21   1.640680e+03     0.64%
  21   14   1.441511e+03     0.57%
  22   17   1.426370e+03     0.56%
  23   20   9.750865e+02     0.38%
  24   15   9.641347e+02     0.38%
  25   11   9.153217e+02     0.36%
  26    8   8.942513e+02     0.35%
  27   12   4.677250e+02     0.18%
  28   26   8.672886e+01     0.03%
