Cluster power ranking (clustered only)

name = base
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   1.532921e+04    55.33%
   2    3   1.355548e+03     4.89%
   3    1   1.335462e+03     4.82%
   4    4   1.217777e+03     4.40%
   5    9   6.928881e+02     2.50%
   6    6   6.642313e+02     2.40%
   7   11   5.053249e+02     1.82%
   8    2   5.033683e+02     1.82%
   9   19   4.038443e+02     1.46%
  10   26   3.319770e+02     1.20%
  11   17   2.837319e+02     1.02%
  12   18   2.750093e+02     0.99%
  13   13   2.675273e+02     0.97%
  14   20   2.565005e+02     0.93%
  15   44   2.385601e+02     0.86%
  16   32   2.357504e+02     0.85%
  17    7   2.246725e+02     0.81%
  18   25   1.600863e+02     0.58%
  19   15   1.421585e+02     0.51%
  20   10   1.413861e+02     0.51%
  21   12   1.386770e+02     0.50%
  22   21   1.231703e+02     0.44%
  23    8   1.145140e+02     0.41%
  24   24   1.061105e+02     0.38%
  25   23   1.030886e+02     0.37%
  26   62   9.228123e+01     0.33%
  27   33   9.001155e+01     0.32%
  28   39   8.919578e+01     0.32%
  29   29   7.922078e+01     0.29%
  30   45   7.460285e+01     0.27%
  31   41   7.247210e+01     0.26%
  32   42   7.065428e+01     0.26%
  33   34   6.979298e+01     0.25%
  34   95   6.743667e+01     0.24%
  35   31   6.704844e+01     0.24%
  36   16   6.691279e+01     0.24%
  37   85   6.546172e+01     0.24%
  38   14   6.242755e+01     0.23%
  39   58   6.004526e+01     0.22%
  40   60   5.902528e+01     0.21%
  41   82   5.873129e+01     0.21%
  42   27   5.787177e+01     0.21%
  43   68   5.766313e+01     0.21%
  44   56   5.710152e+01     0.21%
  45   51   5.397404e+01     0.19%
  46  104   5.365465e+01     0.19%
  47   59   5.337155e+01     0.19%
  48   61   5.149115e+01     0.19%
  49   69   4.899508e+01     0.18%
  50   48   4.815922e+01     0.17%
  51   22   4.676862e+01     0.17%
  52    5   4.628873e+01     0.17%
  53   63   4.539707e+01     0.16%
  54   88   4.401426e+01     0.16%
  55   35   3.679546e+01     0.13%
  56   49   3.675785e+01     0.13%
  57   65   3.196105e+01     0.12%
  58   38   3.191543e+01     0.12%
  59   99   3.141723e+01     0.11%
  60   46   3.007693e+01     0.11%
  61  100   2.900906e+01     0.10%
  62   40   2.761525e+01     0.10%
  63  105   2.707991e+01     0.10%
  64   57   2.697537e+01     0.10%
  65   80   2.540027e+01     0.09%
  66   52   2.537507e+01     0.09%
  67   36   2.440497e+01     0.09%
  68   97   2.339400e+01     0.08%
  69   37   2.205099e+01     0.08%
  70   50   1.996415e+01     0.07%
  71   90   1.947830e+01     0.07%
  72   83   1.834400e+01     0.07%
  73   53   1.723952e+01     0.06%
  74   81   1.717069e+01     0.06%
  75   96   1.638692e+01     0.06%
  76   55   1.420998e+01     0.05%
  77   54   1.398596e+01     0.05%
  78   43   1.366491e+01     0.05%
  79   84   1.210132e+01     0.04%
  80   47   1.168075e+01     0.04%
  81   66   1.158334e+01     0.04%
  82   94   1.155396e+01     0.04%
  83  102   1.009698e+01     0.04%
  84   75   8.382592e+00     0.03%
  85   73   7.562318e+00     0.03%
  86   28   7.343745e+00     0.03%
  87   98   6.878923e+00     0.02%
  88   70   6.778721e+00     0.02%
  89   89   6.653682e+00     0.02%
  90  103   6.402003e+00     0.02%
  91   67   6.163665e+00     0.02%
  92   78   5.947023e+00     0.02%
  93   91   5.914772e+00     0.02%
  94   87   5.837050e+00     0.02%
  95   92   5.154890e+00     0.02%
  96   71   4.895732e+00     0.02%
  97   64   4.814353e+00     0.02%
  98   72   4.699703e+00     0.02%
  99   93   3.658774e+00     0.01%
 100   79   2.510035e+00     0.01%
 101   30   1.218110e+00     0.00%
 102   74   9.309596e-01     0.00%
 103  101   9.246531e-01     0.00%
 104   86   7.917369e-01     0.00%
 105   76   4.641708e-01     0.00%
 106   77   3.246274e-01     0.00%
