image_index,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,-0.1562814013546775,0.420602943929133,0.8409330065468414,1.0,0.8039318171682133,0.3502839918764318,-0.23800364598744284
1,0.16111938734025455,0.6845388607919576,0.9683804004744336,0.9380243216164512,0.5776981815199596,0.0476351972225213,-0.5154885070310348
2,0.49336022010010727,0.8958542302674006,0.995891020570367,0.766457651490871,0.27437846702169,-0.27968950366084633,-0.7593588878564227
3,0.7341183542176102,0.9880864121868287,0.9161708252436547,0.537076740691508,-0.021877537589806262,-0.5459749571178378,-0.9104732344920968
4,0.915076395795259,0.9840527488670296,0.7420400716149362,0.2456248639640113,-0.3287618179324503,-0.7730295884373175,-0.9872631456013938
5,0.9958186528196691,0.8805088693389869,0.49978717402712136,-0.059581215709557545,-0.5939158687516595,-0.9224052018293092,-0.9773021425461287
6,0.9668386743764141,0.675633434377386,0.19070025769836074,-0.37518046550208517,-0.8125612057550942,-0.9882240608244535,-0.8714681295081903
7,0.8246398687347778,0.39109303053201905,-0.14121771163493868,-0.6494730251525154,-0.9456672458647202,-0.9581857528562188,-0.6775117105008337
8,0.5911255452166635,0.0697146843923171,-0.4489163803412002,-0.8467831747486337,-0.9784857281203349,-0.8338461642340625,-0.3762870630016808
9,0.3353389907798987,-0.21312219332704097,-0.6755979571524682,-0.9502863216538795,-0.9381191191214117,-0.6604419337111049,-0.10938540014925302
10,0.05250434990847075,-0.47514317081731205,-0.8440855730218217,-0.9765830643129572,-0.8227878906915103,-0.3927495846725497,0.1416900981867797
