image_index,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,-0.2866697520021785,0.19240734015034877,0.7755445206993783,1.0,0.752836159764249,0.187337082844117,-0.2553281523166281
1,-0.1844257226125331,0.28406930912437,0.8230291350422079,0.9949316104901924,0.714000303613513,0.14878313177789182,-0.2850723970198731
2,-0.1329172546881573,0.3268862774846286,0.8416029314846154,0.9884471011395095,0.6842027500172656,0.12437010756509115,-0.30965043237653334
3,0.0052942772190489595,0.4208099533049183,0.8495684366944631,0.9169371883247934,0.5854925926761132,0.006505288566994949,-0.41010546554341254
4,0.18412428827436367,0.586692801459767,0.949533700404553,0.9177249124619657,0.5096275561016437,-0.10696456547875766,-0.5140155611656184
5,0.35833458293812814,0.7140748052613999,0.9750959710412155,0.8355881517227006,0.36331634522202094,-0.24804641352611745,-0.6263694833596178
6,0.5255366527824925,0.8459706308673836,0.9976505713100232,0.7698410807299851,0.2543050179422097,-0.34820990684949704,-0.696366292705149
7,0.709248468266269,0.9447528618535741,0.9603861310904822,0.6296941121780251,0.07471825271771393,-0.4962545946727781,-0.7926383653217753
8,0.8438096318457697,0.9900373353876928,0.8927458717273855,0.4899187668280538,-0.07749399694342107,-0.6051648924531197,-0.8515546999043418
9,0.8559622867633945,0.9458700384803436,0.7959047837309845,0.39100053951608804,-0.13476041281910967,-0.5955569623152344,-0.7960302700206952
10,0.9938843122485908,0.946240514934116,0.601085555374737,0.04936148513188576,-0.5107197014821899,-0.8892499875209429,-0.983159934675444
