ix,iy,x_disp,y_disp
5.000,25.000,5.000,74.000
6.000,24.000,6.000,75.000
7.000,23.000,7.000,76.000
8.000,23.000,8.000,76.000
9.000,22.000,9.000,77.000
10.000,21.000,10.000,78.000
11.000,20.000,11.000,79.000
12.000,20.000,12.000,79.000
13.000,19.000,13.000,80.000
14.000,19.000,14.000,80.000
15.000,18.000,15.000,81.000
16.000,18.000,16.000,81.000
17.000,17.000,17.000,82.000
18.000,17.000,18.000,82.000
19.000,16.000,19.000,83.000
20.000,16.000,20.000,83.000
21.000,15.000,21.000,84.000
22.000,15.000,22.000,84.000
23.000,14.000,23.000,85.000
24.000,14.000,24.000,85.000
25.000,14.000,25.000,85.000
26.000,13.000,26.000,86.000
27.000,13.000,27.000,86.000
28.000,13.000,28.000,86.000
29.000,12.000,29.000,87.000
30.000,12.000,30.000,87.000
31.000,12.000,31.000,87.000
