ix,iy,x_disp,y_disp
1.000,47.000,1.000,52.000
2.000,46.000,2.000,53.000
3.000,46.000,3.000,53.000
4.000,45.000,4.000,54.000
5.000,45.000,5.000,54.000
6.000,45.000,6.000,54.000
7.000,44.000,7.000,55.000
8.000,44.000,8.000,55.000
9.000,43.000,9.000,56.000
10.000,43.000,10.000,56.000
11.000,43.000,11.000,56.000
12.000,42.000,12.000,57.000
13.000,42.000,13.000,57.000
14.000,41.000,14.000,58.000
15.000,41.000,15.000,58.000
16.000,41.000,16.000,58.000
17.000,40.000,17.000,59.000
18.000,40.000,18.000,59.000
19.000,40.000,19.000,59.000
20.000,39.000,20.000,60.000
21.000,39.000,21.000,60.000
22.000,39.000,22.000,60.000
23.000,38.000,23.000,61.000
24.000,38.000,24.000,61.000
25.000,38.000,25.000,61.000
