Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   5.625485e+05    73.74%
   2    3   2.893558e+04     3.79%
   3   12   2.868780e+04     3.76%
   4    2   2.532729e+04     3.32%
   5   20   1.606438e+04     2.11%
   6    1   1.287324e+04     1.69%
   7    7   1.157102e+04     1.52%
   8   17   7.522321e+03     0.99%
   9    5   7.260557e+03     0.95%
  10   13   5.712186e+03     0.75%
  11    4   5.625911e+03     0.74%
  12    8   4.714749e+03     0.62%
  13   14   4.307893e+03     0.56%
  14   10   3.027712e+03     0.40%
  15    9   2.817334e+03     0.37%
  16   29   2.241131e+03     0.29%
  17    6   2.093118e+03     0.27%
  18   71   1.735554e+03     0.23%
  19   33   1.527114e+03     0.20%
  20   27   1.407587e+03     0.18%
  21   34   1.374986e+03     0.18%
  22   18   1.278690e+03     0.17%
  23   47   9.687764e+02     0.13%
  24   15   9.586157e+02     0.13%
  25   25   9.341735e+02     0.12%
  26   36   9.243273e+02     0.12%
  27   30   9.020229e+02     0.12%
  28   19   7.578110e+02     0.10%
  29   23   6.371475e+02     0.08%
  30  138   6.067320e+02     0.08%
  31   24   5.756880e+02     0.08%
  32   42   5.330848e+02     0.07%
  33   82   5.138379e+02     0.07%
  34   67   4.994881e+02     0.07%
  35   43   4.859250e+02     0.06%
  36   37   4.506021e+02     0.06%
  37   11   4.494039e+02     0.06%
  38   48   4.059626e+02     0.05%
  39   45   3.354153e+02     0.04%
  40   41   3.276862e+02     0.04%
  41   54   3.261231e+02     0.04%
  42   83   3.202181e+02     0.04%
  43   26   3.167881e+02     0.04%
  44  149   3.027346e+02     0.04%
  45   21   2.992022e+02     0.04%
  46   65   2.841521e+02     0.04%
  47   78   2.795764e+02     0.04%
  48  124   2.790182e+02     0.04%
  49   89   2.750506e+02     0.04%
  50  113   2.743345e+02     0.04%
  51   72   2.720543e+02     0.04%
  52   31   2.576697e+02     0.03%
  53  106   2.448709e+02     0.03%
  54   28   2.006148e+02     0.03%
  55   50   1.887013e+02     0.02%
  56   16   1.871848e+02     0.02%
  57  241   1.817271e+02     0.02%
  58   64   1.804982e+02     0.02%
  59   88   1.763967e+02     0.02%
  60  192   1.756778e+02     0.02%
  61   22   1.732595e+02     0.02%
  62   35   1.672894e+02     0.02%
  63  121   1.670409e+02     0.02%
  64  105   1.534535e+02     0.02%
  65  249   1.516492e+02     0.02%
  66   59   1.495664e+02     0.02%
  67  141   1.477462e+02     0.02%
  68   81   1.356671e+02     0.02%
  69  151   1.321685e+02     0.02%
  70   40   1.240512e+02     0.02%
  71   56   1.232577e+02     0.02%
  72   68   1.186965e+02     0.02%
  73   87   1.162219e+02     0.02%
  74   63   1.149973e+02     0.02%
  75  130   1.137078e+02     0.01%
  76  177   1.073733e+02     0.01%
  77  202   1.061059e+02     0.01%
  78   60   1.055203e+02     0.01%
  79  204   1.046672e+02     0.01%
  80   77   1.028435e+02     0.01%
  81   92   1.027986e+02     0.01%
  82   44   1.003133e+02     0.01%
  83   46   9.635624e+01     0.01%
  84   55   9.425139e+01     0.01%
  85  201   9.281133e+01     0.01%
  86  187   9.028539e+01     0.01%
  87  250   8.998654e+01     0.01%
  88  117   7.998022e+01     0.01%
  89  125   7.895509e+01     0.01%
  90  127   7.777022e+01     0.01%
  91   51   7.625957e+01     0.01%
  92  215   7.538215e+01     0.01%
  93   38   7.487022e+01     0.01%
  94   79   7.375585e+01     0.01%
  95   53   7.286014e+01     0.01%
  96  224   6.958662e+01     0.01%
  97  159   6.944093e+01     0.01%
  98  103   6.919533e+01     0.01%
  99   99   6.901217e+01     0.01%
 100  167   6.761411e+01     0.01%
 101  148   6.723600e+01     0.01%
 102  252   6.573789e+01     0.01%
 103   76   6.569180e+01     0.01%
 104   61   6.511630e+01     0.01%
 105  102   6.200147e+01     0.01%
 106   58   5.968187e+01     0.01%
 107  111   5.812115e+01     0.01%
 108  191   5.710098e+01     0.01%
 109  132   5.665479e+01     0.01%
 110   39   5.462331e+01     0.01%
 111   85   5.277856e+01     0.01%
 112   94   5.248337e+01     0.01%
 113   32   5.055957e+01     0.01%
 114  123   4.889379e+01     0.01%
 115  195   4.792113e+01     0.01%
 116  126   4.697782e+01     0.01%
 117  156   4.690634e+01     0.01%
 118  158   4.624681e+01     0.01%
 119  182   4.613840e+01     0.01%
 120  240   4.481668e+01     0.01%
 121  109   4.405917e+01     0.01%
 122  150   4.333112e+01     0.01%
 123   90   4.032037e+01     0.01%
 124  222   3.929841e+01     0.01%
 125  223   3.875069e+01     0.01%
 126  108   3.859441e+01     0.01%
 127  142   3.854721e+01     0.01%
 128  133   3.808274e+01     0.00%
 129   62   3.778643e+01     0.00%
 130   80   3.746514e+01     0.00%
 131  188   3.673490e+01     0.00%
 132   86   3.633845e+01     0.00%
 133  198   3.508817e+01     0.00%
 134  257   3.470980e+01     0.00%
 135  247   3.465757e+01     0.00%
 136  139   3.425596e+01     0.00%
 137  120   3.421588e+01     0.00%
 138   70   3.362611e+01     0.00%
 139  170   3.343598e+01     0.00%
 140  136   3.321676e+01     0.00%
 141  190   3.320002e+01     0.00%
 142  208   3.307388e+01     0.00%
 143  122   3.304041e+01     0.00%
 144   57   3.300015e+01     0.00%
 145  134   3.271504e+01     0.00%
 146  239   3.267497e+01     0.00%
 147   69   3.254779e+01     0.00%
 148  143   3.208300e+01     0.00%
